session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,lga,Mubi North,North East,Adamawa,Mubi North,,,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,lga,Mubi North,North East,Adamawa,Mubi North,,,2004,0,7.9524,66,22,251.9994,30.3636,91.0909,40,18,10,34,1,26,43.76
2024/2025,Female,ALL,Private,JSS,JSS2,,lga,Mubi North,North East,Adamawa,Mubi North,,,1890,0,7.5,43,21,252.0,43.9535,90.0,25,14,10,19,1,13,41.11
2024/2025,Female,ALL,Private,JSS,JSS3,,lga,Mubi North,North East,Adamawa,Mubi North,,,1833,0,7.2738,54,20,252.0003,33.9444,91.65,26,21,11,24,1,15,39.76
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Mubi North,North East,Adamawa,Mubi North,,,5688,0,22.5714,224,30,252.0003,25.3929,189.6,131,83,14,99,4,62,41.04
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,lga,Mubi North,North East,Adamawa,Mubi North,,,5464,0,21.6837,210,29,251.9865,26.019,188.4138,133,57,16,90,3,57,42.22
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,lga,Mubi North,North East,Adamawa,Mubi North,,,5304,0,21.0497,208,28,251.9751,25.5,189.4286,138,68,16,75,3,66,43.87
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,lga,Mubi North,North East,Adamawa,Mubi North,,,5145,0,20.4157,180,27,252.0119,28.5833,190.5556,98,58,11,79,3,67,40.23
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,lga,Mubi North,North East,Adamawa,Mubi North,,,5177,0,20.5425,181,27,252.0141,28.6022,191.7407,105,71,11,63,3,67,40.57
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,lga,Mubi North,North East,Adamawa,Mubi North,,,5177,0,20.5425,166,27,252.0141,31.1867,191.7407,96,62,17,65,3,43,42.34
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,lga,Mubi North,North East,Adamawa,Mubi North,,,1328,1328,5.2698,38,12,252.002,34.9474,110.6667,18,11,7,19,1,10,39.54
2024/2025,Female,ALL,Private,SSS,SSS2,,lga,Mubi North,North East,Adamawa,Mubi North,,,1217,1217,4.8294,37,11,251.9982,32.8919,110.6364,22,11,6,19,1,13,44.4
2024/2025,Female,ALL,Private,SSS,SSS3,,lga,Mubi North,North East,Adamawa,Mubi North,,,1143,1143,4.5357,25,10,252.0008,45.72,114.3,16,9,4,12,0,9,43.52
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,lga,Mubi North,North East,Adamawa,Mubi North,,,141,0,0.5595,7,2,252.0107,20.1429,70.5,3,2,1,3,0,2,36.0
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,lga,Mubi North,North East,Adamawa,Mubi North,,,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
2024/2025,Female,ALL,Public,JSS,JSS1,JSS1,lga,Mubi North,North East,Adamawa,Mubi North,,,7107,0,21.2149,197,83,335.0004,36.0761,85.6265,116,56,48,80,4,63,42.21
2024/2025,Female,ALL,Public,JSS,JSS2,,lga,Mubi North,North East,Adamawa,Mubi North,,,6701,0,20.003,130,78,334.9998,51.5462,85.9103,75,52,44,66,3,34,43.52
2024/2025,Female,ALL,Public,JSS,JSS3,,lga,Mubi North,North East,Adamawa,Mubi North,,,6497,0,19.394,160,76,335.0005,40.6062,85.4868,96,57,43,71,3,61,45.0
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,lga,Mubi North,North East,Adamawa,Mubi North,,,20168,0,60.2017,391,135,335.0072,51.5806,149.3926,215,124,59,203,9,126,41.13
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 2,,lga,Mubi North,North East,Adamawa,Mubi North,,,19374,0,57.8343,525,130,334.9915,36.9029,149.0308,313,164,81,190,9,190,43.58
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 3,,lga,Mubi North,North East,Adamawa,Mubi North,,,18808,0,56.1432,411,126,335.0005,45.7616,149.2698,203,121,56,155,6,107,35.83
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 4,,lga,Mubi North,North East,Adamawa,Mubi North,,,18241,0,54.4521,475,122,334.9917,38.4021,149.5164,257,131,71,172,10,168,40.81
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 5,,lga,Mubi North,North East,Adamawa,Mubi North,,,18355,0,54.7903,549,123,335.0046,33.4335,149.2276,296,194,68,230,10,190,41.95
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 6,,lga,Mubi North,North East,Adamawa,Mubi North,,,18355,0,54.7903,474,123,335.0046,38.7236,149.2276,226,151,54,204,10,128,36.65
2024/2025,Female,ALL,Public,SSS,SSS1,SSS1,lga,Mubi North,North East,Adamawa,Mubi North,,,4709,4709,14.0567,127,27,335.0004,37.0787,174.4074,57,42,14,66,3,33,38.53
2024/2025,Female,ALL,Public,SSS,SSS2,,lga,Mubi North,North East,Adamawa,Mubi North,,,4317,4317,12.8866,108,25,334.9991,39.9722,172.68,65,42,14,38,2,42,44.03
2024/2025,Female,ALL,Public,SSS,SSS3,,lga,Mubi North,North East,Adamawa,Mubi North,,,4055,4055,12.1045,87,23,334.9994,46.6092,176.3043,54,24,15,33,2,32,44.73
2024/2025,Female,ALL,Public,Vocational,Tech/Voc,,lga,Mubi North,North East,Adamawa,Mubi North,,,500,0,1.4925,14,4,335.0084,35.7143,125.0,6,6,2,5,0,5,38.0
2024/2025,Male,ALL,Private,Adult & Non-Formal,IQS/IQTE,,lga,Mubi North,North East,Adamawa,Mubi North,,,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
2024/2025,Male,ALL,Private,JSS,JSS1,JSS1,lga,Mubi North,North East,Adamawa,Mubi North,,,2007,0,7.9643,66,22,251.9995,30.4091,91.2273,40,18,10,34,1,26,43.76
2024/2025,Male,ALL,Private,JSS,JSS2,,lga,Mubi North,North East,Adamawa,Mubi North,,,1892,0,7.5079,43,21,252.0012,44.0,90.0952,25,14,10,19,1,13,41.11
2024/2025,Male,ALL,Private,JSS,JSS3,,lga,Mubi North,North East,Adamawa,Mubi North,,,1835,0,7.2817,54,20,252.0016,33.9815,91.75,26,21,11,24,1,15,39.76
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Mubi North,North East,Adamawa,Mubi North,,,5979,0,23.7263,236,31,251.9988,25.3347,192.871,138,88,14,105,4,65,40.84
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 2,,lga,Mubi North,North East,Adamawa,Mubi North,,,5744,0,22.7932,221,30,252.005,25.991,191.4667,140,59,17,95,4,59,42.37
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 3,,lga,Mubi North,North East,Adamawa,Mubi North,,,5576,0,22.1268,219,29,252.0021,25.4612,192.2759,145,71,16,79,4,69,43.48
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 4,,lga,Mubi North,North East,Adamawa,Mubi North,,,5408,0,21.4603,190,28,252.0002,28.4632,193.1429,104,61,12,83,3,71,40.63
