session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,627,0,2.4881,21,11,251.9995,29.8571,57.0,18,16,1,13,0,5,49.26
2024/2025,Female,ALL,Private,JSS,JSS2,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,591,0,2.3452,18,10,252.0041,32.8333,59.1,12,14,1,13,0,3,44.49
2024/2025,Female,ALL,Private,JSS,JSS3,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,573,0,2.2738,16,10,252.0011,35.8125,57.3,15,10,1,14,0,3,53.1
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,1778,0,7.0578,55,9,251.9199,32.3273,197.5556,42,44,1,40,1,9,47.81
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,1708,0,6.7803,53,9,251.9063,32.2264,189.7778,33,41,1,32,1,10,42.08
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,1659,0,6.582,42,9,252.051,39.5,184.3333,27,31,1,31,1,7,43.97
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,1609,0,6.3838,41,8,252.0442,39.2439,201.125,29,33,1,28,1,7,46.0
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,1619,0,6.4234,49,8,252.0472,33.0408,202.375,33,42,1,36,1,10,47.14
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,1619,0,6.4234,57,8,252.0472,28.4035,202.375,45,48,1,52,1,11,52.81
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,519,519,2.0595,18,3,252.0029,28.8333,173.0,14,10,0,16,0,3,46.0
2024/2025,Female,ALL,Private,SSS,SSS2,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,476,476,1.8889,10,3,251.9985,47.6,158.6667,8,8,0,6,0,2,45.6
2024/2025,Female,ALL,Private,SSS,SSS3,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,447,447,1.7738,13,3,252.0014,34.3846,149.0,10,10,0,11,0,3,48.92
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,44,0,0.1746,2,1,252.0046,22.0,44.0,2,2,0,1,0,0,48.0
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
2024/2025,Female,ALL,Public,JSS,JSS1,JSS1,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,1332,0,3.9761,33,20,335.0016,40.3636,66.6,31,19,2,28,1,8,53.48
2024/2025,Female,ALL,Public,JSS,JSS2,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,1256,0,3.7493,23,19,334.9959,54.6087,66.1053,17,15,3,16,1,5,46.87
2024/2025,Female,ALL,Public,JSS,JSS3,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,1218,0,3.6358,20,18,335.0019,60.9,67.6667,19,11,2,15,0,4,50.98
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,3781,0,11.2863,100,24,335.0079,37.81,157.5417,82,81,3,67,2,19,49.36
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 2,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,3632,0,10.8424,93,23,334.9812,39.0538,157.913,88,74,2,74,2,17,53.99
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 3,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,3526,0,10.5254,86,23,334.9991,41.0,153.3043,81,54,2,58,2,20,50.93
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 4,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,3420,0,10.2084,88,22,335.0182,38.8636,155.4545,84,50,3,57,2,14,49.45
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 5,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,3441,0,10.2718,65,22,334.9948,52.9385,156.4091,62,38,3,39,1,12,49.32
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 6,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,3441,0,10.2718,78,22,334.9948,44.1154,156.4091,74,68,3,67,2,15,57.0
2024/2025,Female,ALL,Public,SSS,SSS1,SSS1,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,1103,1103,3.2925,29,10,335.0038,38.0345,110.3,24,19,1,27,1,5,51.26
2024/2025,Female,ALL,Public,SSS,SSS2,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,1011,1011,3.0179,20,9,335.0012,50.55,112.3333,13,14,1,17,0,3,44.98
2024/2025,Female,ALL,Public,SSS,SSS3,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,950,950,2.8358,20,9,335.0025,47.5,105.5556,19,12,1,16,0,4,52.38
2024/2025,Female,ALL,Public,Vocational,Tech/Voc,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,94,0,0.2806,3,1,334.9964,31.3333,94.0,2,2,0,2,0,1,44.0
2024/2025,Male,ALL,Private,Adult & Non-Formal,IQS/IQTE,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
2024/2025,Male,ALL,Private,JSS,JSS1,JSS1,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,547,0,2.1706,18,9,252.0041,30.3889,60.7778,16,14,1,12,0,4,51.11
2024/2025,Male,ALL,Private,JSS,JSS2,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,515,0,2.0437,16,9,251.9939,32.1875,57.2222,11,12,1,11,0,3,44.78
2024/2025,Male,ALL,Private,JSS,JSS3,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,500,0,1.9841,14,8,252.0034,35.7143,62.5,13,9,1,12,0,2,52.29
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,1629,0,6.4624,50,8,252.0735,32.58,203.625,38,40,1,36,1,8,47.76
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 2,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,1564,0,6.2083,49,8,251.9208,31.9184,195.5,30,38,1,30,1,9,42.08
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 3,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,1519,0,6.0267,39,8,252.0451,38.9487,189.875,25,29,1,29,1,7,44.56
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 4,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,1473,0,5.8452,38,8,252.0016,38.7632,184.125,27,31,1,26,1,6,46.0
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 5,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,1482,0,5.8815,45,8,251.9765,32.9333,185.25,30,39,1,33,1,10,47.42
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 6,,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,1482,0,5.8815,52,8,251.9765,28.5,185.25,41,44,1,47,1,10,52.69
2024/2025,Male,ALL,Private,SSS,SSS1,SSS1,lga,Abakaliki,South East,Ebonyi,Abakaliki,,,497,497,1.9722,17,3,252.0028,29.2353,165.6667,13,10,0,15,0,3,46.12
