session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,lga,Aboh-Mbaise,South East,Imo,Aboh-Mbaise,,,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,lga,Aboh-Mbaise,South East,Imo,Aboh-Mbaise,,,3556,0,14.1111,77,33,252.0002,46.1818,107.7576,43,15,27,10,1,50,46.23
2024/2025,Female,ALL,Private,JSS,JSS2,,lga,Aboh-Mbaise,South East,Imo,Aboh-Mbaise,,,3353,0,13.3056,110,31,251.9992,30.4818,108.1613,48,19,24,10,1,65,40.02
2024/2025,Female,ALL,Private,JSS,JSS3,,lga,Aboh-Mbaise,South East,Imo,Aboh-Mbaise,,,3251,0,12.9008,106,30,251.9999,30.6698,108.3667,50,27,28,13,1,66,45.69
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Aboh-Mbaise,South East,Imo,Aboh-Mbaise,,,10092,0,40.0493,268,62,251.9894,37.6567,162.7742,122,64,59,37,3,184,46.87
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,lga,Aboh-Mbaise,South East,Imo,Aboh-Mbaise,,,9696,0,38.4743,339,60,252.0124,28.6018,161.6,175,61,44,31,3,240,44.04
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,lga,Aboh-Mbaise,South East,Imo,Aboh-Mbaise,,,9412,0,37.3493,267,58,251.9994,35.2509,162.2759,129,59,47,31,3,185,44.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,lga,Aboh-Mbaise,South East,Imo,Aboh-Mbaise,,,9129,0,36.2244,289,57,252.0125,31.5882,160.1579,111,51,53,29,3,213,44.18
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,lga,Aboh-Mbaise,South East,Imo,Aboh-Mbaise,,,9185,0,36.4494,233,57,251.9932,39.4206,161.1404,120,50,53,26,2,201,50.98
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,lga,Aboh-Mbaise,South East,Imo,Aboh-Mbaise,,,9185,0,36.4494,318,57,251.9932,28.8836,161.1404,184,60,53,34,3,249,50.79
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,lga,Aboh-Mbaise,South East,Imo,Aboh-Mbaise,,,2945,2945,11.6865,72,46,252.0002,40.9028,64.0217,30,19,42,9,1,48,44.89
2024/2025,Female,ALL,Private,SSS,SSS2,,lga,Aboh-Mbaise,South East,Imo,Aboh-Mbaise,,,2700,2700,10.7143,78,42,251.9997,34.6154,64.2857,38,18,40,10,1,66,50.73
2024/2025,Female,ALL,Private,SSS,SSS3,,lga,Aboh-Mbaise,South East,Imo,Aboh-Mbaise,,,2536,2536,10.0635,66,40,251.9998,38.4242,63.4,33,16,34,8,1,58,50.15
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,lga,Aboh-Mbaise,South East,Imo,Aboh-Mbaise,,,250,0,0.9921,9,2,251.9907,27.7778,125.0,4,2,2,1,0,7,48.44
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,lga,Aboh-Mbaise,South East,Imo,Aboh-Mbaise,,,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
2024/2025,Female,ALL,Public,JSS,JSS1,JSS1,lga,Aboh-Mbaise,South East,Imo,Aboh-Mbaise,,,7558,0,22.5612,167,44,334.9999,45.2575,171.7727,72,30,42,23,2,120,46.17
