session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,lga,Alimosho,South West,Lagos,Alimosho,,,1561,0,2.8124,7,9,555.0409,223.0,173.4444,1,1,9,1,0,6,41.14
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,lga,Alimosho,South West,Lagos,Alimosho,,,3178,0,12.6111,96,22,252.0002,33.1042,144.4545,15,19,21,14,1,79,40.9
2024/2025,Female,ALL,Private,JSS,JSS2,,lga,Alimosho,South West,Lagos,Alimosho,,,2997,0,11.8929,67,21,251.9991,44.7313,142.7143,15,15,18,9,1,60,42.85
2024/2025,Female,ALL,Private,JSS,JSS3,,lga,Alimosho,South West,Lagos,Alimosho,,,2906,0,11.5317,90,20,252.001,32.2889,145.3,15,20,19,16,1,53,37.24
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Alimosho,South West,Lagos,Alimosho,,,9019,0,35.7886,216,69,252.0076,41.7546,130.7101,32,43,62,35,2,167,39.04
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,lga,Alimosho,South West,Lagos,Alimosho,,,8664,0,34.3812,224,66,251.9982,38.6786,131.2727,32,40,48,35,2,162,34.81
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,lga,Alimosho,South West,Lagos,Alimosho,,,8411,0,33.3759,201,64,252.0082,41.8458,131.4219,31,40,57,25,1,158,38.71
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,lga,Alimosho,South West,Lagos,Alimosho,,,8157,0,32.3706,227,62,251.9879,35.9339,131.5645,40,42,59,29,1,138,36.62
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,lga,Alimosho,South West,Lagos,Alimosho,,,8208,0,32.5717,251,63,251.9979,32.7012,130.2857,47,41,58,32,2,206,40.45
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,lga,Alimosho,South West,Lagos,Alimosho,,,8208,0,32.5717,305,63,251.9979,26.9115,130.2857,46,46,60,42,2,231,38.67
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,lga,Alimosho,South West,Lagos,Alimosho,,,2633,2633,10.4484,72,13,252.0003,36.5694,202.5385,11,14,11,10,1,46,35.26
2024/2025,Female,ALL,Private,SSS,SSS2,,lga,Alimosho,South West,Lagos,Alimosho,,,2413,2413,9.5754,62,12,251.9999,38.9194,201.0833,10,12,11,8,0,48,39.05
2024/2025,Female,ALL,Private,SSS,SSS3,,lga,Alimosho,South West,Lagos,Alimosho,,,2267,2267,8.996,54,11,252.0009,41.9815,206.0909,10,12,9,9,0,39,38.05
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,lga,Alimosho,South West,Lagos,Alimosho,,,311,0,1.2341,11,2,252.0055,28.2727,155.5,2,2,2,2,0,9,42.55
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,lga,Alimosho,South West,Lagos,Alimosho,,,1331,0,2.398,6,7,555.0409,221.8333,190.1429,1,1,6,1,0,4,36.38
2024/2025,Female,ALL,Public,JSS,JSS1,JSS1,lga,Alimosho,South West,Lagos,Alimosho,,,2707,0,8.0806,55,20,334.9999,49.2182,135.35,11,11,19,8,0,40,40.07
2024/2025,Female,ALL,Public,JSS,JSS2,,lga,Alimosho,South West,Lagos,Alimosho,,,2552,0,7.6179,57,19,335.0005,44.7719,134.3158,11,12,17,9,0,42,39.51
2024/2025,Female,ALL,Public,JSS,JSS3,,lga,Alimosho,South West,Lagos,Alimosho,,,2475,0,7.3881,64,18,334.9982,38.6719,137.5,11,14,17,8,1,44,38.42
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,lga,Alimosho,South West,Lagos,Alimosho,,,7682,0,22.9328,154,39,334.9787,49.8831,196.9744,33,30,28,24,1,109,36.53
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 2,,lga,Alimosho,South West,Lagos,Alimosho,,,7380,0,22.0309,196,37,334.984,37.6531,199.4595,36,44,35,23,1,136,38.77
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 3,,lga,Alimosho,South West,Lagos,Alimosho,,,7165,0,21.3868,121,36,335.0197,59.2149,199.0278,23,21,29,20,1,92,38.21
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 4,,lga,Alimosho,South West,Lagos,Alimosho,,,6949,0,20.7426,185,35,335.011,37.5622,198.5429,38,31,30,23,2,127,37.28
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 5,,lga,Alimosho,South West,Lagos,Alimosho,,,6992,0,20.8714,137,35,335.0039,51.0365,199.7714,28,21,26,19,1,113,38.22
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 6,,lga,Alimosho,South West,Lagos,Alimosho,,,6992,0,20.8714,139,35,335.0039,50.3022,199.7714,23,27,25,18,1,116,37.21
2024/2025,Female,ALL,Public,SSS,SSS1,SSS1,lga,Alimosho,South West,Lagos,Alimosho,,,2242,2242,6.6925,43,24,335.0019,52.1395,93.4167,9,7,17,6,0,35,37.66
2024/2025,Female,ALL,Public,SSS,SSS2,,lga,Alimosho,South West,Lagos,Alimosho,,,2056,2056,6.1373,38,22,335.0007,54.1053,93.4545,6,6,16,5,0,22,31.64
2024/2025,Female,ALL,Public,SSS,SSS3,,lga,Alimosho,South West,Lagos,Alimosho,,,1931,1931,5.7642,38,21,334.9988,50.8158,91.9524,6,9,20,6,0,26,38.71
2024/2025,Female,ALL,Public,Vocational,Tech/Voc,,lga,Alimosho,South West,Lagos,Alimosho,,,264,0,0.7881,8,2,334.9829,33.0,132.0,1,2,1,1,0,6,31.5
2024/2025,Male,ALL,Private,Adult & Non-Formal,IQS/IQTE,,lga,Alimosho,South West,Lagos,Alimosho,,,1946,0,3.506,8,11,555.0409,243.25,176.9091,1,1,10,1,0,7,39.05
2024/2025,Male,ALL,Private,JSS,JSS1,JSS1,lga,Alimosho,South West,Lagos,Alimosho,,,2943,0,11.6786,89,20,251.9994,33.0674,147.15,14,17,19,13,1,73,40.73
2024/2025,Male,ALL,Private,JSS,JSS2,,lga,Alimosho,South West,Lagos,Alimosho,,,2775,0,11.0119,62,19,252.0001,44.7581,146.0526,14,14,16,8,1,56,42.76
2024/2025,Male,ALL,Private,JSS,JSS3,,lga,Alimosho,South West,Lagos,Alimosho,,,2691,0,10.6786,83,18,251.9993,32.4217,149.5,14,18,17,14,1,49,37.04
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Alimosho,South West,Lagos,Alimosho,,,8768,0,34.7912,210,67,252.0178,41.7524,130.8657,31,42,60,34,2,162,38.96
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 2,,lga,Alimosho,South West,Lagos,Alimosho,,,8423,0,33.423,217,64,252.0121,38.8157,131.6094,31,38,46,34,2,157,34.65
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 3,,lga,Alimosho,South West,Lagos,Alimosho,,,8176,0,32.4457,196,63,251.9902,41.7143,129.7778,30,39,56,25,1,154,38.69
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 4,,lga,Alimosho,South West,Lagos,Alimosho,,,7930,0,31.4684,220,61,251.9988,36.0455,130.0,39,41,58,28,1,133,36.58
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 5,,lga,Alimosho,South West,Lagos,Alimosho,,,7979,0,31.6639,244,61,251.9904,32.7008,130.8033,45,39,56,31,2,201,40.34
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 6,,lga,Alimosho,South West,Lagos,Alimosho,,,7979,0,31.6639,296,61,251.9904,26.9561,130.8033,44,45,58,40,2,224,38.55
2024/2025,Male,ALL,Private,SSS,SSS1,SSS1,lga,Alimosho,South West,Lagos,Alimosho,,,2675,2675,10.6151,73,13,251.9995,36.6438,205.7692,11,14,11,10,1,46,34.96
