session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,lga,Akure North,South West,Ondo,Akure North,,,363,0,0.5646,1,3,642.9655,363.0,121.0,0,0,2,0,0,1,30.67
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,lga,Akure North,South West,Ondo,Akure North,,,677,0,2.6865,18,4,252.0007,37.6111,169.25,9,5,2,6,0,10,41.78
2024/2025,Female,ALL,Private,JSS,JSS2,,lga,Akure North,South West,Ondo,Akure North,,,639,0,2.5357,16,3,252.0014,39.9375,213.0,8,6,2,5,0,11,47.92
2024/2025,Female,ALL,Private,JSS,JSS3,,lga,Akure North,South West,Ondo,Akure North,,,619,0,2.4563,15,3,252.005,41.2667,206.3333,8,6,2,5,0,10,49.07
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Akure North,South West,Ondo,Akure North,,,1922,0,7.6285,68,14,251.9499,28.2647,137.2857,24,28,6,20,1,31,35.62
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,lga,Akure North,South West,Ondo,Akure North,,,1847,0,7.3285,49,13,252.0297,37.6939,142.0769,19,19,7,12,0,34,41.92
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,lga,Akure North,South West,Ondo,Akure North,,,1793,0,7.1143,64,13,252.0276,28.0156,137.9231,35,27,7,20,1,31,43.8
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,lga,Akure North,South West,Ondo,Akure North,,,1739,0,6.9,58,12,252.029,29.9828,144.9167,21,18,6,15,1,29,36.14
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,lga,Akure North,South West,Ondo,Akure North,,,1750,0,6.9428,56,12,252.0597,31.25,145.8333,27,21,5,19,1,32,41.67
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,lga,Akure North,South West,Ondo,Akure North,,,1749,0,6.9428,75,12,251.9157,23.32,145.75,39,24,5,19,1,47,41.76
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,lga,Akure North,South West,Ondo,Akure North,,,561,561,2.2262,18,12,251.9989,31.1667,46.75,9,7,5,5,0,9,39.78
2024/2025,Female,ALL,Private,SSS,SSS2,,lga,Akure North,South West,Ondo,Akure North,,,514,514,2.0397,11,11,251.9978,46.7273,46.7273,5,4,4,4,0,5,37.82
2024/2025,Female,ALL,Private,SSS,SSS3,,lga,Akure North,South West,Ondo,Akure North,,,483,483,1.9167,15,10,251.9956,32.2,48.3,7,5,4,4,0,10,41.07
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,lga,Akure North,South West,Ondo,Akure North,,,48,0,0.1905,1,1,251.9685,48.0,48.0,1,0,0,0,0,1,48.0
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,lga,Akure North,South West,Ondo,Akure North,,,768,0,1.1945,2,4,642.9655,384.0,192.0,1,1,2,1,0,1,46.0
2024/2025,Female,ALL,Public,JSS,JSS1,JSS1,lga,Akure North,South West,Ondo,Akure North,,,1439,0,4.2955,39,29,335.0017,36.8974,49.6207,19,16,16,11,1,25,44.93
