session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,lga,Ede North,South West,Osun,Ede North,,,0.0,0,1378.8219,0,0,0.0,0.0,0.0,0,0,0,0,0,0,45.95
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,lga,Ede North,South West,Osun,Ede North,,,397.0,0,1786.2838,9,2,0.2222,44.1111,198.5,5,4,1,5,5,2,45.95
2024/2025,Female,ALL,Private,JSS,JSS2,,lga,Ede North,South West,Osun,Ede North,,,374.0,0,1680.7803,8,2,0.2225,46.75,187.0,5,4,1,4,5,2,45.95
2024/2025,Female,ALL,Private,JSS,JSS3,,lga,Ede North,South West,Osun,Ede North,,,363.0,0,1633.4856,9,2,0.2222,40.3333,181.5,5,4,1,5,5,2,45.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Ede North,South West,Osun,Ede North,,,1290.0,0,5005.9604,34,13,0.2577,37.9412,99.2308,21,15,4,18,20,8,45.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,lga,Ede North,South West,Osun,Ede North,,,1240.0,0,4805.8675,35,13,0.258,35.4286,95.3846,21,16,4,19,21,9,45.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,lga,Ede North,South West,Osun,Ede North,,,1203.0,0,4667.6215,32,12,0.2577,37.5938,100.25,19,14,4,17,19,8,45.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,lga,Ede North,South West,Osun,Ede North,,,1167.0,0,4525.7375,30,12,0.2579,38.9,97.25,18,13,4,16,18,7,45.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,lga,Ede North,South West,Osun,Ede North,,,1174.0,0,4554.8419,36,12,0.2577,32.6111,97.8333,22,16,4,19,21,9,45.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,lga,Ede North,South West,Osun,Ede North,,,1174.0,0,4554.8419,31,12,0.2577,37.871,97.8333,19,14,4,16,18,8,45.95
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,lga,Ede North,South West,Osun,Ede North,,,0.0,299,1306.0609,8,2,0.0,0.0,0.0,5,4,1,4,5,2,45.95
2024/2025,Female,ALL,Private,SSS,SSS2,,lga,Ede North,South West,Osun,Ede North,,,0.0,275,1200.5574,10,2,0.0,0.0,0.0,6,4,1,5,6,2,45.95
2024/2025,Female,ALL,Private,SSS,SSS3,,lga,Ede North,South West,Osun,Ede North,,,0.0,258,1127.7963,7,2,0.0,0.0,0.0,4,3,1,4,4,2,45.95
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,lga,Ede North,South West,Osun,Ede North,,,0.0,0,170.9885,1,1,0.0,0.0,0.0,1,0,0,1,1,0,45.95
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,lga,Ede North,South West,Osun,Ede North,,,0.0,0,2885.4759,0,0,0.0,0.0,0.0,0,0,0,0,0,0,45.95
2024/2025,Female,ALL,Public,JSS,JSS1,JSS1,lga,Ede North,South West,Osun,Ede North,,,843.0,0,1675.995,13,11,0.503,64.8462,76.6364,8,6,4,7,8,3,45.95
2024/2025,Female,ALL,Public,JSS,JSS2,,lga,Ede North,South West,Osun,Ede North,,,795.0,0,1579.2365,17,10,0.5034,46.7647,79.5,10,8,3,9,10,4,45.95
2024/2025,Female,ALL,Public,JSS,JSS3,,lga,Ede North,South West,Osun,Ede North,,,771.0,0,1534.3129,16,10,0.5025,48.1875,77.1,10,7,3,8,9,4,45.95
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,lga,Ede North,South West,Osun,Ede North,,,2741.0,0,4796.4558,54,43,0.5715,50.7593,63.7442,33,24,15,29,32,13,45.95
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 2,,lga,Ede North,South West,Osun,Ede North,,,2634.0,0,4606.3945,56,42,0.5718,47.0357,62.7143,34,25,14,30,33,14,45.95
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 3,,lga,Ede North,South West,Osun,Ede North,,,2556.0,0,4471.6237,42,40,0.5716,60.8571,63.9,25,19,14,22,25,10,45.95
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 4,,lga,Ede North,South West,Osun,Ede North,,,2479.0,0,4336.853,55,39,0.5716,45.0727,63.5641,33,25,13,29,32,14,45.95
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 5,,lga,Ede North,South West,Osun,Ede North,,,2496.0,0,4364.4983,55,39,0.5719,45.3818,64.0,33,25,13,29,32,14,45.95
