session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Adult & Non-Formal Centre, Gbk/Central Market",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Adult & Non-Formal Centre, Gbk/Central Market",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Adult & Non-Formal Centre, Gbk/Central Market",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Adult & Non-Formal Centre, Gbk/Central Market",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,90,0.0,2,1,0,0.0,45.0,90.0,2,0,1,1,0,0,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,86,0.0,2,1,0,0.0,43.0,86.0,2,0,2,1,0,1,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,83,0.0,2,1,0,0.0,41.5,83.0,4,0,3,1,0,1,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,81,0.0,2,1,0,0.0,40.5,81.0,2,0,1,1,0,0,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,81,0.0,2,1,0,0.0,40.5,81.0,4,0,1,1,0,0,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,81,0.0,2,1,0,0.0,40.5,81.0,2,0,1,1,0,1,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,Public,JSS,JSS1,JSS1,245,0.0,4,1,0,0.0,61.25,245.0,6,1,3,2,0,1,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,Public,JSS,JSS2,,188,0.0,4,1,0,0.0,47.0,188.0,3,0,5,2,0,1,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,Public,JSS,JSS3,,183,0.0,4,1,0,0.0,45.75,183.0,5,0,3,2,0,1,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,207,0.0,5,1,0,0.0,41.4,207.0,6,0,4,2,0,1,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,Public,Pre-Primary/Primary,Primary 2,,199,0.0,4,1,0,0.0,49.75,199.0,3,0,4,3,0,1,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,Public,Pre-Primary/Primary,Primary 3,,193,0.0,4,1,0,0.0,48.25,193.0,4,1,4,1,0,1,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,Public,Pre-Primary/Primary,Primary 4,,188,0.0,4,1,0,0.0,47.0,188.0,4,0,3,2,0,1,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,Public,Pre-Primary/Primary,Primary 5,,189,0.0,3,1,0,0.0,63.0,189.0,5,0,4,2,0,1,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,Public,Pre-Primary/Primary,Primary 6,,189,0.0,4,1,0,0.0,47.25,189.0,4,1,4,1,0,1,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,Public,SSS,SSS1,SSS1,194,0.0,3,1,0,0.0,64.6667,194.0,5,0,3,2,0,1,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,Public,SSS,SSS2,,147,0.0,3,1,0,0.0,49.0,147.0,4,0,5,1,0,0,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,Public,SSS,SSS3,,166,0.0,3,1,144,0.0,55.3333,166.0,3,0,3,2,0,1,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,91,0.0,2,1,0,0.0,45.5,91.0,2,0,1,1,0,0,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,Private,Pre-Primary/Primary,Primary 2,,87,0.0,2,1,0,0.0,43.5,87.0,2,0,2,1,0,1,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,Private,Pre-Primary/Primary,Primary 3,,85,0.0,2,1,0,0.0,42.5,85.0,4,0,3,1,0,1,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,Private,Pre-Primary/Primary,Primary 4,,82,0.0,2,1,0,0.0,41.0,82.0,2,0,1,1,0,0,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,Private,Pre-Primary/Primary,Primary 5,,83,0.0,2,1,0,0.0,41.5,83.0,4,0,1,1,0,0,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,Private,Pre-Primary/Primary,Primary 6,,83,0.0,2,1,0,0.0,41.5,83.0,2,0,1,1,0,1,14.4
2024/2025,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,Public,JSS,JSS1,JSS1,236,0.0,4,1,0,0.0,59.0,236.0,6,1,3,2,0,1,14.4
