session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,North East,Borno,Biu,Buratai,"Adult & Non-Formal Centre, Buratai",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,2029,6.0,142,27,0,338.1667,14.2887,75.1481,60,14,291,24,4,47,14.4
2024/2025,North East,Borno,Biu,Buratai,"Adult & Non-Formal Centre, Buratai",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,2569,6.0,142,34,0,428.1667,18.0915,75.5588,60,14,291,24,4,47,14.4
2024/2025,North East,Borno,Biu,Buratai,"Adult & Non-Formal Centre, Buratai",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,161,6.0,142,2,0,26.8333,1.1338,80.5,60,14,291,24,4,47,14.4
2024/2025,North East,Borno,Biu,Buratai,"Adult & Non-Formal Centre, Buratai",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,204,6.0,142,3,0,34.0,1.4366,68.0,60,14,291,24,4,47,14.4
2024/2025,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,262,1.068,5,7,0,245.3184,52.4,37.4286,4,1,6,1,0,7,14.4
2024/2025,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,252,1.026,4,7,0,245.614,63.0,36.0,3,1,5,2,0,4,14.4
2024/2025,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,244,0.996,6,6,0,244.9799,40.6667,40.6667,5,1,4,1,0,4,14.4
2024/2025,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,237,0.966,6,6,0,245.3416,39.5,39.5,3,1,4,1,0,5,14.4
2024/2025,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,238,0.972,5,6,0,244.856,47.6,39.6667,3,1,5,1,0,4,14.4
2024/2025,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,239,0.972,6,6,0,245.8848,39.8333,39.8333,5,1,5,1,0,5,14.4
2024/2025,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,Public,JSS,JSS1,JSS1,480,0.0,7,2,0,0.0,68.5714,240.0,5,1,7,1,0,5,14.4
2024/2025,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,Public,JSS,JSS2,,408,0.0,6,2,0,0.0,68.0,204.0,2,1,10,1,0,3,14.4
2024/2025,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,Public,JSS,JSS3,,363,0.0,5,2,0,0.0,72.6,181.5,5,1,8,1,0,6,14.4
2024/2025,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,610,1.068,13,3,0,571.161,46.9231,203.3333,6,1,8,3,1,11,14.4
