session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Adult & Non-Formal Centre, Akwukwu",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0.0,964.1291,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Adult & Non-Formal Centre, Akwukwu",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0.0,964.1291,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Adult & Non-Formal Centre, Akwukwu",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0.0,65.6575,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Adult & Non-Formal Centre, Akwukwu",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0.0,65.6575,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,98.0,356.5292,3,2,0,0.2749,32.6667,49.0,1,1,2,1,1,2,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,95.0,356.5292,2,2,0,0.2665,47.5,47.5,1,1,2,1,0,1,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,92.0,356.5292,3,2,0,0.258,30.6667,46.0,1,1,2,1,1,2,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,90.0,356.5292,3,2,0,0.2524,30.0,45.0,1,1,2,1,1,2,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,90.0,356.5292,2,2,0,0.2524,45.0,45.0,1,1,2,1,0,1,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,90.0,356.5292,4,2,0,0.2524,22.5,45.0,2,1,2,1,1,2,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,Public,JSS,JSS1,JSS1,228.0,158.9603,4,2,0,1.4343,57.0,114.0,2,1,2,1,1,2,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,Public,JSS,JSS2,,196.0,158.9603,5,2,0,1.233,39.2,98.0,2,2,2,2,1,3,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,Public,JSS,JSS3,,186.0,158.9603,4,2,0,1.1701,46.5,93.0,2,1,2,1,1,2,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,228.0,342.1103,6,2,0,0.6665,38.0,114.0,3,2,2,2,1,4,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,Public,Pre-Primary/Primary,Primary 2,,219.0,342.1103,5,2,0,0.6401,43.8,109.5,2,2,2,2,1,3,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,Public,Pre-Primary/Primary,Primary 3,,213.0,342.1103,5,2,0,0.6226,42.6,106.5,2,2,2,2,1,3,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,Public,Pre-Primary/Primary,Primary 4,,206.0,342.1103,4,2,0,0.6021,51.5,103.0,2,1,2,1,1,2,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,Public,Pre-Primary/Primary,Primary 5,,207.0,342.1103,5,2,0,0.6051,41.4,103.5,2,2,2,2,1,3,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,Public,Pre-Primary/Primary,Primary 6,,207.0,342.1103,5,2,0,0.6051,41.4,103.5,2,2,2,2,1,3,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,Public,SSS,SSS1,SSS1,2.0,76.0245,1,1,0,0.0263,2.0,2.0,0,0,1,0,0,1,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,Public,SSS,SSS2,,2.0,76.0245,1,1,0,0.0263,2.0,2.0,0,0,1,0,0,1,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,Public,SSS,SSS3,,1.0,76.0245,1,1,32,0.0132,1.0,1.0,0,0,1,0,0,1,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,10.0,356.5292,3,2,0,0.028,3.3333,5.0,1,1,2,1,1,2,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,ALL,Private,Pre-Primary/Primary,Primary 2,,10.0,356.5292,2,2,0,0.028,5.0,5.0,1,1,2,1,0,1,44.43
2024/2025,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,ALL,Private,Pre-Primary/Primary,Primary 3,,10.0,356.5292,3,2,0,0.028,3.3333,5.0,1,1,2,1,1,2,44.43
