session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,North East,Gombe,Balanga,Bambam,"Adult & Non-Formal Centre, Bambam",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,14.4
2024/2025,North East,Gombe,Balanga,Bambam,"Adult & Non-Formal Centre, Bambam",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,14.4
2024/2025,North East,Gombe,Balanga,Bambam,"Adult & Non-Formal Centre, Bambam",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,14.4
2024/2025,North East,Gombe,Balanga,Bambam,"Adult & Non-Formal Centre, Bambam",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,14.4
2024/2025,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,145,0.356,3,3,0,407.3034,48.3333,48.3333,2,2,2,1,0,3,14.4
2024/2025,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,140,0.342,4,3,0,409.3567,35.0,46.6667,2,4,2,1,0,2,14.4
2024/2025,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,136,0.332,3,3,0,409.6386,45.3333,45.3333,1,3,2,0,0,4,14.4
2024/2025,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,131,0.322,3,3,0,406.8323,43.6667,43.6667,2,2,3,0,0,2,14.4
2024/2025,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,132,0.324,4,3,0,407.4074,33.0,44.0,2,3,2,1,0,2,14.4
2024/2025,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,132,0.324,3,3,0,407.4074,44.0,44.0,2,4,2,0,0,4,14.4
2024/2025,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,Public,JSS,JSS1,JSS1,210,0.0,3,1,0,0.0,70.0,210.0,1,1,5,1,0,4,14.4
2024/2025,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,Public,JSS,JSS2,,186,0.0,4,1,0,0.0,46.5,186.0,2,3,5,1,0,3,14.4
2024/2025,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,Public,JSS,JSS3,,195,0.0,3,1,0,0.0,65.0,195.0,1,2,3,1,0,4,14.4
