session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,1,0,0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Female,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,3,0,0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,1,0,0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Male,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,3,0,0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Afiyo Nomadic Primary School, Afiyau",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,54,0,1,1,55.0,0.0,0.0,22.5,45.0,1,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Afiyo Nomadic Primary School, Afiyau",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,53,0,1,1,55.0,0.0,0.0,22.0,44.0,1,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,Bankada Nomadic Primary School,Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,8,0,0,0,55.0,0.0,6.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Auyakayi,Bankada Nomadic Primary School,Female,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,20,0,0,0,55.0,0.0,6.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Auyakayi,Bankada Nomadic Primary School,Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,8,0,0,0,55.0,0.0,6.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Auyakayi,Bankada Nomadic Primary School,Male,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,19,0,0,0,55.0,0.0,6.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Auyakayi,Ganuwar Kuka Islamiya Primary School,Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,225,0,4,4,55.0,0.0,185.0,30.8333,61.6667,5,1,0,1,20,1
2022/2023,North West,Jigawa,Auyo,Auyakayi,Ganuwar Kuka Islamiya Primary School,Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,205,0,4,4,55.0,0.0,173.0,28.8333,57.6667,5,1,0,1,21,1
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Junior Secondary School, Hakudau",Female,ALL,Private,JSS,JSS1,JSS1,25,0,1,0,114.0,0.0,0.0,18.0,0.0,1,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Junior Secondary School, Hakudau",Female,ALL,Private,SSS,SSS1,SSS1,27,0,1,0,118.0,1.0,0.0,17.0,0.0,1,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Junior Secondary School, Hakudau",Female,ALL,Public,JSS,JSS1,JSS1,96,0,1,1,114.0,0.0,34.0,34.0,68.0,1,2,1,2,36,2
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Junior Secondary School, Hakudau",Female,ALL,Public,SSS,SSS1,SSS1,58,0,1,1,118.0,2.0,0.0,36.0,36.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Junior Secondary School, Hakudau",Female,Disabled,Private,JSS,JSS1,JSS1,0,0,0,0,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Junior Secondary School, Hakudau",Female,Disabled,Private,SSS,SSS1,SSS1,0,0,0,0,59.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Junior Secondary School, Hakudau",Female,Disabled,Public,JSS,JSS1,JSS1,9,0,0,0,57.0,0.0,2.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Junior Secondary School, Hakudau",Female,Disabled,Public,SSS,SSS1,SSS1,7,0,0,0,59.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Junior Secondary School, Hakudau",Male,ALL,Private,JSS,JSS1,JSS1,27,0,1,0,114.0,0.0,0.0,14.0,0.0,1,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Junior Secondary School, Hakudau",Male,ALL,Private,SSS,SSS1,SSS1,28,0,1,0,118.0,1.0,0.0,18.0,0.0,1,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Junior Secondary School, Hakudau",Male,ALL,Public,JSS,JSS1,JSS1,109,0,1,1,114.0,0.0,28.5,28.5,57.0,1,2,1,2,36,3
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Junior Secondary School, Hakudau",Male,ALL,Public,SSS,SSS1,SSS1,58,0,1,1,118.0,2.0,0.0,37.0,37.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Junior Secondary School, Hakudau",Male,Disabled,Private,JSS,JSS1,JSS1,0,0,0,0,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Junior Secondary School, Hakudau",Male,Disabled,Private,SSS,SSS1,SSS1,0,0,0,0,59.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Junior Secondary School, Hakudau",Male,Disabled,Public,JSS,JSS1,JSS1,7,0,0,0,57.0,0.0,1.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Junior Secondary School, Hakudau",Male,Disabled,Public,SSS,SSS1,SSS1,7,0,0,0,59.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
