session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Female,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,0,0.067194,0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Female,Disabled,Private,Pre-Primary/Primary,Primary 2,,0,0.057594,0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Female,Disabled,Private,Pre-Primary/Primary,Primary 3,,0,0.057594,0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Female,Disabled,Private,Pre-Primary/Primary,Primary 4,,0,0.057594,0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Female,Disabled,Private,Pre-Primary/Primary,Primary 5,,0,0.057594,0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Female,Disabled,Private,Pre-Primary/Primary,Primary 6,,0,0.057594,0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Female,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,1,0.081203,1,1,0,12.3148,1.0,1.0,1,1,1,1,1,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Female,Disabled,Public,Pre-Primary/Primary,Primary 2,,1,0.081203,1,1,0,12.3148,1.0,1.0,1,1,1,1,1,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Female,Disabled,Public,Pre-Primary/Primary,Primary 3,,2,0.081203,1,1,0,24.6296,2.0,2.0,1,1,1,1,1,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Female,Disabled,Public,Pre-Primary/Primary,Primary 4,,2,0.072181,1,1,0,27.708,2.0,2.0,1,1,1,1,1,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Female,Disabled,Public,Pre-Primary/Primary,Primary 5,,2,0.072181,1,1,0,27.708,2.0,2.0,1,1,1,1,1,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Female,Disabled,Public,Pre-Primary/Primary,Primary 6,,2,0.07237,1,1,0,27.6357,2.0,2.0,1,1,1,1,1,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Male,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,0,0.067194,0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Male,Disabled,Private,Pre-Primary/Primary,Primary 2,,0,0.057594,0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Male,Disabled,Private,Pre-Primary/Primary,Primary 3,,0,0.057594,0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Male,Disabled,Private,Pre-Primary/Primary,Primary 4,,0,0.057594,0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Male,Disabled,Private,Pre-Primary/Primary,Primary 5,,0,0.057594,0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Male,Disabled,Private,Pre-Primary/Primary,Primary 6,,0,0.057594,0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Male,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,1,0.081416,1,1,0,12.2826,1.0,1.0,1,1,1,1,1,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Male,Disabled,Public,Pre-Primary/Primary,Primary 2,,2,0.081416,1,1,0,24.5651,2.0,2.0,1,1,1,1,1,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Male,Disabled,Public,Pre-Primary/Primary,Primary 3,,2,0.081416,1,1,0,24.5651,2.0,2.0,1,1,1,1,1,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Male,Disabled,Public,Pre-Primary/Primary,Primary 4,,2,0.07237,1,1,0,27.6357,2.0,2.0,1,1,1,1,1,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Male,Disabled,Public,Pre-Primary/Primary,Primary 5,,2,0.07237,1,1,0,27.6357,2.0,2.0,1,1,1,1,1,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Male,Disabled,Public,Pre-Primary/Primary,Primary 6,,2,0.07237,1,1,0,27.6357,2.0,2.0,1,1,1,1,1,1,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adult & Non-Formal Centre, Auyakayi",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,137,8.666668,1,1,0,15.8077,137.0,137.0,0,2,0,1,0,0,51.73
2024/2025,North West,Jigawa,Auyo,Auyakayi,"Adult & Non-Formal Centre, Auyakayi",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,245,11.037843,1,1,0,22.1964,245.0,245.0,1,2,0,2,1,0,51.73
