session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,North Central,Niger,Agaie,Baro,"Adult & Non-Formal Centre, Baro",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Adult & Non-Formal Centre, Baro",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Adult & Non-Formal Centre, Baro",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Adult & Non-Formal Centre, Baro",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,189,0.89,4,5,0,212.3596,47.25,37.8,3,3,3,3,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,182,0.855,4,5,0,212.8655,45.5,36.4,1,4,4,3,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,176,0.83,5,4,0,212.0482,35.2,44.0,3,2,2,2,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,171,0.805,3,4,0,212.4224,57.0,42.75,3,1,2,3,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,172,0.81,5,4,0,212.3457,34.4,43.0,3,2,2,2,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,172,0.81,3,4,0,212.3457,57.3333,43.0,3,3,4,5,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,Public,JSS,JSS1,JSS1,273,0.0,5,2,0,0.0,54.6,136.5,3,3,4,1,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,Public,JSS,JSS2,,281,0.0,4,2,0,0.0,70.25,140.5,3,3,6,4,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,Public,JSS,JSS3,,273,0.0,4,2,0,0.0,68.25,136.5,1,3,4,2,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,440,0.534,8,3,0,823.97,55.0,146.6667,6,2,8,6,0,2,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,Public,Pre-Primary/Primary,Primary 2,,423,0.513,7,3,0,824.5614,60.4286,141.0,4,3,4,6,0,2,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,Public,Pre-Primary/Primary,Primary 3,,410,0.498,9,2,0,823.2932,45.5556,205.0,6,5,6,5,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,Public,Pre-Primary/Primary,Primary 4,,398,0.483,6,2,0,824.0166,66.3333,199.0,2,4,5,7,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,Public,Pre-Primary/Primary,Primary 5,,401,0.486,9,2,0,825.1029,44.5556,200.5,3,5,8,4,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,Public,Pre-Primary/Primary,Primary 6,,401,0.486,8,2,0,825.1029,50.125,200.5,2,3,5,4,0,2,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,Public,SSS,SSS1,SSS1,128,0.0,3,1,0,0.0,42.6667,128.0,1,1,2,1,0,0,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,Public,SSS,SSS2,,123,0.0,3,1,0,0.0,41.0,123.0,1,1,3,1,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,Public,SSS,SSS3,,142,0.0,2,1,124,0.0,71.0,142.0,1,1,2,2,0,0,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,232,0.89,5,6,0,260.6742,46.4,38.6667,3,3,3,3,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,ALL,Private,Pre-Primary/Primary,Primary 2,,223,0.855,4,6,0,260.8187,55.75,37.1667,1,4,4,3,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,ALL,Private,Pre-Primary/Primary,Primary 3,,216,0.83,6,5,0,260.241,36.0,43.2,3,2,2,2,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,ALL,Private,Pre-Primary/Primary,Primary 4,,209,0.805,4,5,0,259.6273,52.25,41.8,3,1,2,3,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,ALL,Private,Pre-Primary/Primary,Primary 5,,211,0.81,6,5,0,260.4938,35.1667,42.2,3,2,2,2,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,ALL,Private,Pre-Primary/Primary,Primary 6,,211,0.81,4,5,0,260.4938,52.75,42.2,3,3,4,5,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,ALL,Public,JSS,JSS1,JSS1,275,0.0,5,2,0,0.0,55.0,137.5,3,3,4,1,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,ALL,Public,JSS,JSS2,,277,0.0,4,2,0,0.0,69.25,138.5,3,3,6,4,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,ALL,Public,JSS,JSS3,,284,0.0,4,2,0,0.0,71.0,142.0,1,3,4,2,0,1,14.4
2024/2025,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,540,0.534,10,3,0,1011.236,54.0,180.0,6,2,8,6,0,2,14.4
