session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,South West,Osun,Ede North,Abogunde/Sagba,"Adult & Non-Formal Centre, Abogunde/Sagba",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,14.4
2024/2025,South West,Osun,Ede North,Abogunde/Sagba,"Adult & Non-Formal Centre, Abogunde/Sagba",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,14.4
2024/2025,South West,Osun,Ede North,Abogunde/Sagba,"Adult & Non-Formal Centre, Abogunde/Sagba",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,14.4
2024/2025,South West,Osun,Ede North,Abogunde/Sagba,"Adult & Non-Formal Centre, Abogunde/Sagba",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,14.4
2024/2025,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,83,0.0,3,1,0,0.0,27.6667,83.0,2,2,2,1,0,1,14.4
2024/2025,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,80,0.0,2,1,0,0.0,40.0,80.0,3,2,2,1,0,1,14.4
2024/2025,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,77,0.0,2,1,0,0.0,38.5,77.0,2,2,3,1,0,1,14.4
2024/2025,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,75,0.0,3,1,0,0.0,25.0,75.0,2,1,2,1,0,1,14.4
2024/2025,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,75,0.0,3,1,0,0.0,25.0,75.0,1,2,2,1,0,1,14.4
2024/2025,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,76,0.0,3,1,0,0.0,25.3333,76.0,3,2,1,1,0,1,14.4
2024/2025,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,ALL,Public,JSS,JSS1,JSS1,95,0.0,2,1,0,0.0,47.5,95.0,1,1,2,0,0,0,14.4
2024/2025,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,ALL,Public,JSS,JSS2,,82,0.0,2,1,0,0.0,41.0,82.0,2,1,4,0,0,0,14.4
2024/2025,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,ALL,Public,JSS,JSS3,,84,0.0,2,1,0,0.0,42.0,84.0,1,1,3,0,0,0,14.4
2024/2025,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,192,0.0,6,1,0,0.0,32.0,192.0,2,2,5,1,0,1,14.4
2024/2025,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,ALL,Public,Pre-Primary/Primary,Primary 2,,184,0.0,4,1,0,0.0,46.0,184.0,2,2,5,0,0,1,14.4
2024/2025,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,ALL,Public,Pre-Primary/Primary,Primary 3,,179,0.0,3,1,0,0.0,59.6667,179.0,4,3,4,1,0,1,14.4
2024/2025,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,ALL,Public,Pre-Primary/Primary,Primary 4,,173,0.0,4,1,0,0.0,43.25,173.0,3,2,4,0,0,1,14.4
2024/2025,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,ALL,Public,Pre-Primary/Primary,Primary 5,,175,0.0,4,1,0,0.0,43.75,175.0,3,3,3,1,0,1,14.4
