session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,North East,Yobe,Bade,Dagona,"Adult & Non-Formal Centre, Dagona",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,1718,5.0,183,19,0,343.6,9.388,90.4211,97,77,208,59,2,113,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Adult & Non-Formal Centre, Dagona",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,2181,5.0,183,24,0,436.2,11.918,90.875,97,77,208,59,2,113,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Adult & Non-Formal Centre, Dagona",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,137,5.0,183,2,0,27.4,0.7486,68.5,97,77,208,59,2,113,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Adult & Non-Formal Centre, Dagona",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,174,5.0,183,2,0,34.8,0.9508,87.0,97,77,208,59,2,113,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,268,1.068,6,3,0,250.9363,44.6667,89.3333,4,2,3,5,0,4,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,257,1.026,6,3,0,250.4873,42.8333,85.6667,5,3,4,5,0,4,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,250,0.996,6,3,0,251.004,41.6667,83.3333,3,4,4,5,0,4,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,242,0.966,6,3,0,250.5176,40.3333,80.6667,4,3,3,3,0,5,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,243,0.972,8,3,0,250.0,30.375,81.0,3,4,4,4,0,4,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,244,0.972,7,3,0,251.0288,34.8571,81.3333,2,3,3,5,0,5,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,Public,JSS,JSS1,JSS1,489,0.0,10,3,0,0.0,48.9,163.0,4,3,9,7,0,4,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,Public,JSS,JSS2,,445,0.0,6,3,0,0.0,74.1667,148.3333,3,2,8,6,0,6,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,Public,JSS,JSS3,,1106,1.0,21,7,0,1106.0,52.6667,158.0,6,4,14,7,0,5,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,623,0.89,12,3,0,700.0,51.9167,207.6667,8,4,8,7,0,5,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,Public,Pre-Primary/Primary,Primary 2,,599,0.855,9,3,0,700.5848,66.5556,199.6667,7,3,8,6,0,8,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,Public,Pre-Primary/Primary,Primary 3,,581,0.83,13,3,0,700.0,44.6923,193.6667,5,6,8,7,0,5,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,Public,Pre-Primary/Primary,Primary 4,,564,0.805,8,3,0,700.6211,70.5,188.0,4,4,9,8,0,8,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,Public,Pre-Primary/Primary,Primary 5,,567,0.81,11,3,0,700.0,51.5455,189.0,6,4,9,6,0,8,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,Public,Pre-Primary/Primary,Primary 6,,567,0.81,11,3,0,700.0,51.5455,189.0,7,4,5,7,0,7,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,Public,SSS,SSS1,SSS1,225,0.0,3,1,0,0.0,75.0,225.0,1,1,3,1,0,2,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,Public,SSS,SSS2,,185,0.0,3,1,0,0.0,61.6667,185.0,2,2,5,1,0,3,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,Public,SSS,SSS3,,212,0.0,3,1,175,0.0,70.6667,212.0,1,2,3,1,0,2,14.4
2024/2025,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,263,1.068,6,3,0,246.2547,43.8333,87.6667,4,2,3,5,0,4,14.4
