session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,0.0,0,465.6707,1,1,0.0,0.0,0.0,1,1,0,1,1,0,55.95
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,214.0,0,622.107,4,2,0.344,53.5,107.0,3,3,0,3,3,1,55.95
2024/2025,Female,ALL,Private,JSS,JSS2,,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,201.0,0,585.7265,4,2,0.3432,50.25,100.5,3,3,0,3,3,1,55.95
2024/2025,Female,ALL,Private,JSS,JSS3,,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,195.0,0,567.5362,4,2,0.3436,48.75,97.5,3,3,0,3,3,1,55.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,570.0,0,1742.6272,13,5,0.3271,43.8462,114.0,10,9,1,10,10,3,55.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,548.0,0,1673.5042,12,5,0.3275,45.6667,109.6,10,9,1,9,9,2,55.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,531.0,0,1626.2095,12,4,0.3265,44.25,132.75,10,9,0,9,9,2,55.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,516.0,0,1575.2768,11,4,0.3276,46.9091,129.0,9,8,0,8,8,2,55.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,518.0,0,1586.1909,11,4,0.3266,47.0909,129.5,9,8,0,8,8,2,55.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,518.0,0,1586.1909,12,4,0.3266,43.1667,129.5,10,9,0,9,9,2,55.95
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,136.0,141,454.7566,3,3,0.2991,45.3333,45.3333,2,2,0,2,2,1,55.95
2024/2025,Female,ALL,Private,SSS,SSS2,,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,124.0,129,414.738,3,2,0.299,41.3333,62.0,2,2,0,2,2,1,55.95
2024/2025,Female,ALL,Private,SSS,SSS3,,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,116.0,121,389.2716,3,2,0.298,38.6667,58.0,2,2,0,2,2,1,55.95
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,0.0,0,58.2088,1,1,0.0,0.0,0.0,1,1,0,1,1,0,55.95
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,0.0,0,974.4961,3,1,0.0,0.0,0.0,2,2,0,2,2,1,55.95
2024/2025,Female,ALL,Public,JSS,JSS1,JSS1,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,452.0,0,584.0065,8,5,0.774,56.5,90.4,6,6,1,6,6,2,55.95
2024/2025,Female,ALL,Public,JSS,JSS2,,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,427.0,0,549.4499,8,5,0.7771,53.375,85.4,6,6,1,6,6,2,55.95
2024/2025,Female,ALL,Public,JSS,JSS3,,ward,Abakpa,South East,Ebonyi,Abakaliki,Abakpa,,413.0,0,532.1716,8,4,0.7761,51.625,103.25,6,6,0,6,6,2,55.95
