session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,113,0,0.4484,4,1,252.0071,28.25,113.0,1,1,1,3,0,3,14.4
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,448,0,1.7778,10,6,251.9969,44.8,74.6667,3,2,4,8,0,6,14.4
2024/2025,Female,ALL,Private,JSS,JSS2,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,422,0,1.6746,10,6,252.0005,42.2,70.3333,3,4,5,4,0,8,14.4
2024/2025,Female,ALL,Private,JSS,JSS3,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,410,0,1.627,10,5,251.9975,41.0,82.0,3,3,3,7,0,8,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,1272,0,5.0469,34,13,252.0359,37.4118,97.8462,13,10,14,22,1,26,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,1222,0,4.8484,32,12,252.0419,38.1875,101.8333,14,12,9,16,1,16,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,1186,0,4.7066,31,12,251.9866,38.2581,98.8333,13,9,9,17,0,12,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,1150,0,4.5649,30,11,251.9223,38.3333,104.5455,12,12,10,13,1,24,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,1157,0,4.5932,31,11,251.8941,37.3226,105.1818,7,9,10,11,1,24,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,1158,0,4.5932,30,11,252.1118,38.6,105.2727,6,13,13,11,0,19,14.4
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,371,371,1.4722,9,7,252.0038,41.2222,53.0,3,3,4,8,0,3,14.4
2024/2025,Female,ALL,Private,SSS,SSS2,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,340,340,1.3492,8,6,252.0012,42.5,56.6667,3,3,6,7,0,6,14.4
2024/2025,Female,ALL,Private,SSS,SSS3,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,319,319,1.2659,8,6,251.9946,39.875,53.1667,2,2,4,7,0,5,14.4
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,32,0,0.127,1,1,251.9685,32.0,32.0,1,0,2,1,0,2,14.4
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,163,0,0.4866,5,2,334.9774,32.6,81.5,2,1,2,4,0,2,14.36
2024/2025,Female,ALL,Public,JSS,JSS1,JSS1,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,645,0,1.9254,15,9,334.9953,43.0,71.6667,4,4,7,13,0,6,14.4
2024/2025,Female,ALL,Public,JSS,JSS2,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,608,0,1.8149,14,8,335.0047,43.4286,76.0,4,6,8,10,0,6,14.4
2024/2025,Female,ALL,Public,JSS,JSS3,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,589,0,1.7582,14,8,335.0017,42.0714,73.625,6,3,4,8,0,9,14.4
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,1831,0,5.4664,48,17,334.9554,38.1458,107.7059,24,9,22,36,1,43,14.4
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 2,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,1759,0,5.2515,46,17,334.9519,38.2391,103.4706,24,16,11,20,1,39,14.4
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 3,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,1708,0,5.0979,45,16,335.0399,37.9556,106.75,17,11,17,31,0,38,14.4
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 4,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,1656,0,4.9444,44,16,334.9244,37.6364,103.5,9,17,13,23,0,30,14.4
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 5,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,1667,0,4.9751,44,16,335.0686,37.8864,104.1875,10,16,15,36,1,19,14.4
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 6,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,1667,0,4.9751,44,16,335.0686,37.8864,104.1875,10,14,20,33,1,23,14.4
2024/2025,Female,ALL,Public,SSS,SSS1,SSS1,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,534,534,1.594,13,10,335.0063,41.0769,53.4,3,4,13,10,0,11,14.4
2024/2025,Female,ALL,Public,SSS,SSS2,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,489,489,1.4597,12,9,335.0003,40.75,54.3333,4,2,6,9,0,7,14.4
2024/2025,Female,ALL,Public,SSS,SSS3,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,460,460,1.3731,11,8,335.0084,41.8182,57.5,5,2,7,10,0,9,14.4
2024/2025,Female,ALL,Public,Vocational,Tech/Voc,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,45,0,0.1343,2,1,335.0707,22.5,45.0,1,1,2,2,0,2,14.4
2024/2025,Male,ALL,Private,Adult & Non-Formal,IQS/IQTE,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,270,0,1.0714,8,3,252.0067,33.75,90.0,1,1,1,3,0,3,14.4
2024/2025,Male,ALL,Private,JSS,JSS1,JSS1,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,797,0,3.1627,19,11,251.9999,41.9474,72.4545,3,2,4,8,0,6,14.4
2024/2025,Male,ALL,Private,JSS,JSS2,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,751,0,2.9802,17,10,251.9965,44.1765,75.1,3,4,5,4,0,8,14.4
2024/2025,Male,ALL,Private,JSS,JSS3,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,729,0,2.8929,17,10,251.9963,42.8824,72.9,3,3,3,7,0,8,14.4
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,2374,0,9.4213,62,23,251.9822,38.2903,103.2174,13,10,14,22,1,26,14.4
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 2,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,2281,0,9.0508,60,22,252.0219,38.0167,103.6818,14,12,9,16,1,16,14.4
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 3,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,2214,0,8.7862,58,21,251.9861,38.1724,105.4286,13,9,9,17,0,12,14.4
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 4,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,2147,0,8.5215,57,20,251.9509,37.6667,107.35,12,12,10,13,1,24,14.4
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 5,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,2161,0,8.5744,57,21,252.0293,37.9123,102.9048,7,9,10,11,1,24,14.4
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 6,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,2161,0,8.5744,57,21,252.0293,37.9123,102.9048,6,13,13,11,0,19,14.4
2024/2025,Male,ALL,Private,SSS,SSS1,SSS1,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,724,724,2.873,18,13,252.0014,40.2222,55.6923,3,3,4,8,0,3,14.4
2024/2025,Male,ALL,Private,SSS,SSS2,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,664,664,2.6349,16,12,252.002,41.5,55.3333,3,3,6,7,0,6,14.4
2024/2025,Male,ALL,Private,SSS,SSS3,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,623,623,2.4722,15,11,252.0023,41.5333,56.6364,2,2,4,7,0,5,14.4
2024/2025,Male,ALL,Private,Vocational,Tech/Voc,,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,103,0,0.4087,4,3,252.0186,25.75,34.3333,1,0,2,1,0,2,14.4
