session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,0.0,0,407.4619,2,1,0.0,0.0,0.0,1.1415,0.6439,0.6526,0.5299,0.46,1.2108,47.11
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,67.0,0,545.7079,2,1,0.1228,33.5,67.0,1.1415,0.6439,0.6526,0.5299,0.46,1.2108,47.11
2024/2025,Female,ALL,Private,JSS,JSS2,,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,64.0,0,512.9654,2,1,0.1248,32.0,64.0,1.1415,0.6439,0.6526,0.5299,0.46,1.2108,47.11
2024/2025,Female,ALL,Private,JSS,JSS3,,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,62.0,0,498.4132,2,1,0.1244,31.0,62.0,1.1415,0.6439,0.6526,0.5299,0.46,1.2108,47.11
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,215.0,0,1524.3441,7,3,0.141,30.7143,71.6667,3.9954,2.2538,1.9578,1.8547,1.6098,4.2377,47.11
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,206.0,0,1462.4972,7,3,0.1409,29.4286,68.6667,3.9954,2.2538,1.9578,1.8547,1.6098,4.2377,47.11
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,201.0,0,1418.8405,7,2,0.1417,28.7143,100.5,3.9954,2.2538,1.3052,1.8547,1.6098,4.2377,47.11
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,194.0,0,1378.8219,6,2,0.1407,32.3333,97.0,3.4246,1.9318,1.3052,1.5897,1.3799,3.6323,47.11
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,196.0,0,1386.0981,6,2,0.1414,32.6667,98.0,3.4246,1.9318,1.3052,1.5897,1.3799,3.6323,47.11
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,196.0,0,1386.0981,6,2,0.1414,32.6667,98.0,3.4246,1.9318,1.3052,1.5897,1.3799,3.6323,47.11
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,90.0,62,400.1858,2,1,0.2249,45.0,90.0,1.1415,0.6439,0.6526,0.5299,0.46,1.2108,47.11
2024/2025,Female,ALL,Private,SSS,SSS2,,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,83.0,57,367.4433,1,1,0.2259,83.0,83.0,0.5708,0.322,0.6526,0.265,0.23,0.6054,47.11
2024/2025,Female,ALL,Private,SSS,SSS3,,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,77.0,53,341.9769,1,1,0.2252,77.0,77.0,0.5708,0.322,0.6526,0.265,0.23,0.6054,47.11
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,0.0,0,54.5708,1,1,0.0,0.0,0.0,0.5708,0.322,0.6526,0.265,0.23,0.6054,47.11
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,0.0,0,850.0923,7,2,0.0,0.0,0.0,3.9954,2.2538,1.3052,1.8547,1.6098,4.2377,47.11
2024/2025,Female,ALL,Public,JSS,JSS1,JSS1,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,239.0,0,511.4376,8,4,0.4673,29.875,59.75,4.5662,2.5758,2.6105,2.1197,1.8398,4.843,47.11
2024/2025,Female,ALL,Public,JSS,JSS2,,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,226.0,0,480.3367,7,4,0.4705,32.2857,56.5,3.9954,2.2538,2.6105,1.8547,1.6098,4.2377,47.11
2024/2025,Female,ALL,Public,JSS,JSS3,,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,219.0,0,466.5141,7,4,0.4694,31.2857,54.75,3.9954,2.2538,2.6105,1.8547,1.6098,4.2377,47.11
