session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,106,0,0.4206,3,1,252.0209,35.3333,106.0,4,1,0,2,0,0,14.4
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,160,0,0.6349,4,2,252.0082,40.0,80.0,3,1,0,2,0,0,14.4
2024/2025,Female,ALL,Private,JSS,JSS2,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,151,0,0.5992,4,2,252.0027,37.75,75.5,2,1,0,3,0,0,14.4
2024/2025,Female,ALL,Private,JSS,JSS3,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,146,0,0.5794,3,2,251.9848,48.6667,73.0,2,1,1,3,0,0,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,454,0,1.8026,12,4,251.8584,37.8333,113.5,10,3,2,12,1,2,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,436,0,1.7317,11,4,251.7757,39.6364,109.0,9,2,2,7,0,1,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,424,0,1.6811,11,4,252.2158,38.5455,106.0,5,5,2,4,0,1,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,411,0,1.6305,11,3,252.0699,37.3636,137.0,5,3,2,10,0,1,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,413,0,1.6406,11,4,251.7372,37.5455,103.25,11,4,2,4,0,2,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,414,0,1.6406,11,4,252.3467,37.6364,103.5,5,4,2,5,1,1,14.4
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,106,106,0.4206,3,2,252.0209,35.3333,53.0,1,1,1,2,0,0,14.4
2024/2025,Female,ALL,Private,SSS,SSS2,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,97,97,0.3849,2,2,252.0135,48.5,48.5,3,1,1,2,0,0,14.4
2024/2025,Female,ALL,Private,SSS,SSS3,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,92,92,0.3651,2,2,251.9858,46.0,46.0,2,1,1,2,0,0,14.4
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,11,0,0.0437,1,1,251.7162,11.0,11.0,1,0,0,0,0,0,14.4
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,377,0,1.1254,12,4,334.992,31.4167,94.25,12,4,2,8,0,2,14.4
2024/2025,Female,ALL,Public,JSS,JSS1,JSS1,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,568,0,1.6955,13,8,335.0044,43.6923,71.0,7,3,3,6,0,1,14.4
2024/2025,Female,ALL,Public,JSS,JSS2,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,536,0,1.6,12,7,335.0,44.6667,76.5714,7,5,2,10,0,1,14.4
2024/2025,Female,ALL,Public,JSS,JSS3,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,519,0,1.5493,12,7,334.99,43.25,74.1429,11,5,2,7,1,1,14.4
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,1612,0,4.8113,42,16,335.0446,38.381,100.75,20,18,8,24,1,4,14.4
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 2,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,1548,0,4.6221,41,15,334.9127,37.7561,103.2,23,8,6,18,1,3,14.4
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 3,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,1503,0,4.487,40,15,334.9677,37.575,100.2,19,15,5,30,2,4,14.4
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 4,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,1458,0,4.3518,38,14,335.0338,38.3684,104.1429,22,8,6,18,1,2,14.4
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 5,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,1467,0,4.3788,39,14,335.0233,37.6154,104.7857,38,10,7,14,1,4,14.4
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 6,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,1467,0,4.3788,39,14,335.0233,37.6154,104.7857,34,15,7,32,2,5,14.4
2024/2025,Female,ALL,Public,SSS,SSS1,SSS1,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,376,376,1.1224,9,7,334.9964,41.7778,53.7143,8,2,4,8,0,1,14.4
2024/2025,Female,ALL,Public,SSS,SSS2,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,345,345,1.0299,8,6,334.984,43.125,57.5,7,2,2,4,0,1,14.4
2024/2025,Female,ALL,Public,SSS,SSS3,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,324,324,0.9672,8,6,334.9876,40.5,54.0,3,3,2,4,0,1,14.4
2024/2025,Female,ALL,Public,Vocational,Tech/Voc,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,40,0,0.1194,1,1,335.0084,40.0,40.0,2,0,1,1,0,0,14.4
2024/2025,Male,ALL,Private,Adult & Non-Formal,IQS/IQTE,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,155,0,0.6151,5,1,251.9915,31.0,155.0,4,1,0,2,0,0,14.4
2024/2025,Male,ALL,Private,JSS,JSS1,JSS1,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,173,0,0.6865,4,2,252.0029,43.25,86.5,3,1,0,2,0,0,14.4
2024/2025,Male,ALL,Private,JSS,JSS2,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,163,0,0.6468,4,2,252.0099,40.75,81.5,2,1,0,3,0,0,14.4
2024/2025,Male,ALL,Private,JSS,JSS3,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,158,0,0.627,4,2,251.9936,39.5,79.0,2,1,1,3,0,0,14.4
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,516,0,2.047,14,5,252.0762,36.8571,103.2,10,3,2,12,1,2,14.4
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 2,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,496,0,1.9665,13,5,252.2248,38.1538,99.2,9,2,2,7,0,1,14.4
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 3,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,481,0,1.909,13,5,251.9644,37.0,96.2,5,5,2,4,0,1,14.4
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 4,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,467,0,1.8515,12,4,252.2279,38.9167,116.75,5,3,2,10,0,1,14.4
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 5,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,469,0,1.863,13,5,251.7445,36.0769,93.8,11,4,2,4,0,2,14.4
2024/2025,Male,ALL,Private,Pre-Primary/Primary,Primary 6,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,469,0,1.863,13,4,251.7445,36.0769,117.25,5,4,2,5,1,1,14.4
2024/2025,Male,ALL,Private,SSS,SSS1,SSS1,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,126,126,0.5,3,2,252.0,42.0,63.0,1,1,1,2,0,0,14.4
2024/2025,Male,ALL,Private,SSS,SSS2,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,115,115,0.4563,3,2,252.0272,38.3333,57.5,3,1,1,2,0,0,14.4
2024/2025,Male,ALL,Private,SSS,SSS3,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,108,108,0.4286,3,2,251.9832,36.0,54.0,2,1,1,2,0,0,14.4
2024/2025,Male,ALL,Private,Vocational,Tech/Voc,,ward,Lafiagi I,North Central,Kwara,Edu,Lafiagi I,,22,0,0.0873,1,1,252.0046,22.0,22.0,1,0,0,0,0,0,14.4
