session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,71,0,0.2817,2,1,252.0412,35.5,71.0,1,1,1,1,0,0,14.4
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,108,0,0.4286,3,1,251.9832,36.0,108.0,2,1,1,1,0,0,14.4
2024/2025,Female,ALL,Private,JSS,JSS2,,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,101,0,0.4008,2,1,251.996,50.5,101.0,1,1,1,0,0,0,14.4
2024/2025,Female,ALL,Private,JSS,JSS3,,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,98,0,0.3889,2,1,251.9928,49.0,98.0,1,1,1,0,0,0,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,305,0,1.2093,8,3,252.212,38.125,101.6667,5,4,3,2,0,1,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,293,0,1.1617,8,3,252.2166,36.625,97.6667,6,2,2,2,0,1,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,284,0,1.1278,8,3,251.8177,35.5,94.6667,5,3,2,1,0,1,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,276,0,1.0938,7,2,252.3313,39.4286,138.0,5,2,2,2,0,1,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,277,0,1.1006,7,3,251.6809,39.5714,92.3333,3,4,2,2,0,0,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,277,0,1.1006,7,2,251.6809,39.5714,138.5,5,3,1,1,0,1,14.4
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,71,71,0.2817,2,1,252.0412,35.5,71.0,1,1,1,0,0,0,14.4
2024/2025,Female,ALL,Private,SSS,SSS2,,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,66,66,0.2619,2,1,252.0046,33.0,66.0,1,1,1,1,0,0,14.4
2024/2025,Female,ALL,Private,SSS,SSS3,,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,62,62,0.246,2,1,252.0325,31.0,62.0,2,1,1,0,0,0,14.4
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,7,0,0.0278,1,1,251.7986,7.0,7.0,0,0,1,0,0,0,14.4
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,252,0,0.7522,8,2,335.0173,31.5,126.0,5,5,3,2,0,1,14.4
2024/2025,Female,ALL,Public,JSS,JSS1,JSS1,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,380,0,1.1343,9,5,335.0084,42.2222,76.0,4,3,5,1,0,1,14.4
2024/2025,Female,ALL,Public,JSS,JSS2,,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,359,0,1.0716,8,5,335.0131,44.875,71.8,4,2,5,1,0,1,14.4
2024/2025,Female,ALL,Public,JSS,JSS3,,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,348,0,1.0388,8,5,335.0019,43.5,69.6,3,2,5,2,0,1,14.4
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,1080,0,3.222,28,10,335.1955,38.5714,108.0,17,11,9,7,1,3,14.4
