session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,ward,Dagona,North East,Yobe,Bade,Dagona,,181,0,0.7183,6,2,251.9839,30.1667,90.5,4,2,2,2,0,3,14.4
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,ward,Dagona,North East,Yobe,Bade,Dagona,,272,0,1.0794,6,4,251.9918,45.3333,68.0,1,2,3,3,0,3,14.4
2024/2025,Female,ALL,Private,JSS,JSS2,,ward,Dagona,North East,Yobe,Bade,Dagona,,257,0,1.0198,6,3,252.0102,42.8333,85.6667,3,2,1,3,0,3,14.4
2024/2025,Female,ALL,Private,JSS,JSS3,,ward,Dagona,North East,Yobe,Bade,Dagona,,249,0,0.9881,6,3,251.9988,41.5,83.0,4,2,2,4,0,2,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,ward,Dagona,North East,Yobe,Bade,Dagona,,773,0,3.0663,20,7,252.0954,38.65,110.4286,11,7,5,14,0,13,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,ward,Dagona,North East,Yobe,Bade,Dagona,,742,0,2.9457,20,7,251.8926,37.1,106.0,9,5,5,12,0,13,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,ward,Dagona,North East,Yobe,Bade,Dagona,,721,0,2.8595,19,7,252.142,37.9474,103.0,6,5,4,6,0,10,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,ward,Dagona,North East,Yobe,Bade,Dagona,,699,0,2.7734,18,6,252.0372,38.8333,116.5,11,7,3,11,0,7,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,ward,Dagona,North East,Yobe,Bade,Dagona,,703,0,2.7906,18,7,251.9172,39.0556,100.4286,10,5,5,8,0,12,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,ward,Dagona,North East,Yobe,Bade,Dagona,,703,0,2.7906,18,7,251.9172,39.0556,100.4286,6,7,3,11,0,8,14.4
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,ward,Dagona,North East,Yobe,Bade,Dagona,,180,180,0.7143,4,3,251.995,45.0,60.0,1,1,2,3,0,1,14.4
2024/2025,Female,ALL,Private,SSS,SSS2,,ward,Dagona,North East,Yobe,Bade,Dagona,,166,166,0.6587,4,3,252.0115,41.5,55.3333,2,1,2,2,0,1,14.4
2024/2025,Female,ALL,Private,SSS,SSS3,,ward,Dagona,North East,Yobe,Bade,Dagona,,156,156,0.619,4,3,252.0194,39.0,52.0,2,2,1,2,0,1,14.4
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,ward,Dagona,North East,Yobe,Bade,Dagona,,19,0,0.0754,1,1,251.9894,19.0,19.0,0,0,1,0,0,1,14.4
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,ward,Dagona,North East,Yobe,Bade,Dagona,,641,0,1.9134,20,6,335.0057,32.05,106.8333,7,8,6,14,0,6,14.4
