session,gender,disability,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,ALL,NABTEB,lga,Aba North,South East,Abia,Aba North,,,2,2,2,0,560,502,100.0,0.0,27000.0,89.2593
2022/2023,Female,ALL,NABTEB,lga,Aba South,South East,Abia,Aba South,,,2,2,2,0,591,567,100.0,0.0,28500.0,95.4386
2022/2023,Female,ALL,NABTEB,lga,Arochukwu,South East,Abia,Arochukwu,,,2,2,2,0,628,577,100.0,0.0,30300.0,91.4191
2022/2023,Female,ALL,NABTEB,lga,Umuahia North,South East,Abia,Umuahia North,,,2,2,2,0,630,569,100.0,0.0,30400.0,89.8026
2022/2023,Female,ALL,NABTEB,lga,Umuahia South,South East,Abia,Umuahia South,,,2,2,2,0,661,602,100.0,0.0,31900.0,90.5956
2022/2023,Female,ALL,NECO,lga,Aba North,South East,Abia,Aba North,,,2,2,2,0,1156,1108,100.0,0.0,55800.0,95.3405
2022/2023,Female,ALL,NECO,lga,Aba South,South East,Abia,Aba South,,,2,2,2,0,1258,1188,100.0,0.0,60700.0,93.9044
2022/2023,Female,ALL,NECO,lga,Arochukwu,South East,Abia,Arochukwu,,,2,2,2,0,1268,1183,100.0,0.0,61200.0,92.8105
2022/2023,Female,ALL,NECO,lga,Umuahia North,South East,Abia,Umuahia North,,,2,2,2,0,1266,1206,100.0,0.0,61100.0,94.7627
2022/2023,Female,ALL,NECO,lga,Umuahia South,South East,Abia,Umuahia South,,,2,2,2,0,1299,1215,100.0,0.0,62700.0,92.9825
2022/2023,Female,ALL,WAEC,lga,Aba North,South East,Abia,Aba North,,,2,2,3,4,1471,1342,100.0,50.0,35500.0,90.7042
2022/2023,Female,ALL,WAEC,lga,Aba South,South East,Abia,Aba South,,,3,2,3,4,1571,1433,50.0,50.0,37900.0,90.7652
2022/2023,Female,ALL,WAEC,lga,Arochukwu,South East,Abia,Arochukwu,,,3,2,3,4,1712,1560,50.0,50.0,41300.0,90.678
2022/2023,Female,ALL,WAEC,lga,Umuahia North,South East,Abia,Umuahia North,,,3,2,3,4,1637,1496,50.0,50.0,39500.0,90.8861
2022/2023,Female,ALL,WAEC,lga,Umuahia South,South East,Abia,Umuahia South,,,3,2,3,4,1803,1646,50.0,50.0,43500.0,90.8046
2022/2023,Female,Disabled,NABTEB,lga,Aba North,South East,Abia,Aba North,,,0,0,0,0,95,77,0,0,0,80.4348
2022/2023,Female,Disabled,NABTEB,lga,Aba South,South East,Abia,Aba South,,,0,0,0,0,93,88,0,0,0,93.3333
2022/2023,Female,Disabled,NABTEB,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,0,83,75,0,0,0,90.0
2022/2023,Female,Disabled,NABTEB,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,0,85,83,0,0,0,97.561
2022/2023,Female,Disabled,NABTEB,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,0,83,75,0,0,0,90.0
2022/2023,Female,Disabled,NECO,lga,Aba North,South East,Abia,Aba North,,,0,0,0,0,83,81,0,0,0,97.5
2022/2023,Female,Disabled,NECO,lga,Aba South,South East,Abia,Aba South,,,0,0,0,0,104,102,0,0,0,98.0
2022/2023,Female,Disabled,NECO,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,0,91,85,0,0,0,93.1818
2022/2023,Female,Disabled,NECO,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,0,83,81,0,0,0,97.5
2022/2023,Female,Disabled,NECO,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,0,83,75,0,0,0,90.0
2022/2023,Female,Disabled,WAEC,lga,Aba North,South East,Abia,Aba North,,,0,0,0,0,99,96,0,0,0,95.8333
