session,gender,disability,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,ALL,NABTEB,lga,Balanga,North East,Gombe,Balanga,,,202,171,250,212,149,142,75.9582,37.3089,48.9297,95.0
2022/2023,Female,ALL,NABTEB,lga,Gombe,North East,Gombe,Gombe,,,225,191,279,234,155,140,76.25,36.9863,45.7534,89.8204
2022/2023,Female,ALL,NABTEB,lga,Kaltungo,North East,Gombe,Kaltungo,,,211,180,264,222,161,145,76.0797,37.1014,50.1449,89.5954
2022/2023,Female,ALL,NABTEB,lga,Nafada,North East,Gombe,Nafada,,,216,184,270,229,161,150,76.2215,37.3938,49.0085,92.4855
2022/2023,Female,ALL,NABTEB,lga,Yamaltu/Deba,North East,Gombe,Yamaltu/Deba,,,223,190,286,239,173,164,76.1006,36.8984,49.7326,94.086
2022/2023,Female,ALL,NECO,lga,Balanga,North East,Gombe,Balanga,,,361,275,448,380,295,272,68.2879,37.3083,54.0034,91.4826
2022/2023,Female,ALL,NECO,lga,Gombe,North East,Gombe,Gombe,,,410,314,512,435,331,307,68.4932,37.4627,53.1343,92.1348
2022/2023,Female,ALL,NECO,lga,Kaltungo,North East,Gombe,Kaltungo,,,393,300,496,420,316,294,68.5152,37.2881,52.2342,92.6254
2022/2023,Female,ALL,NECO,lga,Nafada,North East,Gombe,Nafada,,,401,306,502,425,339,316,68.3012,37.2907,55.4033,92.8571
2022/2023,Female,ALL,NECO,lga,Yamaltu/Deba,North East,Gombe,Yamaltu/Deba,,,419,319,523,444,340,313,68.2886,37.3723,53.2847,91.5068
2022/2023,Female,ALL,WAEC,lga,Balanga,North East,Gombe,Balanga,,,467,384,586,494,345,320,73.6842,37.1578,48.3703,92.1833
2022/2023,Female,ALL,WAEC,lga,Gombe,North East,Gombe,Gombe,,,547,450,666,565,391,361,73.6842,37.3853,48.1651,91.9048
2022/2023,Female,ALL,WAEC,lga,Kaltungo,North East,Gombe,Kaltungo,,,506,417,629,534,382,355,73.75,37.3786,49.7573,92.439
2022/2023,Female,ALL,WAEC,lga,Nafada,North East,Gombe,Nafada,,,526,433,668,567,425,390,73.6983,37.3714,52.1143,91.4474
2022/2023,Female,ALL,WAEC,lga,Yamaltu/Deba,North East,Gombe,Yamaltu/Deba,,,561,461,710,602,437,400,73.6842,37.3118,50.4301,91.0448
2022/2023,Female,Disabled,NABTEB,lga,Balanga,North East,Gombe,Balanga,,,20,16,25,21,25,24,75.0,36.3636,81.8182,96.2963
2022/2023,Female,Disabled,NABTEB,lga,Gombe,North East,Gombe,Gombe,,,20,16,25,19,14,13,75.0,33.3333,45.4545,93.3333
2022/2023,Female,Disabled,NABTEB,lga,Kaltungo,North East,Gombe,Kaltungo,,,20,16,24,19,20,20,75.0,35.4839,70.9677,95.4545
2022/2023,Female,Disabled,NABTEB,lga,Nafada,North East,Gombe,Nafada,,,20,17,24,19,20,20,75.8621,34.375,68.75,95.4545
2022/2023,Female,Disabled,NABTEB,lga,Yamaltu/Deba,North East,Gombe,Yamaltu/Deba,,,19,16,24,19,22,22,74.0741,34.375,75.0,95.8333
2022/2023,Female,Disabled,NECO,lga,Balanga,North East,Gombe,Balanga,,,30,23,34,29,25,22,69.0476,37.7778,60.0,85.1852
2022/2023,Female,Disabled,NECO,lga,Gombe,North East,Gombe,Gombe,,,29,23,37,33,30,25,70.7317,38.7755,65.3061,84.375
2022/2023,Female,Disabled,NECO,lga,Kaltungo,North East,Gombe,Kaltungo,,,30,23,37,33,27,23,69.0476,39.5833,60.4167,86.2069
2022/2023,Female,Disabled,NECO,lga,Nafada,North East,Gombe,Nafada,,,34,26,43,36,30,25,68.75,37.5,57.1429,84.375
2022/2023,Female,Disabled,NECO,lga,Yamaltu/Deba,North East,Gombe,Yamaltu/Deba,,,30,24,37,33,27,23,69.7674,38.7755,59.1837,86.2069
2022/2023,Female,Disabled,WAEC,lga,Balanga,North East,Gombe,Balanga,,,38,31,46,38,25,23,74.0741,36.6667,45.0,92.5926
2022/2023,Female,Disabled,WAEC,lga,Gombe,North East,Gombe,Gombe,,,41,35,50,45,22,22,74.5763,39.3939,36.3636,95.8333
2022/2023,Female,Disabled,WAEC,lga,Kaltungo,North East,Gombe,Kaltungo,,,39,32,50,42,24,22,73.2143,36.9231,40.0,92.3077
2022/2023,Female,Disabled,WAEC,lga,Nafada,North East,Gombe,Nafada,,,44,37,57,49,29,27,74.6032,37.8378,41.8919,93.5484
