session,gender,disability,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,ALL,NABTEB,lga,Agaie,North Central,Niger,Agaie,,,358,292,442,380,280,248,73.9865,37.8299,51.9062,88.1356
2022/2023,Female,ALL,NABTEB,lga,Bida,North Central,Niger,Bida,,,317,257,392,336,270,253,73.6641,37.7483,56.6225,92.9825
2022/2023,Female,ALL,NABTEB,lga,Chanchaga,North Central,Niger,Chanchaga,,,330,269,406,347,248,230,73.9927,37.6997,50.1597,92.3567
2022/2023,Female,ALL,NABTEB,lga,Kontagora,North Central,Niger,Kontagora,,,289,234,350,297,213,197,73.6402,37.4074,50.0,91.8519
2022/2023,Female,ALL,NABTEB,lga,Suleja,North Central,Niger,Suleja,,,333,270,415,356,280,265,73.8182,37.8125,55.3125,94.3503
2022/2023,Female,ALL,NECO,lga,Agaie,North Central,Niger,Agaie,,,640,465,787,668,428,389,65.9735,37.397,44.6458,90.4059
2022/2023,Female,ALL,NECO,lga,Bida,North Central,Niger,Bida,,,577,421,723,615,427,389,66.2474,37.5224,48.474,90.7407
2022/2023,Female,ALL,NECO,lga,Chanchaga,North Central,Niger,Chanchaga,,,619,450,769,656,457,420,66.1448,37.6054,48.7352,91.3495
2022/2023,Female,ALL,NECO,lga,Kontagora,North Central,Niger,Kontagora,,,528,384,630,539,341,308,66.055,37.6543,44.4444,89.8148
2022/2023,Female,ALL,NECO,lga,Suleja,North Central,Niger,Suleja,,,633,461,786,668,452,408,66.1568,37.4587,47.1947,89.8601
2022/2023,Female,ALL,WAEC,lga,Agaie,North Central,Niger,Agaie,,,876,687,1078,916,669,625,71.2707,37.4248,50.9025,92.9078
2022/2023,Female,ALL,WAEC,lga,Bida,North Central,Niger,Bida,,,773,607,942,801,613,566,71.3615,37.4656,53.4435,91.7526
2022/2023,Female,ALL,WAEC,lga,Chanchaga,North Central,Niger,Chanchaga,,,800,629,995,848,628,591,71.407,37.5489,51.7601,93.7028
2022/2023,Female,ALL,WAEC,lga,Kontagora,North Central,Niger,Kontagora,,,700,550,847,718,515,486,71.4533,37.366,49.9234,93.865
2022/2023,Female,ALL,WAEC,lga,Suleja,North Central,Niger,Suleja,,,790,621,994,845,618,580,71.3629,37.4674,51.0444,93.3504
2022/2023,Female,Disabled,NABTEB,lga,Agaie,North Central,Niger,Agaie,,,31,25,36,32,38,33,73.0769,39.2857,85.7143,87.5
2022/2023,Female,Disabled,NABTEB,lga,Bida,North Central,Niger,Bida,,,28,23,32,26,41,38,73.913,36.0,104.0,92.3077
2022/2023,Female,Disabled,NABTEB,lga,Chanchaga,North Central,Niger,Chanchaga,,,29,23,35,29,30,27,70.8333,37.037,70.3704,89.4737
2022/2023,Female,Disabled,NABTEB,lga,Kontagora,North Central,Niger,Kontagora,,,29,23,35,29,27,24,70.8333,37.037,62.963,88.2353
2022/2023,Female,Disabled,NABTEB,lga,Suleja,North Central,Niger,Suleja,,,30,24,36,29,41,38,72.0,35.7143,92.8571,92.3077
2022/2023,Female,Disabled,NECO,lga,Agaie,North Central,Niger,Agaie,,,52,37,65,53,33,29,65.1163,36.0,42.0,85.7143
2022/2023,Female,Disabled,NECO,lga,Bida,North Central,Niger,Bida,,,44,32,56,47,33,29,66.6667,37.2093,48.8372,85.7143
2022/2023,Female,Disabled,NECO,lga,Chanchaga,North Central,Niger,Chanchaga,,,48,35,60,53,33,30,65.0,39.1304,45.6522,90.4762
2022/2023,Female,Disabled,NECO,lga,Kontagora,North Central,Niger,Kontagora,,,40,29,49,41,30,27,66.6667,36.8421,50.0,89.4737
2022/2023,Female,Disabled,NECO,lga,Suleja,North Central,Niger,Suleja,,,51,37,65,56,33,29,66.6667,38.0,42.0,85.7143
2022/2023,Female,Disabled,WAEC,lga,Agaie,North Central,Niger,Agaie,,,69,55,88,74,38,35,71.9298,36.7647,35.2941,91.6667
2022/2023,Female,Disabled,WAEC,lga,Bida,North Central,Niger,Bida,,,57,45,71,62,35,32,72.3404,38.1818,40.0,90.9091
2022/2023,Female,Disabled,WAEC,lga,Chanchaga,North Central,Niger,Chanchaga,,,61,48,77,68,41,40,72.0,38.9831,44.0678,96.1538
2022/2023,Female,Disabled,WAEC,lga,Kontagora,North Central,Niger,Kontagora,,,54,44,64,53,35,33,73.3333,36.7347,44.898,95.4545
2022/2023,Female,Disabled,WAEC,lga,Suleja,North Central,Niger,Suleja,,,62,49,77,65,41,38,72.549,37.2881,44.0678,92.3077
2022/2023,Male,ALL,NABTEB,lga,Agaie,North Central,Niger,Agaie,,,409,334,505,430,315,280,74.2604,37.5321,51.1568,88.4422
2022/2023,Male,ALL,NABTEB,lga,Bida,North Central,Niger,Bida,,,358,293,444,380,272,256,74.3243,37.7193,50.2924,93.6047
2022/2023,Male,ALL,NABTEB,lga,Chanchaga,North Central,Niger,Chanchaga,,,367,298,458,389,283,264,73.9274,37.3938,50.7082,92.7374
2022/2023,Male,ALL,NABTEB,lga,Kontagora,North Central,Niger,Kontagora,,,341,277,411,347,236,223,73.7589,37.224,47.0032,93.9597
2022/2023,Male,ALL,NABTEB,lga,Suleja,North Central,Niger,Suleja,,,387,316,480,406,283,259,74.0625,37.2973,48.3784,91.0615
2022/2023,Male,ALL,NECO,lga,Agaie,North Central,Niger,Agaie,,,723,526,879,751,462,426,66.1642,37.6106,43.0678,91.7808
2022/2023,Male,ALL,NECO,lga,Bida,North Central,Niger,Bida,,,669,486,852,724,474,426,66.0036,37.4429,45.6621,89.3333
2022/2023,Male,ALL,NECO,lga,Chanchaga,North Central,Niger,Chanchaga,,,690,502,859,733,462,416,66.1404,37.6133,44.1088,89.726
2022/2023,Male,ALL,NECO,lga,Kontagora,North Central,Niger,Kontagora,,,635,462,777,662,405,367,66.0952,37.5626,42.7379,90.2344
2022/2023,Male,ALL,NECO,lga,Suleja,North Central,Niger,Suleja,,,713,518,864,736,460,421,66.0441,37.5375,43.6937,91.0653
2022/2023,Male,ALL,WAEC,lga,Agaie,North Central,Niger,Agaie,,,1006,790,1235,1054,711,674,71.3598,37.605,47.2689,94.2222
2022/2023,Male,ALL,WAEC,lga,Bida,North Central,Niger,Bida,,,885,694,1091,930,686,647,71.2722,37.5743,51.6052,93.7788
2022/2023,Male,ALL,WAEC,lga,Chanchaga,North Central,Niger,Chanchaga,,,880,690,1096,933,662,617,71.2517,37.5148,49.5858,92.6014
2022/2023,Male,ALL,WAEC,lga,Kontagora,North Central,Niger,Kontagora,,,833,653,1020,868,566,521,71.2209,37.5318,45.5471,91.6201
2022/2023,Male,ALL,WAEC,lga,Suleja,North Central,Niger,Suleja,,,909,713,1118,954,643,602,71.2383,37.587,47.2158,93.1204
2022/2023,Male,Disabled,NABTEB,lga,Agaie,North Central,Niger,Agaie,,,35,29,43,35,40,35,75.8621,36.3636,75.7576,88.0
2022/2023,Male,Disabled,NABTEB,lga,Bida,North Central,Niger,Bida,,,31,27,36,32,30,29,76.9231,39.2857,67.8571,94.7368
2022/2023,Male,Disabled,NABTEB,lga,Chanchaga,North Central,Niger,Chanchaga,,,31,27,39,32,30,29,76.9231,36.6667,63.3333,94.7368
2022/2023,Male,Disabled,NABTEB,lga,Kontagora,North Central,Niger,Kontagora,,,31,25,38,29,22,21,73.0769,34.4828,48.2759,92.8571
2022/2023,Male,Disabled,NABTEB,lga,Suleja,North Central,Niger,Suleja,,,35,28,42,35,40,38,72.4138,37.5,78.125,96.0
2022/2023,Male,Disabled,NECO,lga,Agaie,North Central,Niger,Agaie,,,61,44,77,68,40,35,66.0,38.9831,42.3729,88.0
2022/2023,Male,Disabled,NECO,lga,Bida,North Central,Niger,Bida,,,52,37,67,56,40,35,65.1163,36.5385,48.0769,88.0
2022/2023,Male,Disabled,NECO,lga,Chanchaga,North Central,Niger,Chanchaga,,,53,39,67,59,36,32,65.9091,38.4615,44.2308,86.9565
2022/2023,Male,Disabled,NECO,lga,Kontagora,North Central,Niger,Kontagora,,,48,35,60,50,36,32,65.0,36.9565,50.0,86.9565
2022/2023,Male,Disabled,NECO,lga,Suleja,North Central,Niger,Suleja,,,57,41,71,62,40,35,65.9574,38.1818,45.4545,88.0
2022/2023,Male,Disabled,WAEC,lga,Agaie,North Central,Niger,Agaie,,,79,61,97,82,40,38,70.7692,37.3333,33.3333,96.0
2022/2023,Male,Disabled,WAEC,lga,Bida,North Central,Niger,Bida,,,67,52,82,71,33,32,70.9091,38.0952,33.3333,95.2381
2022/2023,Male,Disabled,WAEC,lga,Chanchaga,North Central,Niger,Chanchaga,,,67,52,83,71,44,43,70.9091,37.5,43.75,96.4286
2022/2023,Male,Disabled,WAEC,lga,Kontagora,North Central,Niger,Kontagora,,,64,51,79,68,40,35,71.6981,37.7049,40.9836,88.0
2022/2023,Male,Disabled,WAEC,lga,Suleja,North Central,Niger,Suleja,,,71,56,86,74,40,38,71.1864,37.8788,37.8788,96.0
2023/2024,Female,ALL,NABTEB,lga,Agaie,North Central,Niger,Agaie,,,374,324,463,439,177,154,78.6408,41.7367,31.3725,86.6071
2023/2024,Female,ALL,NABTEB,lga,Bida,North Central,Niger,Bida,,,340,294,419,397,171,161,78.6477,41.7957,33.4365,93.5185
2023/2024,Female,ALL,NABTEB,lga,Chanchaga,North Central,Niger,Chanchaga,,,344,297,428,406,164,153,78.5211,41.8182,31.5152,92.3077
2023/2024,Female,ALL,NABTEB,lga,Kontagora,North Central,Niger,Kontagora,,,327,282,397,377,147,137,78.5185,41.8301,30.3922,92.4731
2023/2024,Female,ALL,NABTEB,lga,Suleja,North Central,Niger,Suleja,,,347,301,428,406,168,159,78.7456,41.8182,32.1212,94.3396
2023/2024,Female,ALL,NECO,lga,Agaie,North Central,Niger,Agaie,,,689,542,843,792,289,267,71.529,41.3846,28.1538,91.8033
2023/2024,Female,ALL,NECO,lga,Bida,North Central,Niger,Bida,,,602,474,733,689,262,240,71.6298,41.4159,29.3805,90.9639
2023/2024,Female,ALL,NECO,lga,Chanchaga,North Central,Niger,Chanchaga,,,639,503,806,757,277,248,71.5909,41.3849,28.1804,89.1429
2023/2024,Female,ALL,NECO,lga,Kontagora,North Central,Niger,Kontagora,,,575,453,700,659,232,213,71.5789,41.4815,27.2222,91.1565
2023/2024,Female,ALL,NECO,lga,Suleja,North Central,Niger,Suleja,,,650,511,807,760,272,245,71.5084,41.4791,27.6527,89.5349
2023/2024,Female,ALL,WAEC,lga,Agaie,North Central,Niger,Agaie,,,927,783,1135,1066,419,391,76.7624,41.3714,30.2857,92.8302
2023/2024,Female,ALL,WAEC,lga,Bida,North Central,Niger,Bida,,,796,674,992,933,379,358,76.8997,41.4379,31.3725,93.75
2023/2024,Female,ALL,WAEC,lga,Chanchaga,North Central,Niger,Chanchaga,,,856,722,1066,1004,403,375,76.662,41.4842,31.0219,92.549
2023/2024,Female,ALL,WAEC,lga,Kontagora,North Central,Niger,Kontagora,,,764,646,927,871,357,335,76.8621,41.3986,31.6084,93.3628
2023/2024,Female,ALL,WAEC,lga,Suleja,North Central,Niger,Suleja,,,888,751,1095,1030,408,381,76.8392,41.4692,30.5687,93.0233
2023/2024,Female,Disabled,NABTEB,lga,Agaie,North Central,Niger,Agaie,,,33,28,39,38,24,21,77.7778,43.3333,50.0,86.6667
2023/2024,Female,Disabled,NABTEB,lga,Bida,North Central,Niger,Bida,,,30,27,38,38,25,24,80.0,44.8276,55.1724,93.75
2023/2024,Female,Disabled,NABTEB,lga,Chanchaga,North Central,Niger,Chanchaga,,,30,27,34,35,24,22,80.0,46.1538,57.6923,93.3333
2023/2024,Female,Disabled,NABTEB,lga,Kontagora,North Central,Niger,Kontagora,,,31,28,36,35,19,17,80.7692,42.8571,42.8571,91.6667
2023/2024,Female,Disabled,NABTEB,lga,Suleja,North Central,Niger,Suleja,,,33,28,38,38,24,22,77.7778,44.8276,51.7241,93.3333
2023/2024,Female,Disabled,NECO,lga,Agaie,North Central,Niger,Agaie,,,56,44,67,65,19,17,71.7391,42.3077,23.0769,91.6667
2023/2024,Female,Disabled,NECO,lga,Bida,North Central,Niger,Bida,,,45,36,54,50,19,17,72.973,40.4762,28.5714,91.6667
2023/2024,Female,Disabled,NECO,lga,Chanchaga,North Central,Niger,Chanchaga,,,47,37,61,59,21,19,71.7949,42.5532,27.6596,92.3077
2023/2024,Female,Disabled,NECO,lga,Kontagora,North Central,Niger,Kontagora,,,45,36,56,53,22,19,72.973,41.8605,32.5581,85.7143
2023/2024,Female,Disabled,NECO,lga,Suleja,North Central,Niger,Suleja,,,51,40,66,62,21,19,71.4286,41.1765,25.4902,92.3077
2023/2024,Female,Disabled,WAEC,lga,Agaie,North Central,Niger,Agaie,,,75,64,95,88,25,24,77.4194,41.0959,21.9178,93.75
2023/2024,Female,Disabled,WAEC,lga,Bida,North Central,Niger,Bida,,,61,52,75,71,24,22,78.0,41.3793,25.8621,93.3333
2023/2024,Female,Disabled,WAEC,lga,Chanchaga,North Central,Niger,Chanchaga,,,65,56,84,79,27,24,77.7778,41.5385,26.1538,88.2353
2023/2024,Female,Disabled,WAEC,lga,Kontagora,North Central,Niger,Kontagora,,,57,48,70,65,22,21,76.5957,40.7407,25.9259,92.8571
2023/2024,Female,Disabled,WAEC,lga,Suleja,North Central,Niger,Suleja,,,70,60,87,82,25,24,77.5862,41.791,23.8806,93.75
2023/2024,Male,ALL,NABTEB,lga,Agaie,North Central,Niger,Agaie,,,424,368,511,483,182,162,78.8571,41.6244,29.1878,88.6957
2023/2024,Male,ALL,NABTEB,lga,Bida,North Central,Niger,Bida,,,387,334,483,456,198,186,78.4375,41.6667,33.6022,93.6
2023/2024,Male,ALL,NABTEB,lga,Chanchaga,North Central,Niger,Chanchaga,,,390,337,477,450,174,157,78.5714,41.5761,29.8913,90.0
2023/2024,Male,ALL,NABTEB,lga,Kontagora,North Central,Niger,Kontagora,,,374,324,462,436,168,159,78.6408,41.573,29.7753,94.3396
2023/2024,Male,ALL,NABTEB,lga,Suleja,North Central,Niger,Suleja,,,409,353,512,486,188,175,78.4024,41.7722,30.1266,92.437
