session,gender,disability,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,ALL,NABTEB,lga,Ibadan North,South West,Oyo,Ibadan North,,,895,697,1092,902,631,620,70.2092,36.3973,47.3684,97.8091
2022/2023,Female,ALL,NABTEB,lga,Ibadan South,South West,Oyo,Ibadan South,,,803,628,1031,853,677,646,70.5224,36.4493,53.8885,94.898
2022/2023,Female,ALL,NABTEB,lga,Ogbomosho North,South West,Oyo,Ogbomosho North,,,969,756,1208,998,742,704,70.3246,36.3941,50.4021,94.4149
2022/2023,Female,ALL,NABTEB,lga,Oyo East,South West,Oyo,Oyo East,,,920,717,1140,946,664,618,70.1383,36.5767,47.7983,92.5706
2022/2023,Female,ALL,NABTEB,lga,Saki East,South West,Oyo,Saki East,,,869,678,1069,891,681,618,70.1981,36.7146,52.2332,90.2899
2022/2023,Female,ALL,NECO,lga,Ibadan North,South West,Oyo,Ibadan North,,,1694,1176,2116,1744,1289,1150,62.5553,36.3045,49.9617,88.7443
2022/2023,Female,ALL,NECO,lga,Ibadan South,South West,Oyo,Ibadan South,,,1486,1033,1887,1556,1293,1135,62.6512,36.3363,56.1991,87.3282
2022/2023,Female,ALL,NECO,lga,Ogbomosho North,South West,Oyo,Ogbomosho North,,,1817,1263,2248,1850,1404,1253,62.6134,36.2622,51.2423,88.7561
2022/2023,Female,ALL,NECO,lga,Oyo East,South West,Oyo,Oyo East,,,1668,1159,2036,1681,1243,1109,62.5673,36.3817,50.0994,88.7302
2022/2023,Female,ALL,NECO,lga,Saki East,South West,Oyo,Saki East,,,1544,1074,1918,1582,1195,1066,62.6576,36.3444,51.1186,88.7696
2022/2023,Female,ALL,WAEC,lga,Ibadan North,South West,Oyo,Ibadan North,,,2251,1688,2755,2265,1606,1498,67.5316,36.2327,47.8401,92.7518
2022/2023,Female,ALL,WAEC,lga,Ibadan South,South West,Oyo,Ibadan South,,,1913,1435,2450,2014,1579,1504,67.5538,36.2194,52.8751,94.75
2022/2023,Female,ALL,WAEC,lga,Ogbomosho North,South West,Oyo,Ogbomosho North,,,2327,1743,2927,2409,1803,1678,67.471,36.2555,50.5254,92.6108
2022/2023,Female,ALL,WAEC,lga,Oyo East,South West,Oyo,Oyo East,,,2231,1673,2719,2243,1531,1470,67.5503,36.3609,46.218,95.4897
2022/2023,Female,ALL,WAEC,lga,Saki East,South West,Oyo,Saki East,,,2065,1548,2562,2107,1575,1498,67.5127,36.2401,50.4265,94.6115
2022/2023,Female,Disabled,NABTEB,lga,Ibadan North,South West,Oyo,Ibadan North,,,79,63,91,81,92,91,71.6981,39.2857,83.0357,98.9247
