session,gender,disability,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,ALL,NABTEB,lga,Bodinga,North West,Sokoto,Bodinga,,,356,304,441,386,105,98,77.0308,38.6308,19.5599,92.5
2022/2023,Female,ALL,NABTEB,lga,Sokoto North,North West,Sokoto,Sokoto North,,,353,302,441,384,98,90,77.1186,38.3863,18.3374,90.6667
2022/2023,Female,ALL,NABTEB,lga,Sokoto South,North West,Sokoto,Sokoto South,,,339,290,422,369,101,90,77.0588,38.5204,19.6429,88.3117
2022/2023,Female,ALL,NABTEB,lga,Tambuwal,North West,Sokoto,Tambuwal,,,317,271,391,342,96,94,77.2871,38.5675,20.1102,97.2603
2022/2023,Female,ALL,NABTEB,lga,Wamako,North West,Sokoto,Wamako,,,365,313,452,394,112,106,77.3224,38.3333,20.2381,94.1176
2022/2023,Female,ALL,NECO,lga,Bodinga,North West,Sokoto,Bodinga,,,656,500,810,707,198,182,68.7976,38.4309,20.0798,91.3907
2022/2023,Female,ALL,NECO,lga,Sokoto North,North West,Sokoto,Sokoto North,,,630,480,790,692,184,166,68.7797,38.6085,19.0996,90.0
2022/2023,Female,ALL,NECO,lga,Sokoto South,North West,Sokoto,Sokoto South,,,634,483,784,685,180,169,68.8189,38.4615,18.8187,93.4307
2022/2023,Female,ALL,NECO,lga,Tambuwal,North West,Sokoto,Tambuwal,,,587,447,724,631,177,165,68.7075,38.3929,20.0893,92.5926
2022/2023,Female,ALL,NECO,lga,Wamako,North West,Sokoto,Wamako,,,680,519,848,741,206,194,68.8693,38.5006,19.9492,93.6306
2022/2023,Female,ALL,WAEC,lga,Bodinga,North West,Sokoto,Bodinga,,,860,708,1068,931,259,239,74.3322,38.446,19.8789,91.8782
2022/2023,Female,ALL,WAEC,lga,Sokoto North,North West,Sokoto,Sokoto North,,,827,681,1035,902,248,228,74.3961,38.3975,19.667,91.5344
2022/2023,Female,ALL,WAEC,lga,Sokoto South,North West,Sokoto,Sokoto South,,,824,678,1021,890,240,222,74.303,38.3966,19.3038,91.8033
2022/2023,Female,ALL,WAEC,lga,Tambuwal,North West,Sokoto,Tambuwal,,,784,645,964,839,227,209,74.2675,38.324,19.3296,91.3295
2022/2023,Female,ALL,WAEC,lga,Wamako,North West,Sokoto,Wamako,,,897,739,1111,968,268,246,74.3875,38.4093,19.7866,91.1765
2022/2023,Female,Disabled,NABTEB,lga,Bodinga,North West,Sokoto,Bodinga,,,33,29,43,39,13,12,78.7879,40.0,25.0,90.0
2022/2023,Female,Disabled,NABTEB,lga,Sokoto North,North West,Sokoto,Sokoto North,,,31,27,39,34,8,7,77.4194,38.8889,16.6667,83.3333
2022/2023,Female,Disabled,NABTEB,lga,Sokoto South,North West,Sokoto,Sokoto South,,,32,28,39,34,13,12,78.125,38.8889,27.7778,90.0
2022/2023,Female,Disabled,NABTEB,lga,Tambuwal,North West,Sokoto,Tambuwal,,,30,27,37,32,13,12,80.0,38.2353,29.4118,90.0
2022/2023,Female,Disabled,NABTEB,lga,Wamako,North West,Sokoto,Wamako,,,32,28,37,32,11,9,78.125,38.2353,23.5294,87.5
2022/2023,Female,Disabled,NECO,lga,Bodinga,North West,Sokoto,Bodinga,,,52,40,65,56,18,16,69.2308,38.3333,23.3333,85.7143
2022/2023,Female,Disabled,NECO,lga,Sokoto North,North West,Sokoto,Sokoto North,,,50,38,61,54,12,11,68.0,38.5965,15.7895,88.8889
2022/2023,Female,Disabled,NECO,lga,Sokoto South,North West,Sokoto,Sokoto South,,,48,37,57,51,17,15,68.75,39.6226,24.5283,84.6154
2022/2023,Female,Disabled,NECO,lga,Tambuwal,North West,Sokoto,Tambuwal,,,46,34,58,51,17,16,67.3913,38.8889,24.0741,92.3077
2022/2023,Female,Disabled,NECO,lga,Wamako,North West,Sokoto,Wamako,,,51,39,64,56,18,16,68.6275,38.9831,23.7288,85.7143
2022/2023,Female,Disabled,WAEC,lga,Bodinga,North West,Sokoto,Bodinga,,,69,56,85,73,20,18,73.913,37.9747,18.9873,93.3333
2022/2023,Female,Disabled,WAEC,lga,Sokoto North,North West,Sokoto,Sokoto North,,,64,52,81,68,17,16,73.4375,37.3333,17.3333,92.3077
2022/2023,Female,Disabled,WAEC,lga,Sokoto South,North West,Sokoto,Sokoto South,,,64,52,78,66,17,16,73.4375,37.5,18.0556,92.3077
2022/2023,Female,Disabled,WAEC,lga,Tambuwal,North West,Sokoto,Tambuwal,,,60,49,73,61,13,12,73.3333,36.7647,14.7059,90.0
2022/2023,Female,Disabled,WAEC,lga,Wamako,North West,Sokoto,Wamako,,,70,58,87,73,18,17,74.2857,37.037,17.284,92.8571
2022/2023,Male,ALL,NABTEB,lga,Bodinga,North West,Sokoto,Bodinga,,,414,353,512,445,117,110,76.8675,38.3158,18.7368,93.2584
2022/2023,Male,ALL,NABTEB,lga,Sokoto North,North West,Sokoto,Sokoto North,,,419,358,516,452,127,120,77.1429,38.6221,20.2505,93.8144
2022/2023,Male,ALL,NABTEB,lga,Sokoto South,North West,Sokoto,Sokoto South,,,396,339,490,428,102,99,77.0781,38.4615,17.1429,96.1538
2022/2023,Male,ALL,NABTEB,lga,Tambuwal,North West,Sokoto,Tambuwal,,,371,317,465,406,102,90,77.1505,38.4259,18.0556,87.1795
2022/2023,Male,ALL,NABTEB,lga,Wamako,North West,Sokoto,Wamako,,,450,384,561,489,119,111,76.9401,38.3877,17.4664,92.3077
2022/2023,Male,ALL,NECO,lga,Bodinga,North West,Sokoto,Bodinga,,,751,573,943,821,205,184,68.883,38.4,17.8286,89.1026
2022/2023,Male,ALL,NECO,lga,Sokoto North,North West,Sokoto,Sokoto North,,,775,591,968,846,225,213,68.8144,38.4872,19.0211,94.152
2022/2023,Male,ALL,NECO,lga,Sokoto South,North West,Sokoto,Sokoto South,,,767,585,934,812,201,184,68.8802,38.293,17.6471,90.8497
2022/2023,Male,ALL,NECO,lga,Tambuwal,North West,Sokoto,Tambuwal,,,689,525,858,746,189,176,68.8406,38.3166,18.0905,92.3611
2022/2023,Male,ALL,NECO,lga,Wamako,North West,Sokoto,Wamako,,,799,608,988,861,228,218,68.75,38.386,18.9749,94.8276
2022/2023,Male,ALL,WAEC,lga,Bodinga,North West,Sokoto,Bodinga,,,996,821,1241,1083,288,264,74.3487,38.4549,19.0104,91.3242
2022/2023,Male,ALL,WAEC,lga,Sokoto North,North West,Sokoto,Sokoto North,,,997,821,1242,1083,269,248,74.2743,38.4215,17.7797,91.7073
2022/2023,Male,ALL,WAEC,lga,Sokoto South,North West,Sokoto,Sokoto South,,,973,803,1190,1039,260,243,74.4615,38.4615,17.9186,92.9293
2022/2023,Male,ALL,WAEC,lga,Tambuwal,North West,Sokoto,Tambuwal,,,909,749,1125,980,252,230,74.3956,38.41,18.3908,90.625
2022/2023,Male,ALL,WAEC,lga,Wamako,North West,Sokoto,Wamako,,,1093,900,1366,1193,309,284,74.3379,38.4858,18.5331,91.4894
2022/2023,Male,Disabled,NABTEB,lga,Bodinga,North West,Sokoto,Bodinga,,,38,32,46,42,11,9,76.3158,39.5349,18.6047,87.5
2022/2023,Male,Disabled,NABTEB,lga,Sokoto North,North West,Sokoto,Sokoto North,,,36,31,46,42,14,13,77.7778,39.5349,25.5814,90.9091
2022/2023,Male,Disabled,NABTEB,lga,Sokoto South,North West,Sokoto,Sokoto South,,,37,31,46,42,11,9,75.6757,39.5349,18.6047,87.5
2022/2023,Male,Disabled,NABTEB,lga,Tambuwal,North West,Sokoto,Tambuwal,,,34,29,40,34,8,7,76.4706,37.8378,16.2162,83.3333
2022/2023,Male,Disabled,NABTEB,lga,Wamako,North West,Sokoto,Wamako,,,37,31,45,39,11,9,75.6757,38.0952,19.0476,87.5
2022/2023,Male,Disabled,NECO,lga,Bodinga,North West,Sokoto,Bodinga,,,61,46,78,66,13,11,68.8525,37.5,13.8889,80.0
2022/2023,Male,Disabled,NECO,lga,Sokoto North,North West,Sokoto,Sokoto North,,,60,45,76,66,20,18,68.3333,38.0282,21.1268,93.3333
2022/2023,Male,Disabled,NECO,lga,Sokoto South,North West,Sokoto,Sokoto South,,,59,45,73,64,18,17,69.4915,38.2353,20.5882,92.8571
2022/2023,Male,Disabled,NECO,lga,Tambuwal,North West,Sokoto,Tambuwal,,,54,41,67,56,14,13,68.5185,37.0968,17.7419,90.9091
2022/2023,Male,Disabled,NECO,lga,Wamako,North West,Sokoto,Wamako,,,60,45,72,61,18,17,68.3333,37.3134,20.8955,92.8571
2022/2023,Male,Disabled,WAEC,lga,Bodinga,North West,Sokoto,Bodinga,,,79,65,98,86,20,17,74.6835,38.4615,16.4835,86.6667
2022/2023,Male,Disabled,WAEC,lga,Sokoto North,North West,Sokoto,Sokoto North,,,75,62,96,86,20,18,74.6667,39.3258,16.8539,93.3333
2022/2023,Male,Disabled,WAEC,lga,Sokoto South,North West,Sokoto,Sokoto South,,,78,64,96,86,18,17,74.359,39.3258,15.7303,92.8571
2022/2023,Male,Disabled,WAEC,lga,Tambuwal,North West,Sokoto,Tambuwal,,,72,60,88,78,16,15,75.0,39.0244,14.6341,91.6667
2022/2023,Male,Disabled,WAEC,lga,Wamako,North West,Sokoto,Wamako,,,85,70,103,93,18,16,74.1176,39.5833,14.5833,85.7143
2023/2024,Female,ALL,NABTEB,lga,Bodinga,North West,Sokoto,Bodinga,,,372,337,455,440,64,58,81.7694,42.654,11.6114,89.7959
2023/2024,Female,ALL,NABTEB,lga,Sokoto North,North West,Sokoto,Sokoto North,,,364,331,458,445,66,61,81.9178,42.8235,11.7647,92.0
2023/2024,Female,ALL,NABTEB,lga,Sokoto South,North West,Sokoto,Sokoto South,,,350,317,442,428,66,61,81.7664,42.6829,12.1951,92.0
2023/2024,Female,ALL,NABTEB,lga,Tambuwal,North West,Sokoto,Tambuwal,,,356,323,440,425,66,62,81.7927,42.6471,12.2549,94.0
2023/2024,Female,ALL,NABTEB,lga,Wamako,North West,Sokoto,Wamako,,,399,363,491,479,76,70,82.0,42.9825,12.7193,91.3793
2023/2024,Female,ALL,NECO,lga,Bodinga,North West,Sokoto,Bodinga,,,673,555,838,807,119,110,74.4807,42.4165,11.6967,91.2088
2023/2024,Female,ALL,NECO,lga,Sokoto North,North West,Sokoto,Sokoto North,,,657,542,826,797,121,110,74.4681,42.5033,11.9948,90.2174
2023/2024,Female,ALL,NECO,lga,Sokoto South,North West,Sokoto,Sokoto South,,,658,543,800,770,122,115,74.5068,42.3957,12.5168,93.5484
2023/2024,Female,ALL,NECO,lga,Tambuwal,North West,Sokoto,Tambuwal,,,627,518,780,748,112,102,74.5223,42.2652,11.7403,90.5882
2023/2024,Female,ALL,NECO,lga,Wamako,North West,Sokoto,Wamako,,,740,612,919,885,135,129,74.6289,42.4385,12.075,95.1456
2023/2024,Female,ALL,WAEC,lga,Bodinga,North West,Sokoto,Bodinga,,,881,780,1091,1054,156,144,79.932,42.5469,11.7473,91.5966
2023/2024,Female,ALL,WAEC,lga,Sokoto North,North West,Sokoto,Sokoto North,,,877,777,1093,1059,163,153,79.9544,42.6601,12.2167,93.5484
2023/2024,Female,ALL,WAEC,lga,Sokoto South,North West,Sokoto,Sokoto South,,,896,793,1098,1059,156,144,79.9331,42.4926,11.6781,91.5966
2023/2024,Female,ALL,WAEC,lga,Tambuwal,North West,Sokoto,Tambuwal,,,831,736,1023,988,152,141,79.9279,42.5263,12.2105,92.2414
2023/2024,Female,ALL,WAEC,lga,Wamako,North West,Sokoto,Wamako,,,1015,900,1277,1232,189,172,80.0393,42.5316,12.1519,90.2778
2023/2024,Female,Disabled,NABTEB,lga,Bodinga,North West,Sokoto,Bodinga,,,31,28,40,42,9,8,80.6452,45.9459,18.9189,85.7143
2023/2024,Female,Disabled,NABTEB,lga,Sokoto North,North West,Sokoto,Sokoto North,,,32,29,38,39,8,7,81.25,45.7143,17.1429,83.3333
2023/2024,Female,Disabled,NABTEB,lga,Sokoto South,North West,Sokoto,Sokoto South,,,33,30,41,42,11,9,81.8182,44.7368,21.0526,87.5
2023/2024,Female,Disabled,NABTEB,lga,Tambuwal,North West,Sokoto,Tambuwal,,,32,29,40,42,8,7,81.25,45.9459,16.2162,83.3333
2023/2024,Female,Disabled,NABTEB,lga,Wamako,North West,Sokoto,Wamako,,,35,31,42,44,12,11,80.0,46.1538,23.0769,88.8889
2023/2024,Female,Disabled,NECO,lga,Bodinga,North West,Sokoto,Bodinga,,,55,45,70,66,11,9,74.5455,41.5385,12.3077,87.5
2023/2024,Female,Disabled,NECO,lga,Sokoto North,North West,Sokoto,Sokoto North,,,53,43,66,64,11,9,73.5849,42.623,13.1148,87.5
2023/2024,Female,Disabled,NECO,lga,Sokoto South,North West,Sokoto,Sokoto South,,,53,43,64,61,12,11,73.5849,42.3729,15.2542,88.8889
2023/2024,Female,Disabled,NECO,lga,Tambuwal,North West,Sokoto,Tambuwal,,,49,40,59,54,9,8,73.4694,40.0,12.7273,85.7143
2023/2024,Female,Disabled,NECO,lga,Wamako,North West,Sokoto,Wamako,,,55,45,66,64,11,9,74.5455,42.623,13.1148,87.5
2023/2024,Female,Disabled,WAEC,lga,Bodinga,North West,Sokoto,Bodinga,,,73,64,92,90,12,11,79.4521,43.5294,10.5882,88.8889
2023/2024,Female,Disabled,WAEC,lga,Sokoto North,North West,Sokoto,Sokoto North,,,67,59,85,83,11,9,79.1045,43.038,10.1266,87.5
2023/2024,Female,Disabled,WAEC,lga,Sokoto South,North West,Sokoto,Sokoto South,,,70,62,86,83,11,9,80.0,42.5,10.0,87.5
2023/2024,Female,Disabled,WAEC,lga,Tambuwal,North West,Sokoto,Tambuwal,,,65,58,82,81,11,9,80.0,43.4211,10.5263,87.5
2023/2024,Female,Disabled,WAEC,lga,Wamako,North West,Sokoto,Wamako,,,76,67,94,93,11,9,80.2632,43.6782,9.1954,87.5
2023/2024,Male,ALL,NABTEB,lga,Bodinga,North West,Sokoto,Bodinga,,,434,394,542,523,68,65,81.8391,42.5447,10.338,94.2308
2023/2024,Male,ALL,NABTEB,lga,Sokoto North,North West,Sokoto,Sokoto North,,,438,397,552,533,80,74,81.7768,42.5781,11.9141,91.8033
2023/2024,Male,ALL,NABTEB,lga,Sokoto South,North West,Sokoto,Sokoto South,,,427,387,518,504,68,65,81.7757,42.8274,10.8108,94.2308
2023/2024,Male,ALL,NABTEB,lga,Tambuwal,North West,Sokoto,Tambuwal,,,398,361,498,482,70,62,81.7043,42.6407,11.4719,88.6792
2023/2024,Male,ALL,NABTEB,lga,Wamako,North West,Sokoto,Wamako,,,486,441,601,582,81,73,81.9302,42.6523,11.1111,88.7097
2023/2024,Male,ALL,NECO,lga,Bodinga,North West,Sokoto,Bodinga,,,787,650,991,956,134,125,74.6193,42.5,11.087,93.1373
2023/2024,Male,ALL,NECO,lga,Sokoto North,North West,Sokoto,Sokoto North,,,804,665,992,956,139,127,74.6584,42.4539,11.5092,90.566
2023/2024,Male,ALL,NECO,lga,Sokoto South,North West,Sokoto,Sokoto South,,,785,649,967,934,130,120,74.6819,42.539,11.0245,91.9192
2023/2024,Male,ALL,NECO,lga,Tambuwal,North West,Sokoto,Tambuwal,,,732,605,925,892,119,112,74.6248,42.4913,10.5937,93.4066
2023/2024,Male,ALL,NECO,lga,Wamako,North West,Sokoto,Wamako,,,871,719,1060,1022,142,133,74.5413,42.4797,10.9756,93.5185
2023/2024,Male,ALL,WAEC,lga,Bodinga,North West,Sokoto,Bodinga,,,1042,924,1282,1237,173,160,79.9808,42.521,11.0924,91.6667
2023/2024,Male,ALL,WAEC,lga,Sokoto North,North West,Sokoto,Sokoto North,,,1068,947,1343,1293,183,169,80.0,42.4218,11.1468,92.0863
2023/2024,Male,ALL,WAEC,lga,Sokoto South,North West,Sokoto,Sokoto South,,,1068,947,1298,1254,173,161,80.0,42.5726,10.9544,92.4242
2023/2024,Male,ALL,WAEC,lga,Tambuwal,North West,Sokoto,Tambuwal,,,965,856,1208,1166,164,151,80.0414,42.5513,11.1508,91.2
2023/2024,Male,ALL,WAEC,lga,Wamako,North West,Sokoto,Wamako,,,1191,1054,1488,1435,198,182,79.8826,42.5054,10.9341,91.3907
2023/2024,Male,Disabled,NABTEB,lga,Bodinga,North West,Sokoto,Bodinga,,,38,34,47,46,5,4,81.5789,43.1818,9.0909,75.0
2023/2024,Male,Disabled,NABTEB,lga,Sokoto North,North West,Sokoto,Sokoto North,,,38,34,52,51,11,9,81.5789,43.75,16.6667,87.5
2023/2024,Male,Disabled,NABTEB,lga,Sokoto South,North West,Sokoto,Sokoto South,,,38,34,47,46,7,5,81.5789,43.1818,11.3636,80.0
2023/2024,Male,Disabled,NABTEB,lga,Tambuwal,North West,Sokoto,Tambuwal,,,36,32,45,46,7,5,80.5556,45.2381,11.9048,80.0
2023/2024,Male,Disabled,NABTEB,lga,Wamako,North West,Sokoto,Wamako,,,40,35,47,46,8,7,80.0,43.1818,13.6364,83.3333
2023/2024,Male,Disabled,NECO,lga,Bodinga,North West,Sokoto,Bodinga,,,63,52,78,76,11,9,74.6032,43.0556,11.1111,87.5
2023/2024,Male,Disabled,NECO,lga,Sokoto North,North West,Sokoto,Sokoto North,,,61,50,73,71,9,8,73.7705,42.6471,10.2941,85.7143
2023/2024,Male,Disabled,NECO,lga,Sokoto South,North West,Sokoto,Sokoto South,,,62,51,75,71,9,8,74.1935,41.4286,10.0,85.7143
2023/2024,Male,Disabled,NECO,lga,Tambuwal,North West,Sokoto,Tambuwal,,,58,48,72,68,8,7,74.1379,41.791,8.9552,83.3333
2023/2024,Male,Disabled,NECO,lga,Wamako,North West,Sokoto,Wamako,,,66,54,80,76,11,9,74.2424,41.8919,10.8108,87.5
2023/2024,Male,Disabled,WAEC,lga,Bodinga,North West,Sokoto,Bodinga,,,84,74,104,100,12,11,79.7619,42.268,9.2784,88.8889
2023/2024,Male,Disabled,WAEC,lga,Sokoto North,North West,Sokoto,Sokoto North,,,83,73,102,98,12,11,79.5181,42.1053,9.4737,88.8889
2023/2024,Male,Disabled,WAEC,lga,Sokoto South,North West,Sokoto,Sokoto South,,,85,75,107,103,12,11,80.0,42.4242,9.0909,88.8889
2023/2024,Male,Disabled,WAEC,lga,Tambuwal,North West,Sokoto,Tambuwal,,,80,71,100,98,11,9,80.0,43.0108,8.6022,87.5
2023/2024,Male,Disabled,WAEC,lga,Wamako,North West,Sokoto,Wamako,,,90,80,111,105,11,9,80.0,41.7476,7.767,87.5
2024/2025,Female,ALL,NABTEB,lga,Bodinga,North West,Sokoto,Bodinga,,,200,167,121,108,47,44,75.5000,39.2857,32.1429,91.6667
2024/2025,Female,ALL,NABTEB,lga,Sokoto North,North West,Sokoto,Sokoto North,,,204,169,126,112,56,51,75.0000,39.3162,36.7521,90.6977
