session,zone,state,lga,ward,school,gender,disability_scope,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Central Primary School,Female,all,NABTEB,1,0,1,0,1,0,0.0,0.0,100.0,0.0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Central Primary School,Female,all,NECO,1,1,2,1,2,1,100.0,50.0,100.0,50.0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Central Primary School,Female,all,WAEC,3,2,3,1,1,0,66.6667,33.3333,33.3333,0.0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Central Primary School,Female,disabled,NABTEB,0,0,0,0,0,0,0,0,0,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Central Primary School,Female,disabled,NECO,0,0,0,0,1,0,0,0,0,0.0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Central Primary School,Female,disabled,WAEC,0,0,0,0,0,0,0,0,0,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Central Primary School,Male,all,NABTEB,1,1,1,1,1,0,100.0,100.0,100.0,0.0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Central Primary School,Male,all,NECO,0,0,0,0,0,0,0,0,0,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Central Primary School,Male,all,WAEC,2,1,2,0,0,0,50.0,0.0,0.0,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Central Primary School,Male,disabled,NECO,0,0,0,0,0,0,0,0,0,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Central Primary School,Male,disabled,WAEC,0,0,0,0,0,0,0,0,0,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Islamiya Primary School,Female,all,NABTEB,1,0,1,0,1,0,0.0,0.0,100.0,0.0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Islamiya Primary School,Female,all,NECO,1,1,2,1,2,1,100.0,50.0,100.0,50.0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Islamiya Primary School,Female,all,WAEC,3,2,3,1,1,0,66.6667,33.3333,33.3333,0.0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Islamiya Primary School,Female,disabled,NABTEB,0,0,0,0,0,0,0,0,0,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Islamiya Primary School,Female,disabled,NECO,0,0,0,0,1,0,0,0,0,0.0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Islamiya Primary School,Female,disabled,WAEC,0,0,0,0,0,0,0,0,0,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Islamiya Primary School,Male,all,NABTEB,1,1,1,1,1,0,100.0,100.0,100.0,0.0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Islamiya Primary School,Male,all,NECO,0,0,0,0,0,0,0,0,0,0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Islamiya Primary School,Male,all,WAEC,2,1,2,0,0,0,50.0,0.0,0.0,0
