session,zone,state,lga,ward,school,gender,disability,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,NABTEB,49,39,59,49,77,69,70.2703,36.5854,107.3171,88.6364
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,NECO,89,64,113,92,156,143,64.1791,35.8974,114.1026,91.0112
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,WAEC,122,93,144,118,195,182,68.4783,36.0,111.0,92.7928
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Disabled,NABTEB,3,1,3,3,9,7,50.0,50.0,250.0,80.0
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Disabled,NECO,5,4,6,3,7,5,75.0,25.0,100.0,75.0
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Disabled,WAEC,7,4,9,7,7,5,60.0,33.3333,66.6667,75.0
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,NABTEB,53,41,69,56,91,81,70.0,35.4167,108.3333,88.4615
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,NECO,114,81,143,115,174,159,63.9535,35.3535,100.0,90.9091
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,WAEC,145,111,183,147,225,214,68.8073,35.4331,100.7874,94.5312
2022/2023,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,Disabled,NABTEB,4,3,4,3,11,9,66.6667,33.3333,200.0,83.3333
