session,zone,state,lga,ward,school,gender,disability,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,NABTEB,0,0,0,0,26,22,0,0,0,84.6154
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,NECO,0,0,0,0,60,58,0,0,0,96.6667
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,WAEC,0,0,0,0,76,70,0,0,0,92.1053
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,NABTEB,0,0,0,0,4,2,0,0,0,50.0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,NECO,0,0,0,0,4,2,0,0,0,50.0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,WAEC,0,0,0,0,4,2,0,0,0,50.0
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,NABTEB,0,0,0,0,36,32,0,0,0,88.8889
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,NECO,0,0,0,0,58,54,0,0,0,93.1034
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,WAEC,0,0,0,0,84,76,0,0,0,90.4762
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,Disabled,NABTEB,0,0,0,0,6,4,0,0,0,66.6667
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,Disabled,NECO,0,0,0,0,6,4,0,0,0,66.6667
2022/2023,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,Disabled,WAEC,0,0,0,0,4,2,0,0,0,50.0
2022/2023,South South,Cross River,Abi,Adadama,"Comprehensive High School, Adadama",Female,ALL,NABTEB,0,0,0,0,24,22,0,0,0,91.6667
2022/2023,South South,Cross River,Abi,Adadama,"Comprehensive High School, Adadama",Female,ALL,NECO,0,0,0,0,46,42,0,0,0,91.3043
2022/2023,South South,Cross River,Abi,Adadama,"Comprehensive High School, Adadama",Female,ALL,WAEC,0,0,0,0,60,52,0,0,0,86.6667
2022/2023,South South,Cross River,Abi,Adadama,"Comprehensive High School, Adadama",Female,Disabled,NABTEB,0,0,0,0,4,2,0,0,0,50.0
2022/2023,South South,Cross River,Abi,Adadama,"Comprehensive High School, Adadama",Female,Disabled,NECO,0,0,0,0,4,2,0,0,0,50.0
2022/2023,South South,Cross River,Abi,Adadama,"Comprehensive High School, Adadama",Female,Disabled,WAEC,0,0,0,0,4,2,0,0,0,50.0
2022/2023,South South,Cross River,Abi,Adadama,"Comprehensive High School, Adadama",Male,ALL,NABTEB,0,0,0,0,30,28,0,0,0,93.3333
2022/2023,South South,Cross River,Abi,Adadama,"Comprehensive High School, Adadama",Male,ALL,NECO,0,0,0,0,52,46,0,0,0,88.4615
2022/2023,South South,Cross River,Abi,Adadama,"Comprehensive High School, Adadama",Male,ALL,WAEC,0,0,0,0,72,68,0,0,0,94.4444
2022/2023,South South,Cross River,Abi,Adadama,"Comprehensive High School, Adadama",Male,Disabled,NABTEB,0,0,0,0,6,4,0,0,0,66.6667
2022/2023,South South,Cross River,Abi,Adadama,"Comprehensive High School, Adadama",Male,Disabled,NECO,0,0,0,0,6,4,0,0,0,66.6667
2022/2023,South South,Cross River,Abi,Adadama,"Comprehensive High School, Adadama",Male,Disabled,WAEC,0,0,0,0,4,2,0,0,0,50.0
2022/2023,South South,Cross River,Abi,Adadama,"Government Secondary School, Adadama",Female,ALL,NABTEB,0,0,0,0,46,44,0,0,0,95.6522
2022/2023,South South,Cross River,Abi,Adadama,"Government Secondary School, Adadama",Female,ALL,NECO,0,0,0,0,86,78,0,0,0,90.6977
2022/2023,South South,Cross River,Abi,Adadama,"Government Secondary School, Adadama",Female,ALL,WAEC,0,0,0,0,106,95,0,0,0,88.6792
2022/2023,South South,Cross River,Abi,Adadama,"Government Secondary School, Adadama",Female,Disabled,NABTEB,0,0,0,0,4,2,0,0,0,50.0
2022/2023,South South,Cross River,Abi,Adadama,"Government Secondary School, Adadama",Female,Disabled,NECO,0,0,0,0,4,2,0,0,0,50.0
2022/2023,South South,Cross River,Abi,Adadama,"Government Secondary School, Adadama",Female,Disabled,WAEC,0,0,0,0,4,2,0,0,0,50.0
2022/2023,South South,Cross River,Abi,Adadama,"Government Secondary School, Adadama",Male,ALL,NABTEB,0,0,0,0,66,62,0,0,0,93.9394
2022/2023,South South,Cross River,Abi,Adadama,"Government Secondary School, Adadama",Male,ALL,NECO,0,0,0,0,108,101,0,0,0,92.5926
2022/2023,South South,Cross River,Abi,Adadama,"Government Secondary School, Adadama",Male,ALL,WAEC,0,0,0,0,142,135,0,0,0,94.3662
2022/2023,South South,Cross River,Abi,Adadama,"Government Secondary School, Adadama",Male,Disabled,NABTEB,0,0,0,0,6,4,0,0,0,66.6667
2022/2023,South South,Cross River,Abi,Adadama,"Government Secondary School, Adadama",Male,Disabled,NECO,0,0,0,0,6,4,0,0,0,66.6667
2022/2023,South South,Cross River,Abi,Adadama,"Government Secondary School, Adadama",Male,Disabled,WAEC,0,0,0,0,10,8,0,0,0,80.0
2022/2023,South South,Cross River,Abi,Adadama,"Unity College, Abi",Female,ALL,NABTEB,0,0,0,0,52,50,0,0,0,96.1538
2022/2023,South South,Cross River,Abi,Adadama,"Unity College, Abi",Female,ALL,NECO,0,0,0,0,108,101,0,0,0,92.5926
2022/2023,South South,Cross River,Abi,Adadama,"Unity College, Abi",Female,ALL,WAEC,0,0,0,0,138,127,0,0,0,91.3043
2022/2023,South South,Cross River,Abi,Adadama,"Unity College, Abi",Female,Disabled,NABTEB,0,0,0,0,4,2,0,0,0,50.0
2022/2023,South South,Cross River,Abi,Adadama,"Unity College, Abi",Female,Disabled,NECO,0,0,0,0,10,8,0,0,0,80.0
2022/2023,South South,Cross River,Abi,Adadama,"Unity College, Abi",Female,Disabled,WAEC,0,0,0,0,8,6,0,0,0,75.0
2022/2023,South South,Cross River,Abi,Adadama,"Unity College, Abi",Male,ALL,NABTEB,0,0,0,0,44,40,0,0,0,90.9091
2022/2023,South South,Cross River,Abi,Adadama,"Unity College, Abi",Male,ALL,NECO,0,0,0,0,108,101,0,0,0,92.5926
2022/2023,South South,Cross River,Abi,Adadama,"Unity College, Abi",Male,ALL,WAEC,0,0,0,0,136,127,0,0,0,92.6471
2022/2023,South South,Cross River,Abi,Adadama,"Unity College, Abi",Male,Disabled,NABTEB,0,0,0,0,6,4,0,0,0,66.6667
2022/2023,South South,Cross River,Abi,Adadama,"Unity College, Abi",Male,Disabled,NECO,0,0,0,0,6,4,0,0,0,66.6667
2022/2023,South South,Cross River,Abi,Adadama,"Unity College, Abi",Male,Disabled,WAEC,0,0,0,0,10,8,0,0,0,80.0
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Community Secondary School, Afafanyi/Igonigoni",Female,ALL,NABTEB,0,0,0,0,38,36,0,0,0,94.7368
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Community Secondary School, Afafanyi/Igonigoni",Female,ALL,NECO,0,0,0,0,80,72,0,0,0,90.0
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Community Secondary School, Afafanyi/Igonigoni",Female,ALL,WAEC,0,0,0,0,110,101,0,0,0,90.9091
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Community Secondary School, Afafanyi/Igonigoni",Female,Disabled,NABTEB,0,0,0,0,4,2,0,0,0,50.0
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Community Secondary School, Afafanyi/Igonigoni",Female,Disabled,NECO,0,0,0,0,4,2,0,0,0,50.0
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Community Secondary School, Afafanyi/Igonigoni",Female,Disabled,WAEC,0,0,0,0,8,6,0,0,0,75.0
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Community Secondary School, Afafanyi/Igonigoni",Male,ALL,NABTEB,0,0,0,0,36,32,0,0,0,88.8889
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Community Secondary School, Afafanyi/Igonigoni",Male,ALL,NECO,0,0,0,0,74,62,0,0,0,83.7838
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Community Secondary School, Afafanyi/Igonigoni",Male,ALL,WAEC,0,0,0,0,96,93,0,0,0,95.8333
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Community Secondary School, Afafanyi/Igonigoni",Male,Disabled,NABTEB,0,0,0,0,6,4,0,0,0,66.6667
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Community Secondary School, Afafanyi/Igonigoni",Male,Disabled,NECO,0,0,0,0,6,4,0,0,0,66.6667
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Community Secondary School, Afafanyi/Igonigoni",Male,Disabled,WAEC,0,0,0,0,4,2,0,0,0,50.0
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Comprehensive High School, Afafanyi/Igonigoni",Female,ALL,NABTEB,0,0,0,0,32,28,0,0,0,87.5
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Comprehensive High School, Afafanyi/Igonigoni",Female,ALL,NECO,0,0,0,0,66,58,0,0,0,87.8788
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Comprehensive High School, Afafanyi/Igonigoni",Female,ALL,WAEC,0,0,0,0,104,95,0,0,0,90.3846
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Comprehensive High School, Afafanyi/Igonigoni",Female,Disabled,NABTEB,0,0,0,0,4,2,0,0,0,50.0
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Comprehensive High School, Afafanyi/Igonigoni",Female,Disabled,NECO,0,0,0,0,4,2,0,0,0,50.0
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Comprehensive High School, Afafanyi/Igonigoni",Female,Disabled,WAEC,0,0,0,0,8,6,0,0,0,75.0
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Comprehensive High School, Afafanyi/Igonigoni",Male,ALL,NABTEB,0,0,0,0,44,40,0,0,0,90.9091
2022/2023,South South,Cross River,Abi,Afafanyi/Igonigoni,"Comprehensive High School, Afafanyi/Igonigoni",Male,ALL,NECO,0,0,0,0,88,76,0,0,0,86.3636
