session,zone,state,lga,ward,school,gender,disability,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,NABTEB,31,25,40,29,18,16,71.4286,32.0,36.0,88.8889
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,NECO,66,48,74,58,39,34,65.9091,34.7826,43.4783,85.0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,WAEC,79,63,97,77,45,43,71.6981,35.0,38.3333,95.6522
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,NABTEB,4,3,5,4,0,0,66.6667,33.3333,0.0,0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,NECO,6,5,6,4,6,4,75.0,25.0,75.0,66.6667
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,WAEC,6,5,8,7,4,2,75.0,40.0,40.0,50.0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,NABTEB,39,31,45,37,22,20,73.0769,35.7143,39.2857,90.9091
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,NECO,69,50,82,66,43,38,65.2174,35.2941,43.1373,86.3636
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,WAEC,95,74,111,88,59,57,70.3125,34.7826,43.4783,96.6667
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Disabled,NABTEB,4,3,5,4,0,0,66.6667,33.3333,0.0,0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Disabled,NECO,6,5,6,4,8,6,75.0,25.0,100.0,75.0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Disabled,WAEC,9,7,8,7,6,4,66.6667,40.0,60.0,66.6667
