session,gender,disability,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,ALL,NABTEB,zone,North Central,North Central,,,,,8248,6037,5965,2239,2502,2301,4613.8799,2366.3365,2642.5136,5788.9764
2022/2023,Female,ALL,NABTEB,zone,North East,North East,,,,,19986,14628,14462,5424,6059,5567,3953.0911,2025.4656,2259.5439,4974.8722
2022/2023,Female,ALL,NABTEB,zone,North West,North West,,,,,41500,30373,30034,11261,12577,11557,4609.748,2359.5278,2639.7524,5787.7902
2022/2023,Female,ALL,NABTEB,zone,South East,South East,,,,,13127,9607,9498,3562,3979,3657,3299.488,1678.8792,1892.6751,4149.0541
2022/2023,Female,ALL,NABTEB,zone,South South,South South,,,,,10144,7423,7335,2749,3075,2822,3883.9955,1837.4957,2151.2928,4630.2265
2022/2023,Female,ALL,NABTEB,zone,South West,South West,,,,,23185,16968,16776,6291,7025,6458,3949.9535,2022.7878,2254.1115,4989.1993
2022/2023,Female,ALL,NECO,zone,North Central,North Central,,,,,26573,17893,19229,7211,8055,7403,4244.0949,2360.9099,2634.1754,5804.7525
2022/2023,Female,ALL,NECO,zone,North East,North East,,,,,64398,43372,46599,17470,19521,17935,3637.0504,2022.9008000000001,2262.4652,4959.8979
2022/2023,Female,ALL,NECO,zone,North West,North West,,,,,133722,90064,96767,36288,40534,37240,4243.0117,2360.9071,2639.8289,5782.9622
2022/2023,Female,ALL,NECO,zone,South East,South East,,,,,42292,28484,30606,11480,12817,11779,3032.5081999999998,1689.7902,1884.0928999999999,4136.3702
2022/2023,Female,ALL,NECO,zone,South South,South South,,,,,32682,22016,23649,8870,9907,9100,3660.8458,1952.565,2366.7436,4917.8151
2022/2023,Female,ALL,NECO,zone,South West,South West,,,,,74698,50308,54058,20276,22640,20803,3638.3111,2027.0059,2260.2922,4968.6617
2022/2023,Female,ALL,WAEC,zone,North Central,North Central,,,,,56813,40971,41113,15419,17224,15829,4541.1696,2363.3236,2633.0757,5807.7472
2022/2023,Female,ALL,WAEC,zone,North East,North East,,,,,137676,99293,99627,37356,41733,38346,3894.3744,2024.7252,2262.2855,4962.1897
2022/2023,Female,ALL,WAEC,zone,North West,North West,,,,,285895,206190,206905,77582,86664,79615,4543.7032,2362.2357,2639.4613,5785.8511
2022/2023,Female,ALL,WAEC,zone,South East,South East,,,,,90419,65211,65429,24539,27410,25180,3245.8308,1687.141,1886.5901999999999,4133.9123
2022/2023,Female,ALL,WAEC,zone,South South,South South,,,,,69872,50393,50555,18963,21182,19464,3884.7533,2035.164,2266.1105000000002,4992.2245
2022/2023,Female,ALL,WAEC,zone,South West,South West,,,,,159698,115172,115560,43336,48409,44470,3894.1123,2025.5341,2263.7037,4957.6723
2022/2023,Female,Disabled,NABTEB,zone,North Central,North Central,,,,,533,392,386,142,165,147,4485.1273,2001.475,2542.3287,4529.9592
2022/2023,Female,Disabled,NABTEB,zone,North East,North East,,,,,1297,950,937,350,388,362,3937.5389,2083.7938,2253.8801,5138.8924
2022/2023,Female,Disabled,NABTEB,zone,North West,North West,,,,,2703,1971,1950,729,815,751,4598.3347,2388.2048,2643.3282,5857.0465
2022/2023,Female,Disabled,NABTEB,zone,South East,South East,,,,,851,624,615,233,257,240,3321.53,1673.1353,1773.584,3747.486
2022/2023,Female,Disabled,NABTEB,zone,South South,South South,,,,,658,481,475,178,201,181,3282.1194,1609.1677,2087.9568,3755.2574
2022/2023,Female,Disabled,NABTEB,zone,South West,South West,,,,,1507,1104,1092,410,455,419,4010.684,2046.0905,2233.6705,4779.02
2022/2023,Female,Disabled,NECO,zone,North Central,North Central,,,,,1725,1165,1248,468,523,481,4230.7838,2308.9033,2686.8136,5545.5452
2022/2023,Female,Disabled,NECO,zone,North East,North East,,,,,4182,2819,3026,1131,1269,1168,3647.7808,2020.7927,2266.5144,4996.5087
2022/2023,Female,Disabled,NECO,zone,North West,North West,,,,,8696,5853,6289,2357,2630,2427,4231.7842,2347.318,2632.0971,5842.1814
2022/2023,Female,Disabled,NECO,zone,South East,South East,,,,,2749,1852,1987,748,834,766,3028.9417,1811.8252,1991.683,4138.2009
2022/2023,Female,Disabled,NECO,zone,South South,South South,,,,,2120,1429,1538,577,642,590,3311.654,1761.4154,1987.8952,4156.0661
2022/2023,Female,Disabled,NECO,zone,South West,South West,,,,,4855,3271,3514,1317,1470,1355,3632.379,2020.0604,2244.5253,5020.0889
2022/2023,Female,Disabled,WAEC,zone,North Central,North Central,,,,,3692,2663,2671,1001,1120,1026,4563.3874000000005,2252.5822,2570.3128,5514.7662
2022/2023,Female,Disabled,WAEC,zone,North East,North East,,,,,8949,6452,6473,2423,2712,2489,3893.9386,2014.9508,2261.4916,4943.5086
2022/2023,Female,Disabled,WAEC,zone,North West,North West,,,,,18588,13404,13447,5041,5630,5179,4540.0256,2355.1524,2640.3729,5780.6932
2022/2023,Female,Disabled,WAEC,zone,South East,South East,,,,,5877,4238,4252,1598,1782,1635,3238.8351000000002,1699.844,1895.6801,4123.9381
2022/2023,Female,Disabled,WAEC,zone,South South,South South,,,,,4543,3274,3284,1233,1374,1265,3714.3908,1925.7853,2117.4266,4456.9405
2022/2023,Female,Disabled,WAEC,zone,South West,South West,,,,,10384,7487,7515,2817,3143,2890,3902.7144,2031.9236,2245.0233,5021.7998
2022/2023,Male,ALL,NABTEB,zone,North Central,North Central,,,,,9036,6613,6546,2458,2742,2518,4611.583,2377.679,2630.1841,5824.993
2022/2023,Male,ALL,NABTEB,zone,North East,North East,,,,,21039,15399,15224,5705,6380,5862,3952.1154,2024.6108,2261.4773999999998,4970.118
2022/2023,Male,ALL,NABTEB,zone,North West,North West,,,,,42592,31171,30817,11557,12907,11860,4611.0718,2362.1279,2637.0587,5797.0138
2022/2023,Male,ALL,NABTEB,zone,South East,South East,,,,,11788,8627,8531,3196,3573,3281,3294.0169,1682.4126,1885.0125,4144.7644
2022/2023,Male,ALL,NABTEB,zone,South South,South South,,,,,11865,8682,8585,3220,3596,3302,3884.9017,1850.0319,2145.4646,4630.1191
2022/2023,Male,ALL,NABTEB,zone,South West,South West,,,,,22882,16748,16557,6206,6934,6373,3953.371,2016.7452,2257.9045,4980.4624
2022/2023,Male,ALL,NECO,zone,North Central,North Central,,,,,29129,19621,21080,7906,8830,8114,4243.9808,2372.0259,2639.6947,5796.9664
2022/2023,Male,ALL,NECO,zone,North East,North East,,,,,67801,45663,49065,18399,20554,18883,3636.7752,2024.7396,2262.0052,4962.0045
2022/2023,Male,ALL,NECO,zone,North West,North West,,,,,137235,92424,99305,37237,41596,38214,4242.7505,2362.5526,2638.6937,5788.9852
2022/2023,Male,ALL,NECO,zone,South East,South East,,,,,37977,25579,27482,10306,11512,10577,3029.7449,1686.343,1884.6136,4144.6844
2022/2023,Male,ALL,NECO,zone,South South,South South,,,,,38226,25748,27658,10372,11590,10648,3647.3744,1966.8089,2346.1437,5017.9204
2022/2023,Male,ALL,NECO,zone,South West,South West,,,,,73733,49659,53353,20004,22350,20538,3637.3776,2022.7079,2261.1455,4967.5183
2022/2023,Male,ALL,WAEC,zone,North Central,North Central,,,,,62276,44911,45064,16900,18880,17348,4541.7754,2358.3901,2641.5106,5802.5552
2022/2023,Male,ALL,WAEC,zone,North East,North East,,,,,144953,104540,104896,39333,43941,40372,3894.502,2024.1929,2261.8091,4961.9709
2022/2023,Male,ALL,WAEC,zone,North West,North West,,,,,293401,211601,212312,79616,88938,81706,4543.632,2362.2886,2638.8672,5787.3871
2022/2023,Male,ALL,WAEC,zone,South East,South East,,,,,81193,58557,58753,22031,24611,22612,3245.8395,1686.8271,1885.5001,4135.9716
2022/2023,Male,ALL,WAEC,zone,South South,South South,,,,,81722,58939,59137,22176,24775,22763,3889.1232,2042.3309,2259.725,4960.0773
2022/2023,Male,ALL,WAEC,zone,South West,South West,,,,,157624,113679,114068,42778,47778,43903,3894.1756,2025.9586,2261.2179,4968.1333
