session,gender,disability_scope,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,all,NABTEB,ward,City Centre,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,,90,66,104,38,16,15,73.3333,36.5385,15.3846,93.75
2022/2023,Female,all,NABTEB,ward,Garki,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,Garki,,106,77,121,44,14,13,72.6415,36.3636,11.5702,92.8571
2022/2023,Female,all,NABTEB,ward,Gui,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,Gui,,90,66,101,36,12,11,73.3333,35.6436,11.8812,91.6667
2022/2023,Female,all,NABTEB,ward,Bwari Central,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,,88,64,106,39,15,14,72.7273,36.7925,14.1509,93.3333
2022/2023,Female,all,NABTEB,ward,Byazhin,North Central,Abuja Federal Capital Territory,Bwari,Byazhin,,113,82,125,45,14,12,72.5664,36.0,11.2,85.7143
2022/2023,Female,all,NABTEB,ward,Dutse Alhaji,North Central,Abuja Federal Capital Territory,Bwari,Dutse Alhaji,,110,80,129,46,18,16,72.7273,35.6589,13.9535,88.8889
2022/2023,Female,all,NABTEB,ward,Dobi,North Central,Abuja Federal Capital Territory,Gwagwalada,Dobi,,101,74,119,43,15,14,73.2673,36.1345,12.605,93.3333
2022/2023,Female,all,NABTEB,ward,Gwagwalada Centre,North Central,Abuja Federal Capital Territory,Gwagwalada,Gwagwalada Centre,,79,58,91,33,11,10,73.4177,36.2637,12.0879,90.9091
2022/2023,Female,all,NABTEB,ward,Gwako,North Central,Abuja Federal Capital Territory,Gwagwalada,Gwako,,83,60,97,35,14,13,72.2892,36.0825,14.433,92.8571
2022/2023,Female,all,NABTEB,ward,Chibiri,North Central,Abuja Federal Capital Territory,Kuje,Chibiri,,95,69,109,40,15,14,72.6316,36.6972,13.7615,93.3333
2022/2023,Female,all,NABTEB,ward,Gaube,North Central,Abuja Federal Capital Territory,Kuje,Gaube,,102,74,118,43,14,13,72.549,36.4407,11.8644,92.8571
2022/2023,Female,all,NABTEB,ward,Gudun Karya,North Central,Abuja Federal Capital Territory,Kuje,Gudun Karya,,69,50,78,28,10,9,72.4638,35.8974,12.8205,90.0
2022/2023,Female,all,NABTEB,ward,Ashara,North Central,Abuja Federal Capital Territory,Kwali,Ashara,,119,86,131,47,14,13,72.2689,35.8779,10.687,92.8571
2022/2023,Female,all,NABTEB,ward,Dafa,North Central,Abuja Federal Capital Territory,Kwali,Dafa,,105,76,116,43,14,13,72.381,37.069,12.069,92.8571
2022/2023,Female,all,NABTEB,ward,Gumbo,North Central,Abuja Federal Capital Territory,Kwali,Gumbo,,78,57,95,35,14,12,73.0769,36.8421,14.7368,85.7143
2022/2023,Female,all,NECO,ward,City Centre,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,,168,110,197,71,25,23,65.4762,36.0406,12.6904,92.0
2022/2023,Female,all,NECO,ward,Garki,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,Garki,,191,125,218,79,23,20,65.445,36.2385,10.5505,86.9565
2022/2023,Female,all,NECO,ward,Gui,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,Gui,,168,109,189,68,21,19,64.881,35.9788,11.1111,90.4762
2022/2023,Female,all,NECO,ward,Bwari Central,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,,170,111,201,72,25,22,65.2941,35.8209,12.4378,88.0
2022/2023,Female,all,NECO,ward,Byazhin,North Central,Abuja Federal Capital Territory,Bwari,Byazhin,,209,137,235,84,24,21,65.5502,35.7447,10.2128,87.5
2022/2023,Female,all,NECO,ward,Dutse Alhaji,North Central,Abuja Federal Capital Territory,Bwari,Dutse Alhaji,,186,121,224,81,27,24,65.0538,36.1607,12.0536,88.8889
2022/2023,Female,all,NECO,ward,Dobi,North Central,Abuja Federal Capital Territory,Gwagwalada,Dobi,,197,128,224,81,25,22,64.9746,36.1607,11.1607,88.0
2022/2023,Female,all,NECO,ward,Gwagwalada Centre,North Central,Abuja Federal Capital Territory,Gwagwalada,Gwagwalada Centre,,144,94,163,59,19,17,65.2778,36.1963,11.6564,89.4737
2022/2023,Female,all,NECO,ward,Gwako,North Central,Abuja Federal Capital Territory,Gwagwalada,Gwako,,156,102,182,66,24,22,65.3846,36.2637,13.1868,91.6667
2022/2023,Female,all,NECO,ward,Chibiri,North Central,Abuja Federal Capital Territory,Kuje,Chibiri,,190,124,222,80,26,24,65.2632,36.036,11.7117,92.3077
2022/2023,Female,all,NECO,ward,Gaube,North Central,Abuja Federal Capital Territory,Kuje,Gaube,,176,115,200,72,26,23,65.3409,36.0,13.0,88.4615
2022/2023,Female,all,NECO,ward,Gudun Karya,North Central,Abuja Federal Capital Territory,Kuje,Gudun Karya,,133,86,150,55,18,15,64.6617,36.6667,12.0,83.3333
