session,gender,disability,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,ALL,NABTEB,ward,Amuzu,South East,Imo,Aboh Mbaise,Amuzu,,189,162,241,212,163,152,77.0609,38.7195,55.4878,92.8571
2022/2023,Female,ALL,NABTEB,ward,Enyiogugu,South East,Imo,Aboh Mbaise,Enyiogugu,,155,133,186,167,134,119,77.2926,39.3701,59.0551,88.0
2022/2023,Female,ALL,NABTEB,ward,Ibeku,South East,Imo,Aboh Mbaise,Ibeku,,162,139,193,170,136,130,77.0833,38.7833,57.7947,94.7368
2022/2023,Female,ALL,NABTEB,ward,Agbobu,South East,Imo,Okigwe,Agbobu,,208,179,263,232,163,142,76.9481,38.8268,50.838,86.8132
2022/2023,Female,ALL,NABTEB,ward,Aku,South East,Imo,Okigwe,Aku,,172,148,208,182,163,152,76.8627,38.3803,64.0845,92.8571
2022/2023,Female,ALL,NABTEB,ward,Amuro,South East,Imo,Okigwe,Amuro,,224,192,276,245,163,154,77.0393,39.0957,48.4043,93.956
2022/2023,Female,ALL,NABTEB,ward,Amaifeke,South East,Imo,Orlu,Amaifeke,,202,173,257,227,181,152,76.9231,38.8571,57.7143,83.6634
2022/2023,Female,ALL,NABTEB,ward,Ebenese/Umueze/Nnachi Ihioma,South East,Imo,Orlu,Ebenese/Umueze/Nnachi Ihioma,,210,179,257,225,174,152,76.7742,38.5714,55.4286,87.1134
2022/2023,Female,ALL,NABTEB,ward,Eziachi/Amike,South East,Imo,Orlu,Eziachi/Amike,,210,179,272,238,191,170,76.7742,38.5445,57.6819,88.3178
2022/2023,Female,ALL,NABTEB,ward,Agbala/Obube/Ulakwo,South East,Imo,Owerri North,Agbala/Obube/Ulakwo,,176,151,219,192,143,122,76.9231,38.5906,53.6913,85.0
2022/2023,Female,ALL,NABTEB,ward,Awaka/Ihitte-Ogada,South East,Imo,Owerri North,Awaka/Ihitte-Ogada,,165,142,215,188,161,142,77.0492,38.5666,61.4334,87.7778
