session,gender,disability,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,ALL,NABTEB,ward,Baro,North Central,Niger,Agaie,Baro,,119,96,147,124,95,89,73.4694,37.1681,53.0973,93.3333
2022/2023,Female,ALL,NABTEB,ward,Boku,North Central,Niger,Agaie,Boku,,132,108,166,141,106,95,74.3119,37.5,52.3438,89.5522
2022/2023,Female,ALL,NABTEB,ward,Dauaci,North Central,Niger,Agaie,Dauaci,,107,87,130,112,79,65,73.8636,38.0,50.0,82.0
2022/2023,Female,ALL,NABTEB,ward,Bariki,North Central,Niger,Bida,Bariki,,104,84,131,112,90,76,73.2558,37.6238,56.4356,84.2105
2022/2023,Female,ALL,NABTEB,ward,Ceniyan,North Central,Niger,Bida,Ceniyan,,92,75,115,97,79,76,73.6842,37.0787,56.1798,96.0
2022/2023,Female,ALL,NABTEB,ward,Dokodza,North Central,Niger,Bida,Dokodza,,121,99,145,124,100,99,74.0,37.5,56.25,98.4127
2022/2023,Female,ALL,NABTEB,ward,Limawa 'A',North Central,Niger,Chanchaga,Limawa 'A',,108,88,131,112,70,65,74.1573,37.6238,43.5644,93.1818
2022/2023,Female,ALL,NABTEB,ward,Limawa 'B',North Central,Niger,Chanchaga,Limawa 'B',,128,104,161,138,104,94,73.5849,37.9032,53.2258,89.3939
2022/2023,Female,ALL,NABTEB,ward,Makera,North Central,Niger,Chanchaga,Makera,,93,76,113,97,74,72,74.026,37.931,54.023,95.7447
2022/2023,Female,ALL,NABTEB,ward,Arewa,North Central,Niger,Kontagora,Arewa,,93,76,115,97,79,72,74.026,37.0787,56.1798,90.0
2022/2023,Female,ALL,NABTEB,ward,Central,North Central,Niger,Kontagora,Central,,117,96,140,118,74,72,74.2268,37.037,43.5185,95.7447
2022/2023,Female,ALL,NABTEB,ward,Gabas,North Central,Niger,Kontagora,Gabas,,77,63,95,79,58,54,73.4375,36.9863,50.6849,91.8919
2022/2023,Female,ALL,NABTEB,ward,Bagama 'B',North Central,Niger,Suleja,Bagama 'B',,100,81,127,109,95,87,73.494,37.7551,61.2245,91.6667
2022/2023,Female,ALL,NABTEB,ward,Bagmama 'A',North Central,Niger,Suleja,Bagmama 'A',,127,103,165,141,106,100,73.3333,37.7953,52.7559,94.0299
2022/2023,Female,ALL,NABTEB,ward,Hashimi 'A',North Central,Niger,Suleja,Hashimi 'A',,105,85,123,106,79,76,73.5632,37.8947,52.6316,96.0
2022/2023,Female,ALL,NECO,ward,Baro,North Central,Niger,Agaie,Baro,,205,149,245,209,131,121,66.2722,37.5661,43.9153,91.5663
2022/2023,Female,ALL,NECO,ward,Boku,North Central,Niger,Agaie,Boku,,254,184,315,268,172,154,65.7143,37.4486,44.856,88.9908
2022/2023,Female,ALL,NECO,ward,Dauaci,North Central,Niger,Agaie,Dauaci,,182,132,226,191,125,114,66.0,37.3563,45.4023,91.1392
2022/2023,Female,ALL,NECO,ward,Bariki,North Central,Niger,Bida,Bariki,,183,133,223,191,131,122,66.2252,37.7907,48.2558,92.7711
2022/2023,Female,ALL,NECO,ward,Ceniyan,North Central,Niger,Bida,Ceniyan,,162,119,208,177,128,118,66.4179,37.5,50.625,91.358
2022/2023,Female,ALL,NECO,ward,Dokodza,North Central,Niger,Bida,Dokodza,,232,169,291,247,166,149,66.1458,37.5,46.875,89.5238
2022/2023,Female,ALL,NECO,ward,Limawa 'A',North Central,Niger,Chanchaga,Limawa 'A',,214,156,265,227,142,130,66.1017,37.7451,44.1176,91.1111
2022/2023,Female,ALL,NECO,ward,Limawa 'B',North Central,Niger,Chanchaga,Limawa 'B',,225,164,280,238,174,159,66.129,37.5,50.9259,90.9091
2022/2023,Female,ALL,NECO,ward,Makera,North Central,Niger,Chanchaga,Makera,,179,131,226,194,141,130,66.2162,37.931,51.1494,92.1348
2022/2023,Female,ALL,NECO,ward,Arewa,North Central,Niger,Kontagora,Arewa,,176,128,219,185,125,114,66.2069,37.2781,46.7456,91.1392
2022/2023,Female,ALL,NECO,ward,Central,North Central,Niger,Kontagora,Central,,206,149,241,206,125,113,65.8824,37.6344,42.4731,89.8734
2022/2023,Female,ALL,NECO,ward,Gabas,North Central,Niger,Kontagora,Gabas,,145,105,171,147,92,81,65.8333,37.8788,43.9394,87.931
2022/2023,Female,ALL,NECO,ward,Bagama 'B',North Central,Niger,Suleja,Bagama 'B',,192,140,246,209,147,134,66.0377,37.3684,48.9474,90.3226
2022/2023,Female,ALL,NECO,ward,Bagmama 'A',North Central,Niger,Suleja,Bagmama 'A',,247,180,301,256,177,162,66.1765,37.5,48.2759,91.0714
2022/2023,Female,ALL,NECO,ward,Hashimi 'A',North Central,Niger,Suleja,Hashimi 'A',,192,140,239,200,128,113,66.0377,36.9565,44.0217,87.6543
2022/2023,Female,ALL,WAEC,ward,Baro,North Central,Niger,Agaie,Baro,,280,220,333,283,202,189,71.4286,37.3541,49.8054,92.9688
2022/2023,Female,ALL,WAEC,ward,Boku,North Central,Niger,Agaie,Boku,,337,264,416,353,259,243,71.223,37.3832,51.0903,93.2927
2022/2023,Female,ALL,WAEC,ward,Dauaci,North Central,Niger,Agaie,Dauaci,,260,204,327,277,207,192,71.1628,37.3016,51.9841,92.3664
2022/2023,Female,ALL,WAEC,ward,Bariki,North Central,Niger,Bida,Bariki,,249,196,306,262,199,184,71.3592,37.7119,53.3898,92.0635
2022/2023,Female,ALL,WAEC,ward,Ceniyan,North Central,Niger,Bida,Ceniyan,,215,169,265,224,175,161,71.3483,37.2549,54.4118,90.991
2022/2023,Female,ALL,WAEC,ward,Dokodza,North Central,Niger,Bida,Dokodza,,307,241,372,318,237,221,71.2598,37.6307,52.2648,92.6667
2022/2023,Female,ALL,WAEC,ward,Limawa 'A',North Central,Niger,Chanchaga,Limawa 'A',,264,208,326,277,199,191,71.5596,37.4502,50.1992,95.2381
2022/2023,Female,ALL,WAEC,ward,Limawa 'B',North Central,Niger,Chanchaga,Limawa 'B',,311,245,387,330,248,230,71.5953,37.5839,52.6846,92.3567
2022/2023,Female,ALL,WAEC,ward,Makera,North Central,Niger,Chanchaga,Makera,,225,177,281,238,180,170,71.5054,37.3272,52.5346,93.8596
2022/2023,Female,ALL,WAEC,ward,Arewa,North Central,Niger,Kontagora,Arewa,,223,174,276,236,177,165,71.1957,37.5587,52.5822,92.8571
