session,gender,disability,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,ALL,NABTEB,ward,Agamo/Oke-Oore/Akomowa,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,,72,61,88,68,190,170,76.2712,34.3284,177.6119,89.0756
2022/2023,Female,ALL,NABTEB,ward,Ayede/Ogbese,South West,Ondo,Akure North,Ayede/Ogbese,,78,66,93,74,182,173,76.5625,35.2113,160.5634,94.7368
2022/2023,Female,ALL,NABTEB,ward,Ayetoro,South West,Ondo,Akure North,Ayetoro,,93,79,118,95,236,212,76.6234,35.5556,164.4444,89.1892
2022/2023,Female,ALL,NABTEB,ward,Aponmu,South West,Ondo,Akure South,Aponmu,,86,73,111,89,230,204,76.0563,35.2941,169.4118,88.1944
2022/2023,Female,ALL,NABTEB,ward,Gbogi/Isikan I,South West,Ondo,Akure South,Gbogi/Isikan I,,73,62,86,68,179,154,76.6667,34.8485,169.697,85.7143
2022/2023,Female,ALL,NABTEB,ward,Gbogi/Isikan II,South West,Ondo,Akure South,Gbogi/Isikan II,,95,79,118,92,223,204,75.641,34.4444,155.5556,90.7143
2022/2023,Female,ALL,NABTEB,ward,Agbabu,South West,Ondo,Odigbo,Agbabu,,69,59,85,68,179,165,77.193,35.3846,172.3077,91.9643
2022/2023,Female,ALL,NABTEB,ward,Ago-Alaye,South West,Ondo,Odigbo,Ago-Alaye,,76,65,96,74,204,191,76.1905,34.2466,175.3425,92.9688
2022/2023,Female,ALL,NABTEB,ward,Ajue,South West,Ondo,Odigbo,Ajue,,95,79,118,95,206,196,75.641,35.5556,143.3333,94.5736
2022/2023,Female,ALL,NABTEB,ward,Asantan Oja,South West,Ondo,Ondo East,Asantan Oja,,96,81,122,98,239,212,75.9494,35.4839,161.2903,88.0
2022/2023,Female,ALL,NABTEB,ward,Ateru/Otasan/Igba,South West,Ondo,Ondo East,Ateru/Otasan/Igba,,84,71,103,83,214,193,76.8116,35.443,169.6203,89.5522
2022/2023,Female,ALL,NABTEB,ward,Bolorunduro I,South West,Ondo,Ondo East,Bolorunduro I,,86,73,105,83,204,185,76.0563,35.0,160.0,89.8438
2022/2023,Female,ALL,NABTEB,ward,Enuowa/Obalalu,South West,Ondo,Ondo West,Enuowa/Obalalu,,84,71,105,83,190,175,76.8116,35.0,148.75,91.5966
2022/2023,Female,ALL,NABTEB,ward,Gbaghengha/Gbongbo/Ajagba Alafia,South West,Ondo,Ondo West,Gbaghengha/Gbongbo/Ajagba Alafia,,83,70,101,80,206,183,76.4706,35.0649,167.5325,88.3721
2022/2023,Female,ALL,NABTEB,ward,Ifore/Odosida/Loro,South West,Ondo,Ondo West,Ifore/Odosida/Loro,,89,75,111,86,222,213,76.7123,34.1176,163.5294,95.6835
2022/2023,Female,ALL,NECO,ward,Agamo/Oke-Oore/Akomowa,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,,127,97,164,131,346,326,68.5714,35.2,173.6,93.5484
2022/2023,Female,ALL,NECO,ward,Ayede/Ogbese,South West,Ondo,Akure North,Ayede/Ogbese,,146,110,183,146,420,390,68.3333,35.0,187.8571,92.3954
2022/2023,Female,ALL,NECO,ward,Ayetoro,South West,Ondo,Akure North,Ayetoro,,164,124,203,163,413,390,68.1481,35.4839,167.0968,93.8224
2022/2023,Female,ALL,NECO,ward,Aponmu,South West,Ondo,Akure South,Aponmu,,169,128,208,166,458,443,68.3453,35.2201,180.5031,96.1672
2022/2023,Female,ALL,NECO,ward,Gbogi/Isikan I,South West,Ondo,Akure South,Gbogi/Isikan I,,133,101,162,131,311,290,68.1818,35.4839,157.2581,92.8205
2022/2023,Female,ALL,NECO,ward,Gbogi/Isikan II,South West,Ondo,Akure South,Gbogi/Isikan II,,176,133,217,175,404,380,68.2759,35.5422,152.4096,93.6759
2022/2023,Female,ALL,NECO,ward,Agbabu,South West,Ondo,Odigbo,Agbabu,,132,101,168,134,354,323,68.8073,35.1562,173.4375,90.5405
2022/2023,Female,ALL,NECO,ward,Ago-Alaye,South West,Ondo,Odigbo,Ago-Alaye,,144,109,178,143,397,361,68.0672,35.2941,183.0882,90.3614
2022/2023,Female,ALL,NECO,ward,Ajue,South West,Ondo,Odigbo,Ajue,,176,133,213,169,421,387,68.2759,34.9693,161.9632,91.2879
2022/2023,Female,ALL,NECO,ward,Asantan Oja,South West,Ondo,Ondo East,Asantan Oja,,181,137,230,184,464,433,68.4564,35.2273,165.3409,92.7835
2022/2023,Female,ALL,NECO,ward,Ateru/Otasan/Igba,South West,Ondo,Ondo East,Ateru/Otasan/Igba,,142,108,174,140,362,334,68.3761,35.3383,170.6767,91.63
2022/2023,Female,ALL,NECO,ward,Bolorunduro I,South West,Ondo,Ondo East,Bolorunduro I,,170,129,211,169,448,396,68.5714,35.4037,174.5342,87.9004
2022/2023,Female,ALL,NECO,ward,Enuowa/Obalalu,South West,Ondo,Ondo West,Enuowa/Obalalu,,152,116,189,152,361,323,68.8,35.4167,156.9444,88.9381
2022/2023,Female,ALL,NECO,ward,Gbaghengha/Gbongbo/Ajagba Alafia,South West,Ondo,Ondo West,Gbaghengha/Gbongbo/Ajagba Alafia,,148,112,182,146,396,359,68.0328,35.2518,178.4173,90.3226
2022/2023,Female,ALL,NECO,ward,Ifore/Odosida/Loro,South West,Ondo,Ondo West,Ifore/Odosida/Loro,,159,120,195,157,412,388,67.9389,35.5705,173.1544,93.7984
2022/2023,Female,ALL,WAEC,ward,Agamo/Oke-Oore/Akomowa,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,,172,141,213,169,413,390,73.9437,34.9693,158.8957,93.8224
2022/2023,Female,ALL,WAEC,ward,Ayede/Ogbese,South West,Ondo,Akure North,Ayede/Ogbese,,172,141,212,169,413,398,73.9437,35.1852,159.8765,95.7529
2022/2023,Female,ALL,WAEC,ward,Ayetoro,South West,Ondo,Akure North,Ayetoro,,214,173,268,211,487,448,73.2955,34.6341,148.7805,91.4754
2022/2023,Female,ALL,WAEC,ward,Aponmu,South West,Ondo,Akure South,Aponmu,,214,175,263,211,498,457,73.8636,35.3234,155.2239,91.3462
