session,gender,disability,school_type,school_level,class_grade,qualification_group,qualification_status,loc_level,loc_label,zone,state,lga,ward,school,student_count,teacher_count,pupil_teacher_ratio
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Qualified,Qualified,lga,Yenegoa,South South,Bayelsa,Yenegoa,,,7986,178,44.8652
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Qualified,Qualified,lga,Yenegoa,South South,Bayelsa,Yenegoa,,,528,12,44.0
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Unqualified,Unqualified,lga,Yenegoa,South South,Bayelsa,Yenegoa,,,2805,68,41.25
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Unqualified,Unqualified,lga,Yenegoa,South South,Bayelsa,Yenegoa,,,198,5,39.6
2024/2025,Female,ALL,Public,JSS,,Qualified,Qualified,lga,Yenegoa,South South,Bayelsa,Yenegoa,,,2475,69,35.8696
2024/2025,Female,Disabled,Public,JSS,,Qualified,Qualified,lga,Yenegoa,South South,Bayelsa,Yenegoa,,,165,5,33.0
2024/2025,Female,ALL,Public,JSS,,Unqualified,Unqualified,lga,Yenegoa,South South,Bayelsa,Yenegoa,,,858,25,34.32
2024/2025,Female,Disabled,Public,JSS,,Unqualified,Unqualified,lga,Yenegoa,South South,Bayelsa,Yenegoa,,,66,2,33.0
2024/2025,Female,ALL,Public,SSS,,Qualified,Qualified,lga,Yenegoa,South South,Bayelsa,Yenegoa,,,2343,56,41.8393
2024/2025,Female,Disabled,Public,SSS,,Qualified,Qualified,lga,Yenegoa,South South,Bayelsa,Yenegoa,,,165,4,41.25
2024/2025,Female,ALL,Public,SSS,,Unqualified,Unqualified,lga,Yenegoa,South South,Bayelsa,Yenegoa,,,825,21,39.2857
2024/2025,Female,Disabled,Public,SSS,,Unqualified,Unqualified,lga,Yenegoa,South South,Bayelsa,Yenegoa,,,66,2,33.0
2024/2025,Female,ALL,Public,Adult & Non-Formal Education,,Qualified,Qualified,lga,Yenegoa,South South,Bayelsa,Yenegoa,,,561,15,37.4
2024/2025,Female,Disabled,Public,Adult & Non-Formal Education,,Qualified,Qualified,lga,Yenegoa,South South,Bayelsa,Yenegoa,,,33,1,33.0
