session,gender,disability,school_type,school_level,class_grade,qualification_group,qualification_status,loc_level,loc_label,zone,state,lga,ward,school,student_count,teacher_count,pupil_teacher_ratio
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Qualified,Qualified,lga,Lafia,North Central,Nasarawa,Lafia,,,3976,63,63.1
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Qualified,Qualified,lga,Lafia,North Central,Nasarawa,Lafia,,,282,4,70.5
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Unqualified,Unqualified,lga,Lafia,North Central,Nasarawa,Lafia,,,1249,19,65.7
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Unqualified,Unqualified,lga,Lafia,North Central,Nasarawa,Lafia,,,107,2,53.5
2024/2025,Female,ALL,Public,JSS,,Qualified,Qualified,lga,Lafia,North Central,Nasarawa,Lafia,,,1649,26,63.4
2024/2025,Female,Disabled,Public,JSS,,Qualified,Qualified,lga,Lafia,North Central,Nasarawa,Lafia,,,68,1,68.0
2024/2025,Female,ALL,Public,JSS,,Unqualified,Unqualified,lga,Lafia,North Central,Nasarawa,Lafia,,,448,7,64.0
2024/2025,Female,Disabled,Public,JSS,,Unqualified,Unqualified,lga,Lafia,North Central,Nasarawa,Lafia,,,0,0,0
2024/2025,Female,ALL,Public,SSS,,Qualified,Qualified,lga,Lafia,North Central,Nasarawa,Lafia,,,1391,23,60.5
2024/2025,Female,Disabled,Public,SSS,,Qualified,Qualified,lga,Lafia,North Central,Nasarawa,Lafia,,,90,2,45.0
2024/2025,Female,ALL,Public,SSS,,Unqualified,Unqualified,lga,Lafia,North Central,Nasarawa,Lafia,,,445,7,63.6
2024/2025,Female,Disabled,Public,SSS,,Unqualified,Unqualified,lga,Lafia,North Central,Nasarawa,Lafia,,,0,0,0
2024/2025,Female,ALL,Public,Adult & Non-Formal Education,,Qualified,Qualified,lga,Lafia,North Central,Nasarawa,Lafia,,,225,4,56.2
2024/2025,Female,Disabled,Public,Adult & Non-Formal Education,,Qualified,Qualified,lga,Lafia,North Central,Nasarawa,Lafia,,,13,1,13.0
2024/2025,Female,ALL,Public,Adult & Non-Formal Education,,Unqualified,Unqualified,lga,Lafia,North Central,Nasarawa,Lafia,,,90,2,45.0
2024/2025,Female,Disabled,Public,Adult & Non-Formal Education,,Unqualified,Unqualified,lga,Lafia,North Central,Nasarawa,Lafia,,,0,0,0
2024/2025,Female,ALL,Public,Vocational,,Qualified,Qualified,lga,Lafia,North Central,Nasarawa,Lafia,,,163,3,54.3
2024/2025,Female,Disabled,Public,Vocational,,Qualified,Qualified,lga,Lafia,North Central,Nasarawa,Lafia,,,12,1,12.0
2024/2025,Female,ALL,Public,Vocational,,Unqualified,Unqualified,lga,Lafia,North Central,Nasarawa,Lafia,,,64,2,32.0
2024/2025,Female,Disabled,Public,Vocational,,Unqualified,Unqualified,lga,Lafia,North Central,Nasarawa,Lafia,,,0,0,0
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Qualified,Qualified,lga,Keffi,North Central,Nasarawa,Keffi,,,4511,69,65.4
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Qualified,Qualified,lga,Keffi,North Central,Nasarawa,Keffi,,,291,4,72.8
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Unqualified,Unqualified,lga,Keffi,North Central,Nasarawa,Keffi,,,1260,19,66.3
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Unqualified,Unqualified,lga,Keffi,North Central,Nasarawa,Keffi,,,108,1,108.0
2024/2025,Female,ALL,Public,JSS,,Qualified,Qualified,lga,Keffi,North Central,Nasarawa,Keffi,,,1341,21,63.9
2024/2025,Female,Disabled,Public,JSS,,Qualified,Qualified,lga,Keffi,North Central,Nasarawa,Keffi,,,67,1,67.0
2024/2025,Female,ALL,Public,JSS,,Unqualified,Unqualified,lga,Keffi,North Central,Nasarawa,Keffi,,,471,7,67.3
2024/2025,Female,Disabled,Public,JSS,,Unqualified,Unqualified,lga,Keffi,North Central,Nasarawa,Keffi,,,106,2,53.0
2024/2025,Female,ALL,Public,SSS,,Qualified,Qualified,lga,Keffi,North Central,Nasarawa,Keffi,,,1668,28,59.6
2024/2025,Female,Disabled,Public,SSS,,Qualified,Qualified,lga,Keffi,North Central,Nasarawa,Keffi,,,89,2,44.5
2024/2025,Female,ALL,Public,SSS,,Unqualified,Unqualified,lga,Keffi,North Central,Nasarawa,Keffi,,,374,6,62.3
2024/2025,Female,Disabled,Public,SSS,,Unqualified,Unqualified,lga,Keffi,North Central,Nasarawa,Keffi,,,67,1,67.0
2024/2025,Female,ALL,Public,Adult & Non-Formal Education,,Qualified,Qualified,lga,Keffi,North Central,Nasarawa,Keffi,,,226,4,56.5
2024/2025,Female,Disabled,Public,Adult & Non-Formal Education,,Qualified,Qualified,lga,Keffi,North Central,Nasarawa,Keffi,,,12,0,0
2024/2025,Female,ALL,Public,Adult & Non-Formal Education,,Unqualified,Unqualified,lga,Keffi,North Central,Nasarawa,Keffi,,,88,1,88.0
2024/2025,Female,Disabled,Public,Adult & Non-Formal Education,,Unqualified,Unqualified,lga,Keffi,North Central,Nasarawa,Keffi,,,0,0,0
2024/2025,Female,ALL,Public,Vocational,,Qualified,Qualified,lga,Keffi,North Central,Nasarawa,Keffi,,,213,4,53.2
2024/2025,Female,Disabled,Public,Vocational,,Qualified,Qualified,lga,Keffi,North Central,Nasarawa,Keffi,,,12,0,0
2024/2025,Female,ALL,Public,Vocational,,Unqualified,Unqualified,lga,Keffi,North Central,Nasarawa,Keffi,,,67,1,67.0
2024/2025,Female,Disabled,Public,Vocational,,Unqualified,Unqualified,lga,Keffi,North Central,Nasarawa,Keffi,,,0,0,0
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Qualified,Qualified,lga,Akwanga,North Central,Nasarawa,Akwanga,,,1668,26,64.2
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Qualified,Qualified,lga,Akwanga,North Central,Nasarawa,Akwanga,,,116,2,58.0
