session,gender,disability,school_type,school_level,class_grade,qualification_group,qualification_status,loc_level,loc_label,zone,state,lga,ward,school,student_count,teacher_count,pupil_teacher_ratio
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Qualified,Qualified,lga,Jos North,North Central,Plateau,Jos North,,,10791,287,37.5993
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Qualified,Qualified,lga,Jos North,North Central,Plateau,Jos North,,,693,18,38.5
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Unqualified,Unqualified,lga,Jos North,North Central,Plateau,Jos North,,,3795,113,33.5841
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Unqualified,Unqualified,lga,Jos North,North Central,Plateau,Jos North,,,231,7,33.0
2024/2025,Female,ALL,Public,JSS,,Qualified,Qualified,lga,Jos North,North Central,Plateau,Jos North,,,3366,82,41.0488
2024/2025,Female,Disabled,Public,JSS,,Qualified,Qualified,lga,Jos North,North Central,Plateau,Jos North,,,231,6,38.5
2024/2025,Female,ALL,Public,JSS,,Unqualified,Unqualified,lga,Jos North,North Central,Plateau,Jos North,,,1188,35,33.9429
2024/2025,Female,Disabled,Public,JSS,,Unqualified,Unqualified,lga,Jos North,North Central,Plateau,Jos North,,,66,2,33.0
2024/2025,Female,ALL,Public,SSS,,Qualified,Qualified,lga,Jos North,North Central,Plateau,Jos North,,,3168,85,37.2706
2024/2025,Female,Disabled,Public,SSS,,Qualified,Qualified,lga,Jos North,North Central,Plateau,Jos North,,,198,5,39.6
2024/2025,Female,ALL,Public,SSS,,Unqualified,Unqualified,lga,Jos North,North Central,Plateau,Jos North,,,1122,32,35.0625
2024/2025,Female,Disabled,Public,SSS,,Unqualified,Unqualified,lga,Jos North,North Central,Plateau,Jos North,,,66,2,33.0
2024/2025,Female,ALL,Public,Adult & Non-Formal Education,,Qualified,Qualified,lga,Jos North,North Central,Plateau,Jos North,,,759,23,33.0
2024/2025,Female,Disabled,Public,Adult & Non-Formal Education,,Qualified,Qualified,lga,Jos North,North Central,Plateau,Jos North,,,33,1,33.0
2024/2025,Female,ALL,Public,Adult & Non-Formal Education,,Unqualified,Unqualified,lga,Jos North,North Central,Plateau,Jos North,,,264,7,37.7143
2024/2025,Female,Disabled,Public,Adult & Non-Formal Education,,Unqualified,Unqualified,lga,Jos North,North Central,Plateau,Jos North,,,33,1,33.0
2024/2025,Female,ALL,Public,Vocational,,Qualified,Qualified,lga,Jos North,North Central,Plateau,Jos North,,,561,13,43.1538
2024/2025,Female,Disabled,Public,Vocational,,Qualified,Qualified,lga,Jos North,North Central,Plateau,Jos North,,,33,1,33.0
2024/2025,Female,ALL,Public,Vocational,,Unqualified,Unqualified,lga,Jos North,North Central,Plateau,Jos North,,,198,5,39.6
2024/2025,Female,Disabled,Public,Vocational,,Unqualified,Unqualified,lga,Jos North,North Central,Plateau,Jos North,,,0,0,0.0
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Qualified,Qualified,lga,Jos South,North Central,Plateau,Jos South,,,19338,613,31.5465
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Qualified,Qualified,lga,Jos South,North Central,Plateau,Jos South,,,1254,40,31.35
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Unqualified,Unqualified,lga,Jos South,North Central,Plateau,Jos South,,,6798,145,46.8828
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Unqualified,Unqualified,lga,Jos South,North Central,Plateau,Jos South,,,429,9,47.6667
2024/2025,Female,ALL,Public,JSS,,Qualified,Qualified,lga,Jos South,North Central,Plateau,Jos South,,,6006,142,42.2958
2024/2025,Female,Disabled,Public,JSS,,Qualified,Qualified,lga,Jos South,North Central,Plateau,Jos South,,,396,9,44.0
2024/2025,Female,ALL,Public,JSS,,Unqualified,Unqualified,lga,Jos South,North Central,Plateau,Jos South,,,2112,51,41.4118
2024/2025,Female,Disabled,Public,JSS,,Unqualified,Unqualified,lga,Jos South,North Central,Plateau,Jos South,,,132,3,44.0
2024/2025,Female,ALL,Public,SSS,,Qualified,Qualified,lga,Jos South,North Central,Plateau,Jos South,,,5676,173,32.8092
2024/2025,Female,Disabled,Public,SSS,,Qualified,Qualified,lga,Jos South,North Central,Plateau,Jos South,,,363,11,33.0
2024/2025,Female,ALL,Public,SSS,,Unqualified,Unqualified,lga,Jos South,North Central,Plateau,Jos South,,,1980,47,42.1277
2024/2025,Female,Disabled,Public,SSS,,Unqualified,Unqualified,lga,Jos South,North Central,Plateau,Jos South,,,132,3,44.0
2024/2025,Female,ALL,Public,Adult & Non-Formal Education,,Qualified,Qualified,lga,Jos South,North Central,Plateau,Jos South,,,1320,39,33.8462
2024/2025,Female,Disabled,Public,Adult & Non-Formal Education,,Qualified,Qualified,lga,Jos South,North Central,Plateau,Jos South,,,99,3,33.0
2024/2025,Female,ALL,Public,Adult & Non-Formal Education,,Unqualified,Unqualified,lga,Jos South,North Central,Plateau,Jos South,,,462,13,35.5385
2024/2025,Female,Disabled,Public,Adult & Non-Formal Education,,Unqualified,Unqualified,lga,Jos South,North Central,Plateau,Jos South,,,33,1,33.0
2024/2025,Female,ALL,Public,Vocational,,Qualified,Qualified,lga,Jos South,North Central,Plateau,Jos South,,,990,21,47.1429
2024/2025,Female,Disabled,Public,Vocational,,Qualified,Qualified,lga,Jos South,North Central,Plateau,Jos South,,,66,1,66.0
2024/2025,Female,ALL,Public,Vocational,,Unqualified,Unqualified,lga,Jos South,North Central,Plateau,Jos South,,,363,8,45.375
2024/2025,Female,Disabled,Public,Vocational,,Unqualified,Unqualified,lga,Jos South,North Central,Plateau,Jos South,,,33,1,33.0
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Qualified,Qualified,lga,Barkin Ladi,North Central,Plateau,Barkin Ladi,,,14520,439,33.0752
