session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability,pupil_teacher_ratio
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,Public,JSS,,,Unqualified,414,7,ALL,59.1
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,Public,JSS,,Grade II or Equivalent,Unqualified,237,4,ALL,59.2
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,Public,SSS,,BEd or Equivalent,Qualified,147,3,ALL,49.0
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,Public,SSS,,MEd or Equivalent,Qualified,245,5,ALL,49.0
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,Public,SSS,,NCE,Qualified,98,2,ALL,49.0
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,Public,JSS,,,Unqualified,425,7,ALL,60.7
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,Public,JSS,,NCE,Qualified,221,4,ALL,55.2
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,Public,SSS,,,Unqualified,341,6,ALL,56.8
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,Public,SSS,,Grade II or Equivalent,Unqualified,227,4,ALL,56.8
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,Public,SSS,,PGDE,Qualified,107,2,ALL,53.5
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Female,Private,JSS,,,Unqualified,140,3,ALL,46.7
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Female,Private,JSS,,MEd or Equivalent,Qualified,84,2,ALL,42.0
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Female,Private,JSS,,PGDE,Qualified,460,11,ALL,41.8
