session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability,pupil_teacher_ratio
2022/2023,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,Public,Adult & Non-Formal Education,,,Unqualified,16,1,ALL,39.0
2022/2023,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,10,1,ALL,24.0
2022/2023,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,38,2,ALL,31.0
2022/2023,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,Public,Adult & Non-Formal Education,,PGDE,Qualified,13,1,ALL,31.0
2022/2023,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,Public,JSS,,BEd or Equivalent,Qualified,110,3,ALL,44.8333
2022/2023,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,Public,JSS,,NCE,Qualified,136,4,ALL,47.7143
2022/2023,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,Public,JSS,,PGDE,Qualified,99,3,ALL,48.8
2022/2023,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,Public,Pre-Primary/Primary,Primary 1,,Unqualified,475,17,ALL,38.8333
2022/2023,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,Public,Pre-Primary/Primary,Primary 2,NCE,Qualified,386,13,ALL,39.4583
2022/2023,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,Public,Pre-Primary/Primary,Primary 3,NCE,Qualified,401,14,ALL,39.32
2022/2023,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,Public,Pre-Primary/Primary,Primary 4,PGDE,Qualified,356,12,ALL,39.7273
2022/2023,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,Public,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,326,12,ALL,38.1429
2022/2023,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,Public,Pre-Primary/Primary,Primary 6,NCE,Qualified,356,12,ALL,39.7273
2022/2023,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,Public,SSS,,BEd or Equivalent,Qualified,90,3,ALL,44.2
2022/2023,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,Public,SSS,,Grade II or Equivalent,Unqualified,117,4,ALL,41.0
