session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability,pupil_teacher_ratio
2022/2023,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Female,Public,JSS,,BEd or Equivalent,Qualified,870,10,ALL,41.4
2022/2023,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Female,Public,JSS,,PGDE,Qualified,1642,18,ALL,41.1053
2022/2023,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Female,Public,SSS,,,Unqualified,606,8,ALL,36.0
2022/2023,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Female,Public,SSS,,BEd or Equivalent,Qualified,572,7,ALL,38.8571
2022/2023,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Female,Public,SSS,,PGDE,Qualified,521,7,ALL,35.4286
2022/2023,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Male,Public,JSS,,BEd or Equivalent,Qualified,385,5,ALL,36.6
2022/2023,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Male,Public,JSS,,MEd or Equivalent,Qualified,559,7,ALL,38.0
2022/2023,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Male,Public,JSS,,NCE,Qualified,1444,16,ALL,40.4118
2022/2023,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Male,Public,SSS,,BEd or Equivalent,Qualified,1247,15,ALL,37.0625
2022/2023,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Male,Public,SSS,,PGDE,Qualified,540,7,ALL,36.7143
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,135,2,ALL,32.0
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,61,1,ALL,29.0
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Adult & Non-Formal Education,,NCE,Qualified,160,2,ALL,38.0
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Adult & Non-Formal Education,,PGDE,Qualified,74,1,ALL,35.0
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,JSS,,,Unqualified,368,4,ALL,43.75
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,JSS,,BEd or Equivalent,Qualified,946,11,ALL,40.9091
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,JSS,,Grade II or Equivalent,Unqualified,1257,14,ALL,39.8667
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Pre-Primary/Primary,Primary 1,BEd or Equivalent,Qualified,2679,36,ALL,34.4324
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Pre-Primary/Primary,Primary 2,NCE,Qualified,3116,41,ALL,34.4651
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Pre-Primary/Primary,Primary 3,Grade II or Equivalent,Unqualified,2386,32,ALL,34.3939
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Pre-Primary/Primary,Primary 4,PGDE,Qualified,2775,37,ALL,34.7368
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Pre-Primary/Primary,Primary 5,NCE,Qualified,2775,37,ALL,34.7368
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Pre-Primary/Primary,Primary 6,BEd or Equivalent,Qualified,2239,30,ALL,34.3548
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,SSS,,MEd or Equivalent,Qualified,538,7,ALL,36.5714
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,SSS,,PGDE,Qualified,1144,13,ALL,38.8571
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,231,4,ALL,27.5
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,Adult & Non-Formal Education,,NCE,Qualified,271,4,ALL,32.25
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,Adult & Non-Formal Education,,PGDE,Qualified,78,1,ALL,37.0
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,JSS,,,Unqualified,809,10,ALL,38.5
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,JSS,,PGDE,Qualified,1423,16,ALL,39.8235
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,Pre-Primary/Primary,Primary 1,BEd or Equivalent,Qualified,2931,39,ALL,34.0
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,3036,40,ALL,34.381
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,Pre-Primary/Primary,Primary 3,PGDE,Qualified,2344,31,ALL,34.8438
2022/2023,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,Pre-Primary/Primary,Primary 4,NCE,Qualified,3036,40,ALL,34.381
