session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability,pupil_teacher_ratio
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Public,Adult & Non-Formal Education,,,Unqualified,58,1,ALL,25.0
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,134,3,ALL,28.75
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,108,2,ALL,31.0
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Public,Adult & Non-Formal Education,,PGDE,Qualified,50,1,ALL,43.0
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Public,JSS,,BEd or Equivalent,Qualified,1109,15,ALL,47.65
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Public,JSS,,NCE,Qualified,614,8,ALL,48.0
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Public,Pre-Primary/Primary,Primary 1,NCE,Qualified,1981,31,ALL,40.5476
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Public,Pre-Primary/Primary,Primary 2,Grade II or Equivalent,Unqualified,2165,34,ALL,40.4565
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Public,Pre-Primary/Primary,Primary 3,Grade II or Equivalent,Unqualified,1799,28,ALL,40.6842
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,Public,Pre-Primary/Primary,Primary 4,PGDE,Qualified,1395,22,ALL,39.9667
