session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability,pupil_teacher_ratio
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,Public,JSS,,BEd or Equivalent,Qualified,93,2,ALL,46.5
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,Public,JSS,,Grade II or Equivalent,Unqualified,118,2,ALL,59.0
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,Public,JSS,,PGDE,Qualified,106,2,ALL,53.0
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,Public,SSS,,BEd or Equivalent,Qualified,63,1,ALL,63.0
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,Public,SSS,,Grade II or Equivalent,Unqualified,33,1,ALL,33.0
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,Public,SSS,,MEd or Equivalent,Qualified,69,1,ALL,69.0
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Female,Public,SSS,,NCE,Qualified,46,1,ALL,46.0
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Male,Public,JSS,,,Unqualified,88,1,ALL,88.0
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Male,Public,JSS,,NCE,Qualified,80,2,ALL,40.0
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Male,Public,JSS,,PGDE,Qualified,116,2,ALL,58.0
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Male,Public,SSS,,BEd or Equivalent,Qualified,73,2,ALL,36.5
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Male,Public,SSS,,MEd or Equivalent,Qualified,73,2,ALL,36.5
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Community Secondary School, Abogunde/Sagba",Male,Public,SSS,,PGDE,Qualified,77,2,ALL,38.5
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Comprehensive High School, Abogunde/Sagba",Female,Private,Adult & Non-Formal Education,,,Unqualified,13,1,ALL,13.0
2022/2023,South West,Osun,Ede North,Abogunde/Sagba,"Comprehensive High School, Abogunde/Sagba",Female,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,11,1,ALL,11.0
