session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability,pupil_teacher_ratio
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,136,3,ALL,23.0
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,84,1,ALL,28.5
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,68,1,ALL,23.0
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,Public,Adult & Non-Formal Education,,PGDE,Qualified,136,3,ALL,23.0
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,Public,JSS,,BEd or Equivalent,Qualified,646,8,ALL,33.6154
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,Public,JSS,,Grade II or Equivalent,Unqualified,310,4,ALL,35.0
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,Public,JSS,,NCE,Qualified,259,3,ALL,35.0
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,Public,JSS,,PGDE,Qualified,619,8,ALL,32.2308
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,Public,Pre-Primary/Primary,Primary 1,BEd or Equivalent,Qualified,1973,30,ALL,28.4043
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,Public,Pre-Primary/Primary,Primary 2,MEd or Equivalent,Qualified,2265,34,ALL,28.3889
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,Public,Pre-Primary/Primary,Primary 3,PGDE,Qualified,2119,33,ALL,28.1176
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,Public,Pre-Primary/Primary,Primary 4,PGDE,Qualified,2119,33,ALL,28.1176
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,Public,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,1754,27,ALL,28.2619
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,Public,Pre-Primary/Primary,Primary 6,NCE,Qualified,1973,30,ALL,28.4043
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,Public,SSS,,BEd or Equivalent,Qualified,380,5,ALL,32.125
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,Public,SSS,,MEd or Equivalent,Qualified,423,6,ALL,31.7778
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,Public,SSS,,PGDE,Qualified,380,5,ALL,32.125
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Public,Adult & Non-Formal Education,,,Unqualified,108,2,ALL,24.3333
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,81,1,ALL,27.5
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,81,1,ALL,27.5
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Public,Adult & Non-Formal Education,,NCE,Qualified,108,2,ALL,24.3333
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Public,Adult & Non-Formal Education,,PGDE,Qualified,216,4,ALL,24.3333
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Public,JSS,,,Unqualified,256,3,ALL,34.6
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Public,JSS,,Grade II or Equivalent,Unqualified,590,8,ALL,33.25
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Public,JSS,,NCE,Qualified,897,12,ALL,31.9474
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Public,Pre-Primary/Primary,Primary 1,PGDE,Qualified,2054,31,ALL,28.3673
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Public,Pre-Primary/Primary,Primary 2,PGDE,Qualified,2054,31,ALL,28.3673
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Public,Pre-Primary/Primary,Primary 3,,Unqualified,2212,34,ALL,28.2453
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Public,Pre-Primary/Primary,Primary 4,BEd or Equivalent,Qualified,1738,27,ALL,28.0
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Public,Pre-Primary/Primary,Primary 5,Grade II or Equivalent,Unqualified,1580,24,ALL,28.1316
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Public,Pre-Primary/Primary,Primary 6,NCE,Qualified,2212,34,ALL,28.2453
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Public,SSS,,Grade II or Equivalent,Unqualified,398,6,ALL,29.8889
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Public,SSS,,NCE,Qualified,374,5,ALL,31.625
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Public,SSS,,PGDE,Qualified,398,6,ALL,29.8889
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,Private,JSS,,Grade II or Equivalent,Unqualified,155,2,ALL,35.0
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,Private,JSS,,MEd or Equivalent,Qualified,207,3,ALL,35.0
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,Private,JSS,,NCE,Qualified,207,3,ALL,35.0
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,Private,JSS,,PGDE,Qualified,671,9,ALL,32.4286
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,Private,SSS,,,Unqualified,359,5,ALL,30.375
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,Private,SSS,,MEd or Equivalent,Qualified,275,4,ALL,31.0
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,Private,SSS,,PGDE,Qualified,275,4,ALL,31.0
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,Private,JSS,,BEd or Equivalent,Qualified,333,4,ALL,32.1429
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,Private,JSS,,MEd or Equivalent,Qualified,384,5,ALL,32.5
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,Private,JSS,,PGDE,Qualified,359,4,ALL,34.7143
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,Private,SSS,,BEd or Equivalent,Qualified,607,8,ALL,31.6154
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,Private,SSS,,NCE,Qualified,304,4,ALL,29.4286
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,Public,JSS,,BEd or Equivalent,Qualified,1419,19,ALL,32.0
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,Public,JSS,,NCE,Qualified,646,8,ALL,33.6154
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,Public,SSS,,BEd or Equivalent,Qualified,191,3,ALL,32.25
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,Public,SSS,,Grade II or Equivalent,Unqualified,570,8,ALL,29.6923
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,Public,SSS,,MEd or Equivalent,Qualified,718,10,ALL,30.375
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,Public,JSS,,BEd or Equivalent,Qualified,513,7,ALL,31.5455
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,Public,JSS,,NCE,Qualified,692,9,ALL,33.4286
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,Public,JSS,,PGDE,Qualified,590,8,ALL,33.25
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,Public,SSS,,,Unqualified,724,10,ALL,30.625
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,Public,SSS,,Grade II or Equivalent,Unqualified,491,7,ALL,30.1818
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,Public,SSS,,PGDE,Qualified,257,4,ALL,29.0
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,168,3,ALL,28.5
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,253,4,ALL,28.5
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,151,2,ALL,34.0
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Public,Adult & Non-Formal Education,,PGDE,Qualified,68,1,ALL,23.0
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Public,JSS,,BEd or Equivalent,Qualified,516,7,ALL,31.7273
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Public,JSS,,NCE,Qualified,567,8,ALL,32.0
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Public,JSS,,PGDE,Qualified,646,8,ALL,33.6154
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Public,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,3214,49,ALL,28.2468
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Public,Pre-Primary/Primary,,NCE,Qualified,2996,46,ALL,28.1528
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Public,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,2192,34,ALL,27.9811
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Public,Pre-Primary/Primary,Primary 2,Grade II or Equivalent,Unqualified,1900,29,ALL,27.9565
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Public,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,2630,40,ALL,28.254
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Public,Pre-Primary/Primary,Primary 4,BEd or Equivalent,Qualified,2192,34,ALL,27.9811
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Public,Pre-Primary/Primary,Primary 5,PGDE,Qualified,2119,33,ALL,28.1176
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Public,Pre-Primary/Primary,Primary 6,NCE,Qualified,1680,26,ALL,28.425
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Public,SSS,,BEd or Equivalent,Qualified,528,8,ALL,29.75
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Public,SSS,,NCE,Qualified,570,8,ALL,32.1667
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,Adult & Non-Formal Education,,,Unqualified,81,1,ALL,27.5
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,297,5,ALL,25.125
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,81,1,ALL,27.5
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,Adult & Non-Formal Education,,NCE,Qualified,242,4,ALL,23.4286
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,Adult & Non-Formal Education,,PGDE,Qualified,216,4,ALL,24.3333
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,JSS,,Grade II or Equivalent,Unqualified,488,6,ALL,33.0
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,JSS,,NCE,Qualified,565,8,ALL,31.8333
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,JSS,,PGDE,Qualified,590,8,ALL,33.25
