session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability,pupil_teacher_ratio
2022/2023,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,Public,JSS,,BEd or Equivalent,Qualified,1025,14,ALL,73.2143
2022/2023,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,Public,JSS,,MEd or Equivalent,Qualified,211,3,ALL,70.3333
2022/2023,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,Public,JSS,,PGDE,Qualified,102,1,ALL,102.0
2022/2023,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,Public,SSS,,BEd or Equivalent,Qualified,316,4,ALL,79.0
2022/2023,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,Public,SSS,,NCE,Qualified,399,5,ALL,79.8
2022/2023,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,Public,SSS,,PGDE,Qualified,344,5,ALL,68.8
2022/2023,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,Public,JSS,,NCE,Qualified,798,10,ALL,79.8
2022/2023,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,Public,JSS,,PGDE,Qualified,391,5,ALL,78.2
2022/2023,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,Public,SSS,,BEd or Equivalent,Qualified,331,4,ALL,82.75
2022/2023,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,Public,SSS,,NCE,Qualified,198,2,ALL,99.0
2022/2023,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,Public,SSS,,PGDE,Qualified,530,6,ALL,88.3333
2022/2023,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Adult & Non-Formal Education,,,Unqualified,24,1,ALL,24.0
2022/2023,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,65,3,ALL,21.6667
2022/2023,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,15,1,ALL,15.0
2022/2023,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,45,2,ALL,22.5
2022/2023,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Adult & Non-Formal Education,,NCE,Qualified,39,2,ALL,19.5
2022/2023,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Adult & Non-Formal Education,,PGDE,Qualified,10,1,ALL,10.0
2022/2023,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,JSS,,BEd or Equivalent,Qualified,102,2,ALL,51.0
