session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability,pupil_teacher_ratio
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,Public,Adult & Non-Formal Education,,,Unqualified,44,2,ALL,22.0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,135,5,ALL,27.0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,44,2,ALL,22.0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,46,2,ALL,23.0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,Public,JSS,,BEd or Equivalent,Qualified,907,12,ALL,75.5833
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,Public,JSS,,Grade II or Equivalent,Unqualified,587,7,ALL,83.8571
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,Public,Pre-Primary/Primary,Primary 1,NCE,Qualified,1339,17,ALL,78.7647
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,Public,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,1606,20,ALL,80.3
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,Public,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,1071,14,ALL,76.5
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,Public,Pre-Primary/Primary,Primary 4,Grade II or Equivalent,Unqualified,1301,14,ALL,92.9286
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,Public,Pre-Primary/Primary,Primary 5,,Unqualified,1147,13,ALL,88.2308
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,Public,Pre-Primary/Primary,Primary 6,BEd or Equivalent,Qualified,1186,15,ALL,79.0667
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,Public,SSS,,BEd or Equivalent,Qualified,370,5,ALL,74.0
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,Public,SSS,,MEd or Equivalent,Qualified,337,4,ALL,84.25
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,Public,SSS,,NCE,Qualified,421,5,ALL,84.2
2022/2023,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,184,7,ALL,26.2857
