session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability,pupil_teacher_ratio
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,69,1,ALL,69.0
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,139,2,ALL,69.5
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,69,1,ALL,69.0
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,138,2,ALL,69.0
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,Public,JSS,,,Unqualified,228,3,ALL,76.0
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,Public,JSS,,Grade II or Equivalent,Unqualified,152,2,ALL,76.0
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,Public,JSS,,MEd or Equivalent,Qualified,217,3,ALL,72.3
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,Public,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,760,10,ALL,76.0
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,Public,Pre-Primary/Primary,Primary 2,MEd or Equivalent,Qualified,684,9,ALL,76.0
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,Public,Pre-Primary/Primary,Primary 3,NCE,Qualified,608,8,ALL,76.0
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,Public,Pre-Primary/Primary,Primary 4,Grade II or Equivalent,Unqualified,760,10,ALL,76.0
