session,gender,disability,school_type,school_level,class_grade,qualification_group,qualification_status,loc_level,loc_label,zone,state,lga,ward,school,student_count,teacher_count,pupil_teacher_ratio
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Qualified,Qualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,13123,250,52.5
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Qualified,Qualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,959,17,56.4
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Unqualified,Unqualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,5082,94,54.1
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Unqualified,Unqualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,282,5,56.4
2024/2025,Female,ALL,Public,JSS,,Qualified,Qualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,2756,58,47.5
2024/2025,Female,Disabled,Public,JSS,,Qualified,Qualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,161,4,40.2
2024/2025,Female,ALL,Public,JSS,,Unqualified,Unqualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,1366,26,52.5
2024/2025,Female,Disabled,Public,JSS,,Unqualified,Unqualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,101,2,50.5
2024/2025,Female,ALL,Public,SSS,,Qualified,Qualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,3034,73,41.6
2024/2025,Female,Disabled,Public,SSS,,Qualified,Qualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,152,3,50.7
2024/2025,Female,ALL,Public,SSS,,Unqualified,Unqualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,1103,22,50.1
2024/2025,Female,Disabled,Public,SSS,,Unqualified,Unqualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,76,1,76.0
2024/2025,Female,ALL,Public,Adult & Non-Formal Education,,Qualified,Qualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,601,15,40.1
2024/2025,Female,Disabled,Public,Adult & Non-Formal Education,,Qualified,Qualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,38,1,38.0
2024/2025,Female,ALL,Public,Adult & Non-Formal Education,,Unqualified,Unqualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,275,6,45.8
2024/2025,Female,Disabled,Public,Adult & Non-Formal Education,,Unqualified,Unqualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,0,0
2024/2025,Female,ALL,Public,Vocational,,Qualified,Qualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,343,9,38.1
2024/2025,Female,Disabled,Public,Vocational,,Qualified,Qualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,32,1,32.0
2024/2025,Female,ALL,Public,Vocational,,Unqualified,Unqualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,142,3,47.3
2024/2025,Female,Disabled,Public,Vocational,,Unqualified,Unqualified,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,7,1,7.0
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Qualified,Qualified,ward,Garki,North Central,Abuja Federal Capital Territory,Municipal Area Council,Garki,,5574,110,50.7
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Qualified,Qualified,ward,Garki,North Central,Abuja Federal Capital Territory,Municipal Area Council,Garki,,384,7,54.9
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Unqualified,Unqualified,ward,Garki,North Central,Abuja Federal Capital Territory,Municipal Area Council,Garki,,3138,58,54.1
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Unqualified,Unqualified,ward,Garki,North Central,Abuja Federal Capital Territory,Municipal Area Council,Garki,,213,4,53.2
2024/2025,Female,ALL,Public,JSS,,Qualified,Qualified,ward,Garki,North Central,Abuja Federal Capital Territory,Municipal Area Council,Garki,,1959,40,49.0
2024/2025,Female,Disabled,Public,JSS,,Qualified,Qualified,ward,Garki,North Central,Abuja Federal Capital Territory,Municipal Area Council,Garki,,112,2,56.0
2024/2025,Female,ALL,Public,JSS,,Unqualified,Unqualified,ward,Garki,North Central,Abuja Federal Capital Territory,Municipal Area Council,Garki,,988,18,54.9
