session,gender,disability,school_type,school_level,class_grade,qualification_group,qualification_status,loc_level,loc_label,zone,state,lga,ward,school,student_count,teacher_count,pupil_teacher_ratio
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Qualified,Qualified,ward,Agu,South South,Delta,Oshimili South,Agu,,9506,166,57.3
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Qualified,Qualified,ward,Agu,South South,Delta,Oshimili South,Agu,,623,10,62.3
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Unqualified,Unqualified,ward,Agu,South South,Delta,Oshimili South,Agu,,3783,65,58.2
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Unqualified,Unqualified,ward,Agu,South South,Delta,Oshimili South,Agu,,301,5,60.2
2024/2025,Female,ALL,Public,JSS,,Qualified,Qualified,ward,Agu,South South,Delta,Oshimili South,Agu,,4699,85,55.3
2024/2025,Female,Disabled,Public,JSS,,Qualified,Qualified,ward,Agu,South South,Delta,Oshimili South,Agu,,304,5,60.8
2024/2025,Female,ALL,Public,JSS,,Unqualified,Unqualified,ward,Agu,South South,Delta,Oshimili South,Agu,,1241,21,59.1
2024/2025,Female,Disabled,Public,JSS,,Unqualified,Unqualified,ward,Agu,South South,Delta,Oshimili South,Agu,,102,2,51.0
2024/2025,Female,ALL,Public,SSS,,Qualified,Qualified,ward,Agu,South South,Delta,Oshimili South,Agu,,3578,71,50.4
2024/2025,Female,Disabled,Public,SSS,,Qualified,Qualified,ward,Agu,South South,Delta,Oshimili South,Agu,,262,5,52.4
2024/2025,Female,ALL,Public,SSS,,Unqualified,Unqualified,ward,Agu,South South,Delta,Oshimili South,Agu,,1545,27,57.2
2024/2025,Female,Disabled,Public,SSS,,Unqualified,Unqualified,ward,Agu,South South,Delta,Oshimili South,Agu,,129,2,64.5
2024/2025,Female,ALL,Public,Adult & Non-Formal Education,,Qualified,Qualified,ward,Agu,South South,Delta,Oshimili South,Agu,,675,15,45.0
2024/2025,Female,Disabled,Public,Adult & Non-Formal Education,,Qualified,Qualified,ward,Agu,South South,Delta,Oshimili South,Agu,,0,0,0
2024/2025,Female,ALL,Public,Adult & Non-Formal Education,,Unqualified,Unqualified,ward,Agu,South South,Delta,Oshimili South,Agu,,387,8,48.4
2024/2025,Female,Disabled,Public,Adult & Non-Formal Education,,Unqualified,Unqualified,ward,Agu,South South,Delta,Oshimili South,Agu,,30,1,30.0
2024/2025,Female,ALL,Public,Vocational,,Qualified,Qualified,ward,Agu,South South,Delta,Oshimili South,Agu,,383,9,42.6
2024/2025,Female,Disabled,Public,Vocational,,Qualified,Qualified,ward,Agu,South South,Delta,Oshimili South,Agu,,0,0,0
2024/2025,Female,ALL,Public,Vocational,,Unqualified,Unqualified,ward,Agu,South South,Delta,Oshimili South,Agu,,104,2,52.0
2024/2025,Female,Disabled,Public,Vocational,,Unqualified,Unqualified,ward,Agu,South South,Delta,Oshimili South,Agu,,17,1,17.0
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Qualified,Qualified,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,13538,252,53.7
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Qualified,Qualified,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,964,17,56.7
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Unqualified,Unqualified,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,5994,99,60.5
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Unqualified,Unqualified,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,436,7,62.3
2024/2025,Female,ALL,Public,JSS,,Qualified,Qualified,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,5685,104,54.7
2024/2025,Female,Disabled,Public,JSS,,Qualified,Qualified,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,417,7,59.6
2024/2025,Female,ALL,Public,JSS,,Unqualified,Unqualified,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,1435,24,59.8
2024/2025,Female,Disabled,Public,JSS,,Unqualified,Unqualified,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,103,2,51.5
2024/2025,Female,ALL,Public,SSS,,Qualified,Qualified,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,4023,81,49.7
2024/2025,Female,Disabled,Public,SSS,,Qualified,Qualified,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,260,5,52.0
2024/2025,Female,ALL,Public,SSS,,Unqualified,Unqualified,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,1454,27,53.9
2024/2025,Female,Disabled,Public,SSS,,Unqualified,Unqualified,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,121,2,60.5
2024/2025,Female,ALL,Public,Adult & Non-Formal Education,,Qualified,Qualified,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,811,17,47.7
2024/2025,Female,Disabled,Public,Adult & Non-Formal Education,,Qualified,Qualified,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,83,2,41.5
