session,gender,disability,school_type,school_level,class_grade,qualification_group,qualification_status,loc_level,loc_label,zone,state,lga,ward,school,student_count,teacher_count,pupil_teacher_ratio
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,,Unqualified,ward,Atuku,North West,Kaduna,Jema'a,Atuku,,160,2,38.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,,Unqualified,ward,Bedde,North West,Kaduna,Jema'a,Bedde,,74,1,35.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,,Unqualified,ward,Badarawa,North West,Kaduna,Kaduna North,Badarawa,,74,1,35.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,,Unqualified,ward,Gabasawa,North West,Kaduna,Kaduna North,Gabasawa,,74,1,35.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,,Unqualified,ward,Barnawa,North West,Kaduna,Kaduna South,Barnawa,,74,1,35.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,,Unqualified,ward,Gamagira,North West,Kaduna,Soba,Gamagira,,61,1,29.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,,Unqualified,ward,Garun Gwanki,North West,Kaduna,Soba,Garun Gwanki,,160,2,38.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,,Unqualified,ward,Dutsen Abba,North West,Kaduna,Zaria,Dutsen Abba,,86,2,20.5
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,,Unqualified,ward,Gyallesu,North West,Kaduna,Zaria,Gyallesu,,158,3,25.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Asso,North West,Kaduna,Jema'a,Asso,,135,2,32.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Atuku,North West,Kaduna,Jema'a,Atuku,,137,3,21.6667
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Bedde,North West,Kaduna,Jema'a,Bedde,,160,2,38.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Badarawa,North West,Kaduna,Kaduna North,Badarawa,,86,1,41.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Gabasawa,North West,Kaduna,Kaduna North,Gabasawa,,135,2,32.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Gaji,North West,Kaduna,Kaduna North,Gaji,,61,1,29.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Badiko,North West,Kaduna,Kaduna South,Badiko,,208,3,33.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Barnawa,North West,Kaduna,Kaduna South,Barnawa,,147,2,35.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Dan Wata,North West,Kaduna,Soba,Dan Wata,,183,3,29.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Gamagira,North West,Kaduna,Soba,Gamagira,,74,1,35.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Garun Gwanki,North West,Kaduna,Soba,Garun Gwanki,,135,2,32.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Dutsen Abba,North West,Kaduna,Zaria,Dutsen Abba,,196,3,31.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,ward,Gyallesu,North West,Kaduna,Zaria,Gyallesu,,97,2,23.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Asso,North West,Kaduna,Jema'a,Asso,,61,1,29.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Atuku,North West,Kaduna,Jema'a,Atuku,,160,2,38.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Gabasawa,North West,Kaduna,Kaduna North,Gabasawa,,135,2,32.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Gaji,North West,Kaduna,Kaduna North,Gaji,,183,3,29.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Badiko,North West,Kaduna,Kaduna South,Badiko,,74,1,35.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Dan Wata,North West,Kaduna,Soba,Dan Wata,,135,2,32.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Gamagira,North West,Kaduna,Soba,Gamagira,,246,6,19.5
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Garun Gwanki,North West,Kaduna,Soba,Garun Gwanki,,160,2,38.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Dutsen Abba,North West,Kaduna,Zaria,Dutsen Abba,,99,2,23.5
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,ward,Gyallesu,North West,Kaduna,Zaria,Gyallesu,,38,2,9.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,ward,Bedde,North West,Kaduna,Jema'a,Bedde,,74,1,35.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,ward,Barnawa,North West,Kaduna,Kaduna South,Barnawa,,74,1,35.0
2022/2023,Female,ALL,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,ward,Gamagira,North West,Kaduna,Soba,Gamagira,,25,1,12.0
