session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,WAEC,University,lga,Maiduguri,North East,Borno,Maiduguri,,,777,2331,1687,707,649,36,0,644,980,58,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Maiduguri,North East,Borno,Maiduguri,,,353,1059,767,321,295,16,0,292,446,26,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Maiduguri,North East,Borno,Maiduguri,,,283,848,613,257,236,13,0,235,356,21,1.8
2022/2023,Female,ALL,NECO,University,lga,Maiduguri,North East,Borno,Maiduguri,,,364,1090,789,330,304,17,0,301,459,26,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Maiduguri,North East,Borno,Maiduguri,,,165,496,359,150,138,8,0,137,209,12,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Maiduguri,North East,Borno,Maiduguri,,,132,396,287,120,110,6,0,109,167,10,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Maiduguri,North East,Borno,Maiduguri,,,113,338,245,103,94,5,0,93,142,9,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Maiduguri,North East,Borno,Maiduguri,,,51,154,111,47,43,2,0,43,64,4,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Maiduguri,North East,Borno,Maiduguri,,,41,123,89,37,34,2,0,34,52,3,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Maiduguri,North East,Borno,Maiduguri,,,51,151,110,46,42,2,0,41,64,4,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Maiduguri,North East,Borno,Maiduguri,,,23,69,50,21,19,1,0,19,29,2,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Maiduguri,North East,Borno,Maiduguri,,,18,55,40,17,15,1,0,15,23,2,1.8
2022/2023,Female,Disabled,NECO,University,lga,Maiduguri,North East,Borno,Maiduguri,,,24,71,51,21,20,1,0,20,30,1,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Maiduguri,North East,Borno,Maiduguri,,,11,32,23,10,9,0,0,9,13,1,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Maiduguri,North East,Borno,Maiduguri,,,9,26,19,8,7,0,0,7,11,1,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Maiduguri,North East,Borno,Maiduguri,,,7,22,16,7,6,0,0,6,9,1,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Maiduguri,North East,Borno,Maiduguri,,,3,10,7,3,3,0,0,3,4,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Maiduguri,North East,Borno,Maiduguri,,,3,8,6,2,2,0,0,2,4,0,1.8
2022/2023,Female,ALL,WAEC,University,lga,Jere,North East,Borno,Jere,,,685,2056,1487,623,573,32,0,569,864,50,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Jere,North East,Borno,Jere,,,311,934,676,283,260,14,0,258,393,23,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Jere,North East,Borno,Jere,,,249,747,541,227,208,11,0,206,314,19,1.8
2022/2023,Female,ALL,NECO,University,lga,Jere,North East,Borno,Jere,,,320,961,696,291,268,15,0,265,405,23,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Jere,North East,Borno,Jere,,,146,437,316,132,122,7,0,121,184,10,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Jere,North East,Borno,Jere,,,117,350,253,106,97,5,0,97,147,9,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Jere,North East,Borno,Jere,,,99,298,216,90,83,5,0,82,126,7,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Jere,North East,Borno,Jere,,,45,136,98,41,38,2,0,38,57,3,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Jere,North East,Borno,Jere,,,36,109,79,33,30,2,0,30,46,3,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Jere,North East,Borno,Jere,,,45,134,97,40,37,2,0,37,57,3,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Jere,North East,Borno,Jere,,,20,61,44,18,17,1,0,17,26,1,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Jere,North East,Borno,Jere,,,16,49,35,15,14,1,0,14,20,1,1.8
2022/2023,Female,Disabled,NECO,University,lga,Jere,North East,Borno,Jere,,,21,62,45,19,17,1,0,17,26,2,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Jere,North East,Borno,Jere,,,9,28,21,9,8,0,0,7,12,1,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Jere,North East,Borno,Jere,,,8,23,16,7,6,0,0,7,9,1,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Jere,North East,Borno,Jere,,,6,19,14,6,5,0,0,5,8,1,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Jere,North East,Borno,Jere,,,3,9,6,3,2,0,0,3,3,1,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Jere,North East,Borno,Jere,,,2,7,5,2,2,0,0,2,3,0,1.8
2022/2023,Female,ALL,WAEC,University,lga,Biu,North East,Borno,Biu,,,799,2398,1735,727,668,37,0,663,1008,59,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Biu,North East,Borno,Biu,,,363,1090,788,330,303,17,0,302,458,27,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Biu,North East,Borno,Biu,,,291,872,631,264,243,13,0,241,367,21,1.8
2022/2023,Female,ALL,NECO,University,lga,Biu,North East,Borno,Biu,,,374,1121,811,340,312,17,0,310,471,28,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Biu,North East,Borno,Biu,,,170,510,369,154,142,8,0,141,215,12,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Biu,North East,Borno,Biu,,,136,408,295,124,114,6,0,113,171,10,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Biu,North East,Borno,Biu,,,116,348,252,105,97,5,0,96,147,8,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Biu,North East,Borno,Biu,,,53,158,114,48,44,2,0,44,66,4,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Biu,North East,Borno,Biu,,,42,127,92,38,35,2,0,35,54,3,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Biu,North East,Borno,Biu,,,52,156,113,47,43,2,0,43,66,4,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Biu,North East,Borno,Biu,,,24,71,51,21,20,1,0,20,30,1,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Biu,North East,Borno,Biu,,,19,57,41,17,16,1,0,16,24,1,1.8
2022/2023,Female,Disabled,NECO,University,lga,Biu,North East,Borno,Biu,,,24,73,53,22,20,1,0,20,31,2,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Biu,North East,Borno,Biu,,,11,33,24,10,9,0,0,9,14,1,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Biu,North East,Borno,Biu,,,9,27,19,8,7,0,0,8,11,1,1.8
