session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,WAEC,University,lga,Aninri,South East,Enugu,Aninri,,,116,349,252,106,97,5,0,97,146,9,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Aninri,South East,Enugu,Aninri,,,53,159,115,48,44,2,0,44,67,4,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Aninri,South East,Enugu,Aninri,,,42,127,92,38,35,2,0,35,54,3,1.8
2022/2023,Female,ALL,NECO,University,lga,Aninri,South East,Enugu,Aninri,,,54,163,118,49,45,2,0,45,69,4,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Aninri,South East,Enugu,Aninri,,,25,74,54,22,21,1,0,20,32,1,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Aninri,South East,Enugu,Aninri,,,20,59,43,18,17,1,0,16,25,1,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Aninri,South East,Enugu,Aninri,,,17,51,37,15,14,1,0,14,22,1,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Aninri,South East,Enugu,Aninri,,,8,23,17,7,6,0,0,6,10,1,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Aninri,South East,Enugu,Aninri,,,6,18,13,6,5,0,0,5,7,1,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Aninri,South East,Enugu,Aninri,,,8,23,16,7,6,0,0,7,9,1,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Aninri,South East,Enugu,Aninri,,,3,10,7,3,3,0,0,3,4,0,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Aninri,South East,Enugu,Aninri,,,3,8,6,2,2,0,0,2,4,0,1.8
2022/2023,Female,Disabled,NECO,University,lga,Aninri,South East,Enugu,Aninri,,,4,11,8,3,3,0,0,3,5,0,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Aninri,South East,Enugu,Aninri,,,2,5,3,1,1,0,0,2,2,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Aninri,South East,Enugu,Aninri,,,1,4,3,1,1,0,0,1,2,0,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Aninri,South East,Enugu,Aninri,,,1,3,2,1,1,0,0,1,1,0,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Aninri,South East,Enugu,Aninri,,,0,1,1,0,0,0,0,0,1,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Aninri,South East,Enugu,Aninri,,,0,1,1,0,0,0,0,0,1,0,1.8
2022/2023,Female,ALL,WAEC,University,lga,Awgu,South East,Enugu,Awgu,,,368,1103,798,334,307,17,0,305,464,27,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Awgu,South East,Enugu,Awgu,,,167,501,363,152,140,8,0,138,211,12,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Awgu,South East,Enugu,Awgu,,,134,401,290,122,112,6,0,111,168,10,1.8
2022/2023,Female,ALL,NECO,University,lga,Awgu,South East,Enugu,Awgu,,,172,516,373,156,144,8,0,143,217,12,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Awgu,South East,Enugu,Awgu,,,78,235,170,71,65,4,0,65,99,6,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Awgu,South East,Enugu,Awgu,,,63,188,136,57,52,3,0,52,79,5,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Awgu,South East,Enugu,Awgu,,,53,160,116,49,45,2,0,44,67,4,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Awgu,South East,Enugu,Awgu,,,24,73,53,22,20,1,0,20,31,2,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Awgu,South East,Enugu,Awgu,,,19,58,42,18,16,1,0,16,24,2,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Awgu,South East,Enugu,Awgu,,,24,72,52,22,20,1,0,20,30,2,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Awgu,South East,Enugu,Awgu,,,11,33,24,10,9,0,0,9,14,1,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Awgu,South East,Enugu,Awgu,,,9,26,19,8,7,0,0,7,11,1,1.8
2022/2023,Female,Disabled,NECO,University,lga,Awgu,South East,Enugu,Awgu,,,11,34,24,10,9,0,0,10,14,1,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Awgu,South East,Enugu,Awgu,,,5,15,11,5,4,0,0,4,6,1,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Awgu,South East,Enugu,Awgu,,,4,12,9,4,3,0,0,3,5,1,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Awgu,South East,Enugu,Awgu,,,3,10,8,3,3,0,0,2,5,0,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Awgu,South East,Enugu,Awgu,,,2,5,3,1,1,0,0,2,2,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Awgu,South East,Enugu,Awgu,,,1,4,3,1,1,0,0,1,2,0,1.8
2022/2023,Female,ALL,WAEC,University,lga,Enugu East,South East,Enugu,Enugu East,,,79,236,170,72,66,4,0,66,98,6,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Enugu East,South East,Enugu,Enugu East,,,36,107,78,33,30,2,0,29,45,3,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Enugu East,South East,Enugu,Enugu East,,,29,86,62,26,24,1,0,24,36,2,1.8
2022/2023,Female,ALL,NECO,University,lga,Enugu East,South East,Enugu,Enugu East,,,37,110,80,33,31,2,0,30,47,2,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Enugu East,South East,Enugu,Enugu East,,,17,50,36,15,14,1,0,14,21,1,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Enugu East,South East,Enugu,Enugu East,,,13,40,29,12,11,1,0,11,17,1,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Enugu East,South East,Enugu,Enugu East,,,11,34,25,10,10,1,0,9,15,0,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Enugu East,South East,Enugu,Enugu East,,,5,16,11,5,4,0,0,5,6,1,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Enugu East,South East,Enugu,Enugu East,,,4,12,9,4,3,0,0,3,5,1,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Enugu East,South East,Enugu,Enugu East,,,5,15,11,5,4,0,0,4,6,1,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Enugu East,South East,Enugu,Enugu East,,,2,7,5,2,2,0,0,2,3,0,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Enugu East,South East,Enugu,Enugu East,,,2,6,4,2,2,0,0,2,2,0,1.8
2022/2023,Female,Disabled,NECO,University,lga,Enugu East,South East,Enugu,Enugu East,,,2,7,5,2,2,0,0,2,3,0,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Enugu East,South East,Enugu,Enugu East,,,1,3,2,1,1,0,0,1,1,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Enugu East,South East,Enugu,Enugu East,,,1,3,2,1,1,0,0,1,1,0,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Enugu East,South East,Enugu,Enugu East,,,1,2,2,1,1,0,0,0,1,0,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Enugu East,South East,Enugu,Enugu East,,,0,1,1,0,0,0,0,0,1,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Enugu East,South East,Enugu,Enugu East,,,0,1,1,0,0,0,0,0,1,0,1.8
2022/2023,Female,ALL,WAEC,University,lga,Enugu North,South East,Enugu,Enugu North,,,141,422,306,128,118,6,0,116,178,10,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Enugu North,South East,Enugu,Enugu North,,,64,192,139,58,53,3,0,53,81,5,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Enugu North,South East,Enugu,Enugu North,,,51,154,111,47,43,2,0,43,64,4,1.8
2022/2023,Female,ALL,NECO,University,lga,Enugu North,South East,Enugu,Enugu North,,,66,198,143,60,55,3,0,55,83,5,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Enugu North,South East,Enugu,Enugu North,,,30,90,65,27,25,1,0,25,38,2,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Enugu North,South East,Enugu,Enugu North,,,24,72,52,22,20,1,0,20,30,2,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Enugu North,South East,Enugu,Enugu North,,,20,61,44,19,17,1,0,17,25,2,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Enugu North,South East,Enugu,Enugu North,,,9,28,20,8,8,0,0,8,12,0,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Enugu North,South East,Enugu,Enugu North,,,7,22,16,7,6,0,0,6,9,1,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Enugu North,South East,Enugu,Enugu North,,,9,27,20,8,8,0,0,7,12,0,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Enugu North,South East,Enugu,Enugu North,,,4,12,9,4,3,0,0,3,5,1,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Enugu North,South East,Enugu,Enugu North,,,3,10,7,3,3,0,0,3,4,0,1.8
2022/2023,Female,Disabled,NECO,University,lga,Enugu North,South East,Enugu,Enugu North,,,4,13,9,4,4,0,0,4,5,0,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Enugu North,South East,Enugu,Enugu North,,,2,6,4,2,2,0,0,2,2,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Enugu North,South East,Enugu,Enugu North,,,2,5,3,1,1,0,0,2,2,0,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Enugu North,South East,Enugu,Enugu North,,,1,4,3,1,1,0,0,1,2,0,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Enugu North,South East,Enugu,Enugu North,,,1,2,1,1,1,0,0,1,0,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Enugu North,South East,Enugu,Enugu North,,,0,1,1,0,0,0,0,0,1,0,1.8
2022/2023,Female,ALL,WAEC,University,lga,Enugu South,South East,Enugu,Enugu South,,,122,367,265,111,102,6,0,102,154,9,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Enugu South,South East,Enugu,Enugu South,,,56,167,121,51,46,3,0,46,70,5,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Enugu South,South East,Enugu,Enugu South,,,45,133,96,40,37,2,0,37,56,3,1.8
2022/2023,Female,ALL,NECO,University,lga,Enugu South,South East,Enugu,Enugu South,,,57,171,124,52,48,3,0,47,72,4,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Enugu South,South East,Enugu,Enugu South,,,26,78,56,24,22,1,0,22,32,2,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Enugu South,South East,Enugu,Enugu South,,,21,62,45,19,17,1,0,17,26,2,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Enugu South,South East,Enugu,Enugu South,,,18,53,39,16,15,1,0,14,23,1,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Enugu South,South East,Enugu,Enugu South,,,8,24,18,7,7,0,0,6,11,0,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Enugu South,South East,Enugu,Enugu South,,,6,19,14,6,5,0,0,5,8,1,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Enugu South,South East,Enugu,Enugu South,,,8,24,17,7,7,0,0,7,10,0,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Enugu South,South East,Enugu,Enugu South,,,4,11,8,3,3,0,0,3,5,0,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Enugu South,South East,Enugu,Enugu South,,,3,9,6,3,2,0,0,3,3,1,1.8
