session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,WAEC,University,lga,Katsina,North West,Katsina,Katsina,,,2833,8499,6150,2576,2367,130,0,2349,3574,209,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Katsina,North West,Katsina,Katsina,,,1288,3863,2795,1171,1076,59,0,1068,1624,95,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Katsina,North West,Katsina,Katsina,,,1030,3090,2236,937,861,47,0,854,1299,76,1.8
2022/2023,Female,ALL,NECO,University,lga,Katsina,North West,Katsina,Katsina,,,1325,3975,2877,1205,1107,61,0,1098,1672,98,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Katsina,North West,Katsina,Katsina,,,602,1807,1308,548,503,28,0,499,760,45,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Katsina,North West,Katsina,Katsina,,,482,1446,1046,438,403,22,0,400,608,35,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Katsina,North West,Katsina,Katsina,,,411,1234,893,374,344,19,0,341,519,30,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Katsina,North West,Katsina,Katsina,,,187,561,406,170,156,9,0,155,236,14,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Katsina,North West,Katsina,Katsina,,,150,449,325,136,125,7,0,124,189,11,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Katsina,North West,Katsina,Katsina,,,184,552,400,167,154,8,0,152,233,13,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Katsina,North West,Katsina,Katsina,,,84,251,182,76,70,4,0,69,106,6,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Katsina,North West,Katsina,Katsina,,,67,201,145,61,56,3,0,56,84,5,1.8
2022/2023,Female,Disabled,NECO,University,lga,Katsina,North West,Katsina,Katsina,,,86,258,187,78,72,4,0,71,109,6,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Katsina,North West,Katsina,Katsina,,,39,117,85,36,33,2,0,32,49,3,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Katsina,North West,Katsina,Katsina,,,31,94,68,28,26,1,0,26,40,2,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Katsina,North West,Katsina,Katsina,,,27,80,58,24,22,1,0,22,34,2,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Katsina,North West,Katsina,Katsina,,,12,36,26,11,10,1,0,10,15,1,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Katsina,North West,Katsina,Katsina,,,10,29,21,9,8,0,0,8,12,1,1.8
2022/2023,Female,ALL,WAEC,University,lga,Daura,North West,Katsina,Daura,,,1311,3933,2846,1192,1095,60,0,1087,1654,97,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Daura,North West,Katsina,Daura,,,596,1788,1294,542,498,27,0,494,752,44,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Daura,North West,Katsina,Daura,,,477,1430,1035,434,398,22,0,395,601,36,1.8
2022/2023,Female,ALL,NECO,University,lga,Daura,North West,Katsina,Daura,,,613,1840,1331,558,512,28,0,509,773,46,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Daura,North West,Katsina,Daura,,,279,836,605,253,233,13,0,231,352,20,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Daura,North West,Katsina,Daura,,,223,669,484,203,186,10,0,185,281,17,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Daura,North West,Katsina,Daura,,,190,571,413,173,159,9,0,158,240,14,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Daura,North West,Katsina,Daura,,,87,260,188,79,72,4,0,72,109,7,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Daura,North West,Katsina,Daura,,,69,208,150,63,58,3,0,58,87,5,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Daura,North West,Katsina,Daura,,,85,256,185,77,71,4,0,71,108,6,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Daura,North West,Katsina,Daura,,,39,116,84,35,32,2,0,32,49,3,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Daura,North West,Katsina,Daura,,,31,93,67,28,26,1,0,26,39,2,1.8
2022/2023,Female,Disabled,NECO,University,lga,Daura,North West,Katsina,Daura,,,40,120,87,36,33,2,0,33,51,3,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Daura,North West,Katsina,Daura,,,18,54,39,16,15,1,0,15,23,1,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Daura,North West,Katsina,Daura,,,14,43,31,13,12,1,0,12,18,1,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Daura,North West,Katsina,Daura,,,12,37,27,11,10,1,0,10,16,1,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Daura,North West,Katsina,Daura,,,6,17,12,5,5,0,0,5,7,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Daura,North West,Katsina,Daura,,,4,13,10,4,4,0,0,3,6,0,1.8
2022/2023,Female,ALL,WAEC,University,lga,Funtua,North West,Katsina,Funtua,,,1466,4398,3183,1333,1225,67,0,1215,1850,108,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Funtua,North West,Katsina,Funtua,,,666,1999,1447,606,557,31,0,552,841,49,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Funtua,North West,Katsina,Funtua,,,533,1599,1157,485,445,24,0,442,672,40,1.8
2022/2023,Female,ALL,NECO,University,lga,Funtua,North West,Katsina,Funtua,,,686,2057,1489,624,573,32,0,568,865,51,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Funtua,North West,Katsina,Funtua,,,312,935,677,283,260,14,0,258,394,23,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Funtua,North West,Katsina,Funtua,,,249,748,541,227,208,11,0,207,314,19,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Funtua,North West,Katsina,Funtua,,,213,638,462,194,178,10,0,176,268,16,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Funtua,North West,Katsina,Funtua,,,97,290,210,88,81,4,0,80,122,7,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Funtua,North West,Katsina,Funtua,,,77,232,168,70,65,4,0,64,98,5,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Funtua,North West,Katsina,Funtua,,,95,286,207,87,80,4,0,79,120,7,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Funtua,North West,Katsina,Funtua,,,43,130,94,39,36,2,0,36,55,3,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Funtua,North West,Katsina,Funtua,,,35,104,75,32,29,2,0,29,43,3,1.8
2022/2023,Female,Disabled,NECO,University,lga,Funtua,North West,Katsina,Funtua,,,45,134,97,41,37,2,0,37,56,4,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Funtua,North West,Katsina,Funtua,,,20,61,44,18,17,1,0,17,26,1,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Funtua,North West,Katsina,Funtua,,,16,49,35,15,14,1,0,14,20,1,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Funtua,North West,Katsina,Funtua,,,14,41,30,13,12,1,0,11,17,1,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Funtua,North West,Katsina,Funtua,,,6,19,14,6,5,0,0,5,8,1,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Funtua,North West,Katsina,Funtua,,,5,15,11,5,4,0,0,4,6,1,1.8
2022/2023,Female,ALL,WAEC,University,lga,Mashi,North West,Katsina,Mashi,,,1441,4323,3128,1310,1204,66,0,1195,1818,106,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Mashi,North West,Katsina,Mashi,,,655,1965,1422,596,547,30,0,543,826,49,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Mashi,North West,Katsina,Mashi,,,524,1572,1138,477,438,24,0,434,661,39,1.8
2022/2023,Female,ALL,NECO,University,lga,Mashi,North West,Katsina,Mashi,,,674,2022,1463,613,563,31,0,559,850,50,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Mashi,North West,Katsina,Mashi,,,306,919,665,279,256,14,0,254,386,23,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Mashi,North West,Katsina,Mashi,,,245,735,532,223,205,11,0,203,309,18,1.8
