session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,WAEC,University,lga,Osogbo,South West,Osun,Osogbo,,,194,582,421,177,162,9,0,161,244,15,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Osogbo,South West,Osun,Osogbo,,,88,265,192,80,74,4,0,73,112,6,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Osogbo,South West,Osun,Osogbo,,,71,212,153,64,59,3,0,59,89,5,1.8
2022/2023,Female,ALL,NECO,University,lga,Osogbo,South West,Osun,Osogbo,,,91,272,197,83,76,4,0,75,114,7,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Osogbo,South West,Osun,Osogbo,,,41,124,90,38,35,2,0,34,52,3,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Osogbo,South West,Osun,Osogbo,,,33,99,72,30,28,2,0,27,42,2,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Osogbo,South West,Osun,Osogbo,,,28,85,61,26,24,1,0,24,35,2,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Osogbo,South West,Osun,Osogbo,,,13,38,28,12,11,1,0,10,16,1,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Osogbo,South West,Osun,Osogbo,,,10,31,22,9,9,0,0,9,13,0,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Osogbo,South West,Osun,Osogbo,,,13,38,27,11,11,1,0,11,16,0,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Osogbo,South West,Osun,Osogbo,,,6,17,12,5,5,0,0,5,7,0,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Osogbo,South West,Osun,Osogbo,,,5,14,10,4,4,0,0,4,6,0,1.8
2022/2023,Female,Disabled,NECO,University,lga,Osogbo,South West,Osun,Osogbo,,,6,18,13,5,5,0,0,5,8,0,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Osogbo,South West,Osun,Osogbo,,,3,8,6,2,2,0,0,2,4,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Osogbo,South West,Osun,Osogbo,,,2,6,5,2,2,0,0,1,3,0,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Osogbo,South West,Osun,Osogbo,,,2,5,4,2,2,0,0,1,2,0,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Osogbo,South West,Osun,Osogbo,,,1,2,2,1,1,0,0,0,1,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Osogbo,South West,Osun,Osogbo,,,1,2,1,1,1,0,0,1,0,0,1.8
2022/2023,Female,ALL,WAEC,University,lga,Ife Central,South West,Osun,Ife Central,,,265,794,575,241,221,12,0,219,334,20,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Ife Central,South West,Osun,Ife Central,,,120,361,261,109,100,6,0,100,152,9,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Ife Central,South West,Osun,Ife Central,,,96,289,209,88,80,4,0,80,121,8,1.8
2022/2023,Female,ALL,NECO,University,lga,Ife Central,South West,Osun,Ife Central,,,124,371,269,113,103,6,0,102,156,10,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Ife Central,South West,Osun,Ife Central,,,56,169,122,51,47,3,0,47,71,4,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Ife Central,South West,Osun,Ife Central,,,45,135,98,41,38,2,0,37,57,3,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Ife Central,South West,Osun,Ife Central,,,38,115,83,35,32,2,0,32,48,3,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Ife Central,South West,Osun,Ife Central,,,17,52,38,16,15,1,0,14,22,1,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Ife Central,South West,Osun,Ife Central,,,14,42,30,13,12,1,0,12,17,1,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Ife Central,South West,Osun,Ife Central,,,17,52,37,16,14,1,0,15,21,2,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Ife Central,South West,Osun,Ife Central,,,8,23,17,7,7,0,0,6,10,0,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Ife Central,South West,Osun,Ife Central,,,6,19,14,6,5,0,0,5,8,1,1.8
2022/2023,Female,Disabled,NECO,University,lga,Ife Central,South West,Osun,Ife Central,,,8,24,17,7,7,0,0,7,10,0,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Ife Central,South West,Osun,Ife Central,,,4,11,8,3,3,0,0,3,5,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Ife Central,South West,Osun,Ife Central,,,3,9,6,3,2,0,0,3,3,1,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Ife Central,South West,Osun,Ife Central,,,2,7,5,2,2,0,0,2,3,0,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Ife Central,South West,Osun,Ife Central,,,1,3,2,1,1,0,0,1,1,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Ife Central,South West,Osun,Ife Central,,,1,3,2,1,1,0,0,1,1,0,1.8
2022/2023,Female,ALL,WAEC,University,lga,Ilesha East,South West,Osun,Ilesha East,,,210,631,457,191,176,10,0,174,266,15,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Ilesha East,South West,Osun,Ilesha East,,,96,287,208,87,80,4,0,79,121,7,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Ilesha East,South West,Osun,Ilesha East,,,77,230,166,70,64,4,0,64,96,6,1.8
2022/2023,Female,ALL,NECO,University,lga,Ilesha East,South West,Osun,Ilesha East,,,98,295,214,89,82,5,0,81,125,7,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Ilesha East,South West,Osun,Ilesha East,,,45,134,97,41,37,2,0,37,56,4,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Ilesha East,South West,Osun,Ilesha East,,,36,107,78,33,30,2,0,29,45,3,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Ilesha East,South West,Osun,Ilesha East,,,31,92,66,28,26,1,0,26,38,2,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Ilesha East,South West,Osun,Ilesha East,,,14,42,30,13,12,1,0,12,17,1,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Ilesha East,South West,Osun,Ilesha East,,,11,33,24,10,9,0,0,9,14,1,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Ilesha East,South West,Osun,Ilesha East,,,14,41,30,12,11,1,0,11,18,1,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Ilesha East,South West,Osun,Ilesha East,,,6,19,14,6,5,0,0,5,8,1,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Ilesha East,South West,Osun,Ilesha East,,,5,15,11,5,4,0,0,4,6,1,1.8
2022/2023,Female,Disabled,NECO,University,lga,Ilesha East,South West,Osun,Ilesha East,,,6,19,14,6,5,0,0,5,8,1,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Ilesha East,South West,Osun,Ilesha East,,,3,9,6,3,2,0,0,3,3,1,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Ilesha East,South West,Osun,Ilesha East,,,2,7,5,2,2,0,0,2,3,0,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Ilesha East,South West,Osun,Ilesha East,,,2,6,4,2,2,0,0,2,2,0,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Ilesha East,South West,Osun,Ilesha East,,,1,3,2,1,1,0,0,1,1,0,1.8
