session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,WAEC,University,lga,Damaturu,North East,Yobe,Damaturu,,,954,2861,2070,867,797,44,0,791,1203,70,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Damaturu,North East,Yobe,Damaturu,,,434,1300,941,394,362,20,0,359,547,32,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Damaturu,North East,Yobe,Damaturu,,,347,1040,753,315,290,16,0,287,438,25,1.8
2022/2023,Female,ALL,NECO,University,lga,Damaturu,North East,Yobe,Damaturu,,,446,1338,968,406,373,21,0,370,562,33,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Damaturu,North East,Yobe,Damaturu,,,203,608,440,184,169,9,0,168,256,15,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Damaturu,North East,Yobe,Damaturu,,,162,487,352,147,135,7,0,135,205,12,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Damaturu,North East,Yobe,Damaturu,,,138,415,301,126,116,6,0,114,175,10,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Damaturu,North East,Yobe,Damaturu,,,63,189,137,57,53,3,0,52,80,4,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Damaturu,North East,Yobe,Damaturu,,,50,151,109,46,42,2,0,42,63,4,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Damaturu,North East,Yobe,Damaturu,,,62,186,135,56,52,3,0,51,79,4,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Damaturu,North East,Yobe,Damaturu,,,28,85,61,26,24,1,0,24,35,2,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Damaturu,North East,Yobe,Damaturu,,,23,68,49,20,19,1,0,19,29,1,1.8
2022/2023,Female,Disabled,NECO,University,lga,Damaturu,North East,Yobe,Damaturu,,,29,87,63,26,24,1,0,24,37,2,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Damaturu,North East,Yobe,Damaturu,,,13,40,29,12,11,1,0,11,17,1,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Damaturu,North East,Yobe,Damaturu,,,11,32,23,10,9,0,0,9,13,1,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Damaturu,North East,Yobe,Damaturu,,,9,27,20,8,8,0,0,7,12,0,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Damaturu,North East,Yobe,Damaturu,,,4,12,9,4,3,0,0,3,5,1,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Damaturu,North East,Yobe,Damaturu,,,3,10,7,3,3,0,0,3,4,0,1.8
2022/2023,Female,ALL,WAEC,University,lga,Potiskum,North East,Yobe,Potiskum,,,1341,4025,2912,1220,1121,62,0,1113,1692,99,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Potiskum,North East,Yobe,Potiskum,,,610,1829,1324,555,509,28,0,505,769,46,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Potiskum,North East,Yobe,Potiskum,,,488,1464,1059,444,408,22,0,405,615,36,1.8
2022/2023,Female,ALL,NECO,University,lga,Potiskum,North East,Yobe,Potiskum,,,627,1883,1362,571,524,29,0,521,791,47,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Potiskum,North East,Yobe,Potiskum,,,285,856,619,259,238,13,0,237,360,21,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Potiskum,North East,Yobe,Potiskum,,,228,685,495,208,191,11,0,190,287,17,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Potiskum,North East,Yobe,Potiskum,,,195,584,423,177,163,9,0,161,246,14,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Potiskum,North East,Yobe,Potiskum,,,89,266,192,81,74,4,0,74,111,7,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Potiskum,North East,Yobe,Potiskum,,,71,212,154,64,59,3,0,58,90,5,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Potiskum,North East,Yobe,Potiskum,,,87,262,189,79,73,4,0,73,110,6,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Potiskum,North East,Yobe,Potiskum,,,40,119,86,36,33,2,0,33,50,3,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Potiskum,North East,Yobe,Potiskum,,,32,95,69,29,26,1,0,26,40,3,1.8
2022/2023,Female,Disabled,NECO,University,lga,Potiskum,North East,Yobe,Potiskum,,,41,122,89,37,34,2,0,33,52,3,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Potiskum,North East,Yobe,Potiskum,,,19,56,40,17,15,1,0,16,23,2,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Potiskum,North East,Yobe,Potiskum,,,15,44,32,13,12,1,0,12,19,1,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Potiskum,North East,Yobe,Potiskum,,,13,38,27,12,11,1,0,11,15,1,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Potiskum,North East,Yobe,Potiskum,,,6,17,12,5,5,0,0,5,7,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Potiskum,North East,Yobe,Potiskum,,,5,14,10,4,4,0,0,4,6,0,1.8
2022/2023,Female,ALL,WAEC,University,lga,Nguru,North East,Yobe,Nguru,,,803,2409,1743,730,671,37,0,666,1013,59,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Nguru,North East,Yobe,Nguru,,,365,1095,792,332,305,17,0,303,460,27,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Nguru,North East,Yobe,Nguru,,,292,876,634,265,244,13,0,242,369,21,1.8
2022/2023,Female,ALL,NECO,University,lga,Nguru,North East,Yobe,Nguru,,,376,1127,815,341,314,17,0,312,474,27,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Nguru,North East,Yobe,Nguru,,,171,512,371,155,143,8,0,141,216,12,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Nguru,North East,Yobe,Nguru,,,137,410,296,124,114,6,0,114,172,10,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Nguru,North East,Yobe,Nguru,,,117,350,253,106,97,5,0,97,147,9,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Nguru,North East,Yobe,Nguru,,,53,159,115,48,44,2,0,44,67,4,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Nguru,North East,Yobe,Nguru,,,42,127,92,39,35,2,0,35,53,4,1.8
