session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,ALL,NABTEB,University,0,0,0,310,280,45,1.6,0,0,0,9
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,ALL,NECO,University,0,0,0,656,586,90,1.5,0,0,0,21
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,ALL,WAEC,University,0,0,0,642,612,45,1.5,0,0,0,9
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,Disabled,NABTEB,University,0,0,0,43,40,0,1.6,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,Disabled,NECO,University,0,0,0,43,40,0,1.5,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,Disabled,WAEC,University,0,0,0,43,30,0,1.5,0,0,0,4
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,ALL,NABTEB,University,0,0,0,310,280,45,1.6,0,0,0,9
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,ALL,NECO,University,0,0,0,656,586,90,1.5,0,0,0,21
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,ALL,WAEC,University,1,0,4,885,822,90,1.5,1,0,0,19
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,Disabled,NABTEB,University,0,0,0,43,40,0,1.6,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,Disabled,NECO,University,0,0,0,43,40,0,1.5,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,Disabled,WAEC,University,0,0,0,43,40,0,1.5,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,ALL,NABTEB,University,0,0,0,310,280,45,1.6,0,0,0,9
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,ALL,NECO,University,0,0,0,589,529,45,1.5,0,0,0,18
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,ALL,WAEC,University,0,0,0,965,918,45,1.5,0,0,0,14
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Disabled,NABTEB,University,0,0,0,43,40,0,1.6,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Disabled,NECO,University,0,0,0,43,40,0,1.5,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Disabled,WAEC,University,0,0,0,80,70,0,1.5,0,0,0,3
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,ALL,NABTEB,University,0,0,0,256,223,45,1.6,0,0,0,10
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,ALL,NECO,University,0,0,0,656,586,90,1.5,0,0,0,21
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,ALL,WAEC,University,0,0,0,792,709,90,1.5,0,0,0,25
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Disabled,NABTEB,University,0,0,0,43,40,0,1.6,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Disabled,NECO,University,0,0,0,43,40,0,1.5,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Disabled,WAEC,University,0,0,0,80,70,0,1.5,0,0,0,3
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,ALL,NABTEB,University,0,0,0,363,333,45,1.6,0,0,0,9
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,ALL,NECO,University,0,0,0,642,586,45,1.5,0,0,0,17
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,ALL,WAEC,University,0,0,0,885,822,90,1.5,0,0,0,19
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,Disabled,NABTEB,University,0,0,0,43,40,0,1.6,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,Disabled,NECO,University,0,0,0,43,40,0,1.5,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,Disabled,WAEC,University,0,0,0,33,30,0,1.5,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Male,ALL,NABTEB,University,0,0,0,256,223,45,1.6,0,0,0,10
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Male,ALL,NECO,University,0,0,0,712,639,90,1.5,0,0,0,22
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Male,ALL,WAEC,University,0,0,0,965,918,45,1.5,0,0,0,14
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Male,Disabled,NABTEB,University,0,0,0,43,40,0,1.6,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Male,Disabled,NECO,University,0,0,0,43,40,0,1.5,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Male,Disabled,WAEC,University,0,0,0,33,30,0,1.5,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Female,ALL,NABTEB,University,0,0,0,213,166,45,1.6,0,0,0,14
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Female,ALL,NECO,University,0,0,0,589,529,45,1.5,0,0,0,18
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Female,ALL,WAEC,University,0,0,0,642,612,45,1.5,0,0,0,9
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Female,Disabled,NABTEB,University,0,0,0,43,40,0,1.6,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Female,Disabled,NECO,University,0,0,0,33,30,0,1.5,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Female,Disabled,WAEC,University,0,0,0,33,30,0,1.5,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Male,ALL,NABTEB,University,0,0,0,256,223,45,1.6,0,0,0,10
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Male,ALL,NECO,University,0,0,0,483,472,0,1.5,0,0,0,3
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Male,ALL,WAEC,University,0,0,0,602,556,45,1.5,0,0,0,14
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Male,Disabled,NABTEB,University,0,0,0,43,40,0,1.6,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Male,Disabled,NECO,University,0,0,0,33,30,0,1.5,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Male,Disabled,WAEC,University,0,0,0,33,30,0,1.5,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Female,ALL,NABTEB,University,0,0,0,363,333,45,1.6,0,0,0,9
2022/2023,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Female,ALL,NECO,University,0,0,0,819,695,134,1.5,0,0,0,37
2022/2023,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Female,ALL,WAEC,University,0,0,0,1018,975,45,1.5,0,0,0,13
2022/2023,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Female,Disabled,NABTEB,University,0,0,0,43,40,0,1.6,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Female,Disabled,NECO,University,0,0,0,43,40,0,1.5,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Female,Disabled,WAEC,University,0,0,0,80,70,0,1.5,0,0,0,3
2022/2023,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Male,ALL,NABTEB,University,0,0,0,310,280,45,1.6,0,0,0,9
2022/2023,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Male,ALL,NECO,University,0,0,0,712,639,90,1.5,0,0,0,22
2022/2023,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Male,ALL,WAEC,University,1,0,4,1018,975,45,1.5,1,0,0,13
2022/2023,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Male,Disabled,NABTEB,University,0,0,0,43,40,0,1.6,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Male,Disabled,NECO,University,0,0,0,43,40,0,1.5,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Male,Disabled,WAEC,University,0,0,0,80,70,0,1.5,0,0,0,3
2022/2023,South East,Anambra,Awka North,Achalla  II,"Comprehensive High School, Achalla  II",Female,ALL,NABTEB,University,0,0,0,363,333,45,1.6,0,0,0,9
2022/2023,South East,Anambra,Awka North,Achalla  II,"Comprehensive High School, Achalla  II",Female,ALL,NECO,University,0,0,0,819,765,45,1.5,0,0,0,16
2022/2023,South East,Anambra,Awka North,Achalla  II,"Comprehensive High School, Achalla  II",Female,ALL,WAEC,University,0,0,0,925,862,90,1.5,0,0,0,19
2022/2023,South East,Anambra,Awka North,Achalla  II,"Comprehensive High School, Achalla  II",Female,Disabled,NABTEB,University,0,0,0,43,40,0,1.6,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  II,"Comprehensive High School, Achalla  II",Female,Disabled,NECO,University,0,0,0,43,40,0,1.5,0,0,0,1
2022/2023,South East,Anambra,Awka North,Achalla  II,"Comprehensive High School, Achalla  II",Female,Disabled,WAEC,University,0,0,0,80,70,0,1.5,0,0,0,3
2022/2023,South East,Anambra,Awka North,Achalla  II,"Comprehensive High School, Achalla  II",Male,ALL,NABTEB,University,0,0,0,310,280,45,1.6,0,0,0,9
