session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,ALL,NABTEB,University,11,27,31,49,44,9,1.6,9,0,0,8
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,ALL,NECO,University,17,44,50,85,85,0,1.5,14,0,0,1
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,ALL,WAEC,University,26,67,80,153,139,18,1.5,21,0,0,20
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,Disabled,NABTEB,University,1,2,2,8,7,0,1.6,0,0,0,2
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,Disabled,NECO,University,2,3,5,6,5,0,1.5,2,0,0,1
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,Disabled,WAEC,University,2,4,5,8,7,0,1.5,1,0,0,2
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,ALL,NABTEB,University,12,31,38,70,65,9,1.6,9,0,0,7
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,ALL,NECO,University,19,49,54,88,79,9,1.5,15,0,0,13
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,ALL,WAEC,University,28,73,81,153,139,18,1.5,22,0,0,20
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,Disabled,NABTEB,University,1,2,3,6,5,0,1.6,1,0,0,2
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,Disabled,NECO,University,2,4,5,6,5,0,1.5,2,0,0,1
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,Disabled,WAEC,University,2,6,5,8,7,0,1.5,1,0,0,2
2022/2023,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,ALL,NABTEB,College of Education,11,29,33,0,0,0,1.8,9,0,43,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,ALL,NECO,College of Education,21,54,54,0,0,0,1.8,16,0,70,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,ALL,WAEC,College of Education,27,70,77,1,0,0,1.8,22,0,99,1
2022/2023,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,Disabled,NABTEB,College of Education,1,2,2,0,0,0,1.8,0,0,3,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,Disabled,NECO,College of Education,2,5,5,0,0,0,1.8,1,0,6,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,Disabled,WAEC,College of Education,2,6,6,0,0,0,1.8,2,0,8,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Male,ALL,NABTEB,College of Education,9,23,24,0,0,0,1.8,8,0,31,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Male,ALL,NECO,College of Education,20,52,50,0,0,0,1.8,15,0,65,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Male,ALL,WAEC,College of Education,23,58,61,1,0,0,1.8,19,0,78,1
2022/2023,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Male,Disabled,NABTEB,College of Education,1,2,2,0,0,0,1.8,0,0,3,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Male,Disabled,NECO,College of Education,2,4,4,0,0,0,1.8,2,0,5,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Male,Disabled,WAEC,College of Education,2,5,5,0,0,0,1.8,1,0,6,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Government Secondary School, Brass I",Female,ALL,NABTEB,Polytechnic,9,24,25,1,0,0,1.7,7,0,31,1
2022/2023,South South,Bayelsa,Brass,Brass I,"Government Secondary School, Brass I",Female,ALL,NECO,Polytechnic,16,40,45,1,1,0,1.6,13,0,57,1
2022/2023,South South,Bayelsa,Brass,Brass I,"Government Secondary School, Brass I",Female,ALL,WAEC,Polytechnic,23,60,64,2,1,0,1.6,19,0,81,1
2022/2023,South South,Bayelsa,Brass,Brass I,"Government Secondary School, Brass I",Female,Disabled,NABTEB,Polytechnic,1,2,2,0,0,0,1.7,0,0,3,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Government Secondary School, Brass I",Female,Disabled,NECO,Polytechnic,1,3,4,0,0,0,1.6,1,0,5,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Government Secondary School, Brass I",Female,Disabled,WAEC,Polytechnic,2,4,5,0,0,0,1.6,1,0,7,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Government Secondary School, Brass I",Male,ALL,NABTEB,Polytechnic,10,27,26,1,0,0,1.7,8,0,33,1
2022/2023,South South,Bayelsa,Brass,Brass I,"Government Secondary School, Brass I",Male,ALL,NECO,Polytechnic,20,52,54,2,1,0,1.6,16,0,67,1
2022/2023,South South,Bayelsa,Brass,Brass I,"Government Secondary School, Brass I",Male,ALL,WAEC,Polytechnic,25,64,68,3,2,0,1.6,20,0,85,1
2022/2023,South South,Bayelsa,Brass,Brass I,"Government Secondary School, Brass I",Male,Disabled,NABTEB,Polytechnic,1,2,2,0,0,0,1.7,0,0,3,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Government Secondary School, Brass I",Male,Disabled,NECO,Polytechnic,1,3,4,0,0,0,1.6,1,0,5,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Government Secondary School, Brass I",Male,Disabled,WAEC,Polytechnic,2,4,5,0,0,0,1.6,1,0,6,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Unity College, Brass",Female,ALL,NABTEB,College of Education,8,19,19,0,0,0,1.8,7,0,25,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Unity College, Brass",Female,ALL,NECO,College of Education,15,39,40,0,0,0,1.8,12,0,52,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Unity College, Brass",Female,ALL,WAEC,College of Education,18,47,48,0,0,0,1.8,14,0,63,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Unity College, Brass",Female,Disabled,NABTEB,College of Education,1,2,2,0,0,0,1.8,0,0,3,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Unity College, Brass",Female,Disabled,NECO,College of Education,1,3,3,0,0,0,1.8,1,0,4,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Unity College, Brass",Female,Disabled,WAEC,College of Education,2,3,4,0,0,0,1.8,2,0,5,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Unity College, Brass",Male,ALL,NABTEB,College of Education,8,19,19,0,0,0,1.8,6,0,25,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Unity College, Brass",Male,ALL,NECO,College of Education,14,35,36,0,0,0,1.8,11,0,47,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Unity College, Brass",Male,ALL,WAEC,College of Education,17,43,44,0,0,0,1.8,13,0,57,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Unity College, Brass",Male,Disabled,NABTEB,College of Education,1,2,2,0,0,0,1.8,0,0,3,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Unity College, Brass",Male,Disabled,NECO,College of Education,1,3,3,0,0,0,1.8,1,0,4,0
2022/2023,South South,Bayelsa,Brass,Brass I,"Unity College, Brass",Male,Disabled,WAEC,College of Education,1,3,3,0,0,0,1.8,1,0,4,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Community Secondary School, Brass ward II",Female,ALL,NABTEB,College of Education,11,27,32,0,0,0,1.8,8,0,42,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Community Secondary School, Brass ward II",Female,ALL,NECO,College of Education,20,51,55,1,0,0,1.8,15,0,71,1
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Community Secondary School, Brass ward II",Female,ALL,WAEC,College of Education,24,61,68,1,0,0,1.8,20,0,88,1
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Community Secondary School, Brass ward II",Female,Disabled,NABTEB,College of Education,1,2,2,0,0,0,1.8,0,0,3,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Community Secondary School, Brass ward II",Female,Disabled,NECO,College of Education,2,5,6,0,0,0,1.8,1,0,8,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Community Secondary School, Brass ward II",Female,Disabled,WAEC,College of Education,2,6,6,0,0,0,1.8,2,0,8,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Community Secondary School, Brass ward II",Male,ALL,NABTEB,College of Education,9,23,27,0,0,0,1.8,7,0,35,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Community Secondary School, Brass ward II",Male,ALL,NECO,College of Education,17,44,51,1,0,0,1.8,14,0,65,1
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Community Secondary School, Brass ward II",Male,ALL,WAEC,College of Education,22,57,64,1,0,0,1.8,18,0,82,1
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Community Secondary School, Brass ward II",Male,Disabled,NABTEB,College of Education,1,2,2,0,0,0,1.8,0,0,3,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Community Secondary School, Brass ward II",Male,Disabled,NECO,College of Education,2,4,4,0,0,0,1.8,1,0,5,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Community Secondary School, Brass ward II",Male,Disabled,WAEC,College of Education,2,5,5,0,0,0,1.8,1,0,7,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Comprehensive High School, Brass ward II",Female,ALL,NABTEB,College of Education,10,25,29,0,0,0,1.8,8,0,38,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Comprehensive High School, Brass ward II",Female,ALL,NECO,College of Education,18,46,48,0,0,0,1.8,14,0,63,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Comprehensive High School, Brass ward II",Female,ALL,WAEC,College of Education,26,66,70,1,0,0,1.8,21,0,90,1
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Comprehensive High School, Brass ward II",Female,Disabled,NABTEB,College of Education,1,2,2,0,0,0,1.8,0,0,3,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Comprehensive High School, Brass ward II",Female,Disabled,NECO,College of Education,2,3,3,0,0,0,1.8,2,0,4,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Comprehensive High School, Brass ward II",Female,Disabled,WAEC,College of Education,2,5,5,0,0,0,1.8,1,0,7,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Comprehensive High School, Brass ward II",Male,ALL,NABTEB,College of Education,10,27,29,0,0,0,1.8,8,0,38,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Comprehensive High School, Brass ward II",Male,ALL,NECO,College of Education,20,51,55,0,0,0,1.8,15,0,72,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Comprehensive High School, Brass ward II",Male,ALL,WAEC,College of Education,26,68,71,1,0,0,1.8,21,0,91,1
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Comprehensive High School, Brass ward II",Male,Disabled,NABTEB,College of Education,1,2,2,0,0,0,1.8,0,0,3,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Comprehensive High School, Brass ward II",Male,Disabled,NECO,College of Education,1,3,4,0,0,0,1.8,1,0,5,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Comprehensive High School, Brass ward II",Male,Disabled,WAEC,College of Education,2,4,5,0,0,0,1.8,2,0,7,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Government Secondary School, Brass ward II",Female,ALL,NABTEB,College of Education,10,26,26,0,0,0,1.8,8,0,34,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Government Secondary School, Brass ward II",Female,ALL,NECO,College of Education,20,51,55,0,0,0,1.8,16,0,72,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Government Secondary School, Brass ward II",Female,ALL,WAEC,College of Education,27,70,78,1,0,0,1.8,22,0,101,1
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Government Secondary School, Brass ward II",Female,Disabled,NABTEB,College of Education,1,2,2,0,0,0,1.8,0,0,3,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Government Secondary School, Brass ward II",Female,Disabled,NECO,College of Education,2,4,4,0,0,0,1.8,1,0,5,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Government Secondary School, Brass ward II",Female,Disabled,WAEC,College of Education,2,5,6,0,0,0,1.8,2,0,8,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Government Secondary School, Brass ward II",Male,ALL,NABTEB,College of Education,12,31,32,0,0,0,1.8,9,0,42,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Government Secondary School, Brass ward II",Male,ALL,NECO,College of Education,21,54,58,0,0,0,1.8,17,0,76,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Government Secondary School, Brass ward II",Male,ALL,WAEC,College of Education,33,84,88,1,0,0,1.8,26,0,114,1
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Government Secondary School, Brass ward II",Male,Disabled,NABTEB,College of Education,1,2,3,0,0,0,1.8,1,0,4,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Government Secondary School, Brass ward II",Male,Disabled,NECO,College of Education,2,4,5,0,0,0,1.8,2,0,7,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Government Secondary School, Brass ward II",Male,Disabled,WAEC,College of Education,3,7,8,0,0,0,1.8,2,0,10,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Unity College, Brass",Female,ALL,NABTEB,College of Education,7,19,19,0,0,0,1.8,6,0,25,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Unity College, Brass",Female,ALL,NECO,College of Education,13,33,35,0,0,0,1.8,10,0,45,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Unity College, Brass",Female,ALL,WAEC,College of Education,17,44,50,0,0,0,1.8,14,0,65,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Unity College, Brass",Female,Disabled,NABTEB,College of Education,1,2,2,0,0,0,1.8,0,0,3,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Unity College, Brass",Female,Disabled,NECO,College of Education,1,2,2,0,0,0,1.8,1,0,3,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Unity College, Brass",Female,Disabled,WAEC,College of Education,1,3,4,0,0,0,1.8,1,0,5,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Unity College, Brass",Male,ALL,NABTEB,College of Education,8,19,21,0,0,0,1.8,6,0,27,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Unity College, Brass",Male,ALL,NECO,College of Education,13,34,36,0,0,0,1.8,11,0,47,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Unity College, Brass",Male,ALL,WAEC,College of Education,20,51,54,1,0,0,1.8,15,0,70,1
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Unity College, Brass",Male,Disabled,NABTEB,College of Education,1,2,2,0,0,0,1.8,0,0,3,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Unity College, Brass",Male,Disabled,NECO,College of Education,1,3,3,0,0,0,1.8,1,0,4,0
2022/2023,South South,Bayelsa,Brass,Brass ward II,"Unity College, Brass",Male,Disabled,WAEC,College of Education,2,4,5,0,0,0,1.8,2,0,7,0
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Community Secondary School, Cafe Farmosa",Female,ALL,NABTEB,Polytechnic,12,31,37,1,1,0,1.7,9,0,46,1
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Community Secondary School, Cafe Farmosa",Female,ALL,NECO,Polytechnic,22,57,64,2,1,0,1.6,17,0,81,1
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Community Secondary School, Cafe Farmosa",Female,ALL,WAEC,Polytechnic,30,77,84,3,3,0,1.6,24,0,105,1
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Community Secondary School, Cafe Farmosa",Female,Disabled,NABTEB,Polytechnic,1,2,3,0,0,0,1.7,1,0,4,0
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Community Secondary School, Cafe Farmosa",Female,Disabled,NECO,Polytechnic,2,6,6,0,0,0,1.6,2,0,8,0
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Community Secondary School, Cafe Farmosa",Female,Disabled,WAEC,Polytechnic,3,7,8,0,0,0,1.6,2,0,11,0
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Community Secondary School, Cafe Farmosa",Male,ALL,NABTEB,Polytechnic,13,34,40,1,1,0,1.7,10,0,50,1
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Community Secondary School, Cafe Farmosa",Male,ALL,NECO,Polytechnic,24,60,71,2,1,0,1.6,19,0,90,1
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Community Secondary School, Cafe Farmosa",Male,ALL,WAEC,Polytechnic,29,76,82,3,3,0,1.6,23,0,102,1
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Community Secondary School, Cafe Farmosa",Male,Disabled,NABTEB,Polytechnic,1,2,3,0,0,0,1.7,1,0,4,0
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Community Secondary School, Cafe Farmosa",Male,Disabled,NECO,Polytechnic,2,6,6,0,0,0,1.6,2,0,8,0
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Community Secondary School, Cafe Farmosa",Male,Disabled,WAEC,Polytechnic,3,6,8,0,0,0,1.6,2,0,10,0
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Comprehensive High School, Cafe Farmosa",Female,ALL,NABTEB,University,11,28,32,59,55,9,1.6,8,0,0,7
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Comprehensive High School, Cafe Farmosa",Female,ALL,NECO,University,20,51,55,88,79,9,1.5,15,0,0,13
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Comprehensive High School, Cafe Farmosa",Female,ALL,WAEC,University,29,74,84,189,177,9,1.5,23,0,0,18
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Comprehensive High School, Cafe Farmosa",Female,Disabled,NABTEB,University,1,2,2,8,7,0,1.6,0,0,0,2
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Comprehensive High School, Cafe Farmosa",Female,Disabled,NECO,University,2,5,6,8,7,0,1.5,1,0,0,2
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Comprehensive High School, Cafe Farmosa",Female,Disabled,WAEC,University,2,6,7,12,10,0,1.5,2,0,0,3
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Comprehensive High School, Cafe Farmosa",Male,ALL,NABTEB,University,10,24,29,52,44,9,1.6,8,0,0,12
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Comprehensive High School, Cafe Farmosa",Male,ALL,NECO,University,20,51,61,104,98,9,1.5,16,0,0,8
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Comprehensive High School, Cafe Farmosa",Male,ALL,WAEC,University,27,69,75,153,147,9,1.5,21,0,0,8
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Comprehensive High School, Cafe Farmosa",Male,Disabled,NABTEB,University,1,2,2,8,7,0,1.6,0,0,0,2
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Comprehensive High School, Cafe Farmosa",Male,Disabled,NECO,University,2,4,5,6,5,0,1.5,2,0,0,1
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Comprehensive High School, Cafe Farmosa",Male,Disabled,WAEC,University,2,6,7,12,10,0,1.5,2,0,0,3
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Government Secondary School, Cafe Farmosa",Female,ALL,NABTEB,Polytechnic,15,38,41,1,1,0,1.7,13,0,52,1
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Government Secondary School, Cafe Farmosa",Female,ALL,NECO,Polytechnic,26,68,74,3,2,0,1.6,21,0,93,1
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Government Secondary School, Cafe Farmosa",Female,ALL,WAEC,Polytechnic,36,92,101,3,3,0,1.6,28,0,127,1
2022/2023,South South,Bayelsa,Brass,Cafe Farmosa,"Government Secondary School, Cafe Farmosa",Female,Disabled,NABTEB,Polytechnic,1,2,2,0,0,0,1.7,0,0,3,0
