session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,NABTEB,University,9,23,25,17,16,0,1.6,5,0,5,1
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,NECO,University,16,42,46,34,29,0,1.5,8,0,7,5
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,WAEC,University,20,51,53,37,34,0,1.5,11,0,10,3
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,Disabled,NABTEB,University,1,4,3,0,0,0,1.6,0,0,3,0
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,Disabled,NECO,University,1,4,5,4,3,0,1.5,1,0,0,1
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,Disabled,WAEC,University,2,6,6,4,3,0,1.5,1,0,1,1
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Male,ALL,NABTEB,University,8,20,20,9,8,0,1.6,5,0,9,1
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Male,ALL,NECO,University,14,37,40,27,21,0,1.5,7,0,8,6
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Male,ALL,WAEC,University,18,46,49,31,28,0,1.5,10,0,12,3
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Male,Disabled,NABTEB,University,1,2,3,0,0,0,1.6,1,0,3,0
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Male,Disabled,NECO,University,1,4,3,0,0,0,1.5,0,0,3,0
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Male,Disabled,WAEC,University,1,4,3,0,0,0,1.5,1,0,3,0
2022/2023,North East,Yobe,Bade,Dagona,"Comprehensive High School, Dagona",Female,ALL,NABTEB,University,14,37,38,17,16,0,1.6,8,0,17,1
2022/2023,North East,Yobe,Bade,Dagona,"Comprehensive High School, Dagona",Female,ALL,NECO,University,28,72,77,41,36,0,1.5,15,0,27,5
2022/2023,North East,Yobe,Bade,Dagona,"Comprehensive High School, Dagona",Female,ALL,WAEC,University,41,106,113,69,62,13,1.5,22,0,31,7
2022/2023,North East,Yobe,Bade,Dagona,"Comprehensive High School, Dagona",Female,Disabled,NABTEB,University,1,4,3,0,0,0,1.6,0,0,3,0
2022/2023,North East,Yobe,Bade,Dagona,"Comprehensive High School, Dagona",Female,Disabled,NECO,University,3,6,7,0,0,0,1.5,2,0,6,0
2022/2023,North East,Yobe,Bade,Dagona,"Comprehensive High School, Dagona",Female,Disabled,WAEC,University,4,10,10,4,3,0,1.5,2,0,5,1
2022/2023,North East,Yobe,Bade,Dagona,"Comprehensive High School, Dagona",Male,ALL,NABTEB,University,12,31,30,17,16,0,1.6,7,0,10,1
2022/2023,North East,Yobe,Bade,Dagona,"Comprehensive High School, Dagona",Male,ALL,NECO,University,25,65,66,47,44,0,1.5,14,0,11,3
2022/2023,North East,Yobe,Bade,Dagona,"Comprehensive High School, Dagona",Male,ALL,WAEC,University,36,91,91,62,61,0,1.5,20,0,19,1
2022/2023,North East,Yobe,Bade,Dagona,"Comprehensive High School, Dagona",Male,Disabled,NABTEB,University,1,2,3,0,0,0,1.6,1,0,3,0
2022/2023,North East,Yobe,Bade,Dagona,"Comprehensive High School, Dagona",Male,Disabled,NECO,University,3,7,6,4,3,0,1.5,1,1,1,1
2022/2023,North East,Yobe,Bade,Dagona,"Comprehensive High School, Dagona",Male,Disabled,WAEC,University,3,8,8,4,3,0,1.5,2,0,3,1
2022/2023,North East,Yobe,Bade,Dagona,"Government Secondary School, Dagona",Female,ALL,NABTEB,University,13,33,37,23,22,0,1.6,6,0,10,1
2022/2023,North East,Yobe,Bade,Dagona,"Government Secondary School, Dagona",Female,ALL,NECO,University,21,56,62,34,29,0,1.5,11,0,21,5
