session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,NABTEB,College of Education,zone,North Central,North Central,,,,,550,1649,1194,501,459,25,0,455,693,42,12.6
2022/2023,Female,ALL,NABTEB,College of Education,zone,North East,North East,,,,,1332,3997,2892,1211,1113,60,0,1105,1681,98,10.8
2022/2023,Female,ALL,NABTEB,College of Education,zone,North West,North West,,,,,2767,8300,6006,2518,2311,128,0,2294,3488,207,12.6
2022/2023,Female,ALL,NABTEB,College of Education,zone,South East,South East,,,,,876,2626,1899,795,732,40,0,727,1104,63,9.0
2022/2023,Female,ALL,NABTEB,College of Education,zone,South South,South South,,,,,678,2030,1469,615,565,30,0,561,854,50,10.8
2022/2023,Female,ALL,NABTEB,College of Education,zone,South West,South West,,,,,1545,4637,3355,1405,1291,71,0,1282,1950,114,10.8
2022/2023,Female,ALL,NABTEB,Polytechnic,zone,North Central,North Central,,,,,687,2061,1492,624,574,30,0,569,868,50,12.6
2022/2023,Female,ALL,NABTEB,Polytechnic,zone,North East,North East,,,,,1665,4997,3616,1515,1391,76,0,1381,2101,124,10.8
2022/2023,Female,ALL,NABTEB,Polytechnic,zone,North West,North West,,,,,3459,10375,7507,3144,2889,159,0,2868,4363,255,12.6
2022/2023,Female,ALL,NABTEB,Polytechnic,zone,South East,South East,,,,,1094,3281,2374,995,914,51,0,907,1379,81,9.0
2022/2023,Female,ALL,NABTEB,Polytechnic,zone,South South,South South,,,,,846,2536,1835,768,707,39,0,701,1067,61,10.8
2022/2023,Female,ALL,NABTEB,Polytechnic,zone,South West,South West,,,,,1933,5797,4195,1757,1614,89,0,1602,2438,143,10.8
2022/2023,Female,ALL,NABTEB,University,zone,North Central,North Central,,,,,1510,4535,3282,1375,1264,68,0,1253,1907,111,12.6
2022/2023,Female,ALL,NABTEB,University,zone,North East,North East,,,,,3663,10993,7955,3332,3062,167,0,3038,4623,270,10.8
2022/2023,Female,ALL,NABTEB,University,zone,North West,North West,,,,,7609,22827,16518,6919,6358,349,0,6309,9599,561,12.6
2022/2023,Female,ALL,NABTEB,University,zone,South East,South East,,,,,2406,7218,5224,2188,2010,111,0,1994,3036,178,9.0
2022/2023,Female,ALL,NABTEB,University,zone,South South,South South,,,,,1860,5577,4036,1691,1554,85,0,1541,2345,137,10.8
2022/2023,Female,ALL,NABTEB,University,zone,South West,South West,,,,,4251,12751,9226,3864,3550,195,0,3525,5362,314,10.8
2022/2023,Female,ALL,NECO,College of Education,zone,North Central,North Central,,,,,1772,5314,3846,1611,1481,82,0,1468,2235,130,12.6
2022/2023,Female,ALL,NECO,College of Education,zone,North East,North East,,,,,4294,12880,9320,3903,3585,198,0,3560,5417,318,10.8
2022/2023,Female,ALL,NECO,College of Education,zone,North West,North West,,,,,8914,26745,19353,8107,7449,410,0,7392,11246,658,12.6
2022/2023,Female,ALL,NECO,College of Education,zone,South East,South East,,,,,2819,8458,6120,2564,2357,130,0,2338,3556,207,9.0
2022/2023,Female,ALL,NECO,College of Education,zone,South South,South South,,,,,2179,6537,4729,1981,1821,99,0,1808,2748,160,10.8
2022/2023,Female,ALL,NECO,College of Education,zone,South West,South West,,,,,4981,14938,10810,4528,4161,228,0,4128,6282,367,10.8
2022/2023,Female,ALL,NECO,Polytechnic,zone,North Central,North Central,,,,,2214,6644,4808,2013,1852,103,0,1836,2795,161,12.6
2022/2023,Female,ALL,NECO,Polytechnic,zone,North East,North East,,,,,5366,16101,11651,4882,4485,246,0,4450,6769,397,10.8
2022/2023,Female,ALL,NECO,Polytechnic,zone,North West,North West,,,,,11143,33432,24192,10134,9309,513,0,9240,14058,825,12.6
2022/2023,Female,ALL,NECO,Polytechnic,zone,South East,South East,,,,,3524,10574,7652,3205,2945,162,0,2922,4447,260,9.0
2022/2023,Female,ALL,NECO,Polytechnic,zone,South South,South South,,,,,2723,8171,5913,2477,2276,124,0,2258,3436,201,10.8
2022/2023,Female,ALL,NECO,Polytechnic,zone,South West,South West,,,,,6225,18674,13513,5660,5199,286,0,5161,7853,461,10.8
2022/2023,Female,ALL,NECO,University,zone,North Central,North Central,,,,,4872,14617,10576,4431,4071,224,0,4041,6145,360,12.6
2022/2023,Female,ALL,NECO,University,zone,North East,North East,,,,,11806,35419,25630,10736,9863,542,0,9789,14894,873,10.8
2022/2023,Female,ALL,NECO,University,zone,North West,North West,,,,,24520,73550,53222,22293,20483,1127,0,20328,30929,1810,12.6
2022/2023,Female,ALL,NECO,University,zone,South East,South East,,,,,7755,23261,16833,7051,6478,356,0,6428,9782,573,9.0
2022/2023,Female,ALL,NECO,University,zone,South South,South South,,,,,5992,17976,13007,5450,5007,276,0,4969,7557,443,10.8
2022/2023,Female,ALL,NECO,University,zone,South West,South West,,,,,13695,41083,29728,12453,11442,630,0,11355,17275,1011,10.8
2022/2023,Female,ALL,WAEC,College of Education,zone,North Central,North Central,,,,,3788,11363,8223,3445,3165,173,0,3140,4778,280,12.6
2022/2023,Female,ALL,WAEC,College of Education,zone,North East,North East,,,,,9178,27536,19926,8347,7669,421,0,7610,11579,678,10.8
2022/2023,Female,ALL,WAEC,College of Education,zone,North West,North West,,,,,19061,57179,41377,17332,15924,876,0,15802,24045,1408,12.6
