session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years,gap_band
2022/2023,Female,ALL,WAEC,University,lga,Gboko,North Central,Benue,Gboko,,,0,510,369,155,142,12,0,141,214,13,2.1,1 year
2022/2023,Female,ALL,WAEC,University,lga,Gboko,North Central,Benue,Gboko,,,0,220,159,67,61,5,0,61,92,6,2.1,2 years
2022/2023,Female,ALL,WAEC,University,lga,Gboko,North Central,Benue,Gboko,,,0,114,83,35,32,3,0,31,48,3,2.1,3-5 years
2022/2023,Female,ALL,WAEC,University,lga,Gboko,North Central,Benue,Gboko,,,0,35,25,11,10,1,0,10,14,1,2.1,5+ years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,232,168,70,65,6,0,64,98,5,2.1,1 year
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,100,72,30,28,2,0,28,42,2,2.1,2 years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,52,38,16,14,1,0,14,22,2,2.1,3-5 years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,16,12,5,4,0,0,4,7,1,2.1,5+ years
2022/2023,Female,ALL,WAEC,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,186,134,56,52,4,0,52,78,4,2.1,1 year
2022/2023,Female,ALL,WAEC,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,80,58,24,22,2,0,22,34,2,2.1,2 years
2022/2023,Female,ALL,WAEC,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,42,30,13,12,1,0,12,17,1,2.1,3-5 years
2022/2023,Female,ALL,WAEC,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,13,9,4,4,0,0,4,5,0,2.1,5+ years
2022/2023,Female,ALL,NECO,University,lga,Gboko,North Central,Benue,Gboko,,,0,239,173,72,67,6,0,66,101,5,2.1,1 year
2022/2023,Female,ALL,NECO,University,lga,Gboko,North Central,Benue,Gboko,,,0,103,74,31,29,2,0,29,43,2,2.1,2 years
2022/2023,Female,ALL,NECO,University,lga,Gboko,North Central,Benue,Gboko,,,0,54,39,16,15,1,0,15,23,1,2.1,3-5 years
2022/2023,Female,ALL,NECO,University,lga,Gboko,North Central,Benue,Gboko,,,0,16,12,5,5,0,0,4,7,0,2.1,5+ years
2022/2023,Female,ALL,NECO,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,109,79,33,30,3,0,30,46,3,2.1,1 year
2022/2023,Female,ALL,NECO,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,47,34,14,13,1,0,13,20,1,2.1,2 years
2022/2023,Female,ALL,NECO,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,24,18,7,7,1,0,6,11,0,2.1,3-5 years
2022/2023,Female,ALL,NECO,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,7,5,2,2,0,0,2,3,0,2.1,5+ years
2022/2023,Female,ALL,NECO,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,87,63,26,24,2,0,24,37,2,2.1,1 year
2022/2023,Female,ALL,NECO,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,37,27,11,10,1,0,10,16,1,2.1,2 years
2022/2023,Female,ALL,NECO,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,19,14,6,5,0,0,5,8,1,2.1,3-5 years
2022/2023,Female,ALL,NECO,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,6,4,2,2,0,0,2,2,0,2.1,5+ years
2022/2023,Female,ALL,NABTEB,University,lga,Gboko,North Central,Benue,Gboko,,,0,74,54,22,21,2,0,20,32,1,2.1,1 year
2022/2023,Female,ALL,NABTEB,University,lga,Gboko,North Central,Benue,Gboko,,,0,32,23,10,9,1,0,9,13,1,2.1,2 years
2022/2023,Female,ALL,NABTEB,University,lga,Gboko,North Central,Benue,Gboko,,,0,17,12,5,5,0,0,5,7,0,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,University,lga,Gboko,North Central,Benue,Gboko,,,0,5,4,2,1,0,0,1,2,1,2.1,5+ years
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,34,24,10,9,1,0,10,14,1,2.1,1 year
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,15,11,4,4,0,0,4,7,0,2.1,2 years
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,8,5,2,2,0,0,3,3,0,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,2,2,1,1,0,0,0,1,0,2.1,5+ years
2022/2023,Female,ALL,NABTEB,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,27,20,8,8,1,0,7,12,0,2.1,1 year
2022/2023,Female,ALL,NABTEB,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,12,8,4,3,0,0,4,4,1,2.1,2 years
2022/2023,Female,ALL,NABTEB,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,6,4,2,2,0,0,2,2,0,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,2,1,1,1,0,0,1,0,0,2.1,5+ years
2022/2023,Female,Disabled,WAEC,University,lga,Gboko,North Central,Benue,Gboko,,,0,33,24,10,9,1,0,9,14,1,2.1,1 year
2022/2023,Female,Disabled,WAEC,University,lga,Gboko,North Central,Benue,Gboko,,,0,14,10,4,4,0,0,4,6,0,2.1,2 years
2022/2023,Female,Disabled,WAEC,University,lga,Gboko,North Central,Benue,Gboko,,,0,7,5,2,2,0,0,2,3,0,2.1,3-5 years
2022/2023,Female,Disabled,WAEC,University,lga,Gboko,North Central,Benue,Gboko,,,0,2,2,1,1,0,0,0,1,0,2.1,5+ years
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,15,11,5,4,0,0,4,6,1,2.1,1 year
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,7,5,2,2,0,0,2,3,0,2.1,2 years
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,3,2,1,1,0,0,1,1,0,2.1,3-5 years
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Female,Disabled,WAEC,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,12,9,4,3,0,0,3,5,1,2.1,1 year
2022/2023,Female,Disabled,WAEC,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,5,4,2,1,0,0,1,2,1,2.1,2 years
2022/2023,Female,Disabled,WAEC,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,3,2,1,1,0,0,1,1,0,2.1,3-5 years
2022/2023,Female,Disabled,WAEC,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Female,Disabled,NECO,University,lga,Gboko,North Central,Benue,Gboko,,,0,16,11,5,4,0,0,5,6,1,2.1,1 year
2022/2023,Female,Disabled,NECO,University,lga,Gboko,North Central,Benue,Gboko,,,0,7,5,2,2,0,0,2,3,0,2.1,2 years
2022/2023,Female,Disabled,NECO,University,lga,Gboko,North Central,Benue,Gboko,,,0,3,3,1,1,0,0,0,2,0,2.1,3-5 years
2022/2023,Female,Disabled,NECO,University,lga,Gboko,North Central,Benue,Gboko,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,7,5,2,2,0,0,2,3,0,2.1,1 year
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,3,2,1,1,0,0,1,1,0,2.1,2 years
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,2,1,0,0,0,0,1,1,0,2.1,3-5 years
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NECO,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,6,4,2,2,0,0,2,2,0,2.1,1 year
2022/2023,Female,Disabled,NECO,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,2,2,1,1,0,0,0,1,0,2.1,2 years
2022/2023,Female,Disabled,NECO,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
2022/2023,Female,Disabled,NECO,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NABTEB,University,lga,Gboko,North Central,Benue,Gboko,,,0,5,3,1,1,0,0,2,2,0,2.1,1 year
2022/2023,Female,Disabled,NABTEB,University,lga,Gboko,North Central,Benue,Gboko,,,0,2,2,1,1,0,0,0,1,0,2.1,2 years
2022/2023,Female,Disabled,NABTEB,University,lga,Gboko,North Central,Benue,Gboko,,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
2022/2023,Female,Disabled,NABTEB,University,lga,Gboko,North Central,Benue,Gboko,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,2,2,1,1,0,0,0,1,0,2.1,1 year
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,1,1,0,0,0,0,0,1,0,2.1,2 years
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,0,0,0,0,0,0,0,0,0,2.1,3-5 years
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Gboko,North Central,Benue,Gboko,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,2,1,1,0,0,0,1,0,1,2.1,1 year
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,1,1,0,0,0,0,0,1,0,2.1,2 years
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,0,0,0,0,0,0,0,0,0,2.1,3-5 years
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Gboko,North Central,Benue,Gboko,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,ALL,WAEC,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,490,355,149,136,12,0,135,206,13,2.1,1 year
2022/2023,Female,ALL,WAEC,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,211,153,64,59,5,0,58,89,5,2.1,2 years
2022/2023,Female,ALL,WAEC,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,110,79,33,31,3,0,31,46,2,2.1,3-5 years
2022/2023,Female,ALL,WAEC,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,34,24,10,9,1,0,10,14,1,2.1,5+ years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,223,161,68,62,5,0,62,93,6,2.1,1 year
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,96,69,29,27,2,0,27,40,2,2.1,2 years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,50,36,15,14,1,0,14,21,1,2.1,3-5 years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,15,11,5,4,0,0,4,6,1,2.1,5+ years
2022/2023,Female,ALL,WAEC,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,178,129,54,50,4,0,49,75,4,2.1,1 year
2022/2023,Female,ALL,WAEC,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,77,56,23,21,2,0,21,33,2,2.1,2 years
2022/2023,Female,ALL,WAEC,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,40,29,12,11,1,0,11,17,1,2.1,3-5 years
2022/2023,Female,ALL,WAEC,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,12,9,4,3,0,0,3,5,1,2.1,5+ years
2022/2023,Female,ALL,NECO,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,229,166,69,64,5,0,63,97,5,2.1,1 year
2022/2023,Female,ALL,NECO,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,99,71,30,28,2,0,28,41,2,2.1,2 years
2022/2023,Female,ALL,NECO,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,51,37,16,14,1,0,14,21,2,2.1,3-5 years
2022/2023,Female,ALL,NECO,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,16,11,5,4,0,0,5,6,1,2.1,5+ years
2022/2023,Female,ALL,NECO,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,104,75,32,29,2,0,29,43,3,2.1,1 year
2022/2023,Female,ALL,NECO,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,45,32,14,13,1,0,13,18,1,2.1,2 years
2022/2023,Female,ALL,NECO,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,23,17,7,7,1,0,6,10,0,2.1,3-5 years
2022/2023,Female,ALL,NECO,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,7,5,2,2,0,0,2,3,0,2.1,5+ years
2022/2023,Female,ALL,NECO,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,83,60,25,23,2,0,23,35,2,2.1,1 year
