session,zone,state,lga,ward,school,gender,disability,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,ss3_total,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,NABTEB,1-year,College of Education,10,13,8,7,0,1.0,0,0,0,8,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,NABTEB,2-year,College of Education,7,10,8,3,4,2.0,0,0,0,4,4
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,NABTEB,3-5-year,College of Education,5,5,3,2,0,1.5,0,0,0,3,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,NABTEB,5+-year,College of Education,2,3,0,0,0,1.5,0,0,0,3,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,NECO,1-year,College of Education,19,26,19,17,0,1.0,0,0,0,13,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,NECO,2-year,College of Education,12,15,10,8,4,2.0,0,0,0,8,2
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,NECO,3-5-year,College of Education,8,11,8,7,0,1.5,0,0,0,5,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,NECO,5+-year,College of Education,4,4,3,2,0,1.5,0,0,0,2,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,WAEC,1-year,College of Education,26,34,24,19,4,1.0,0,0,0,17,5
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,WAEC,2-year,College of Education,15,21,12,10,0,2.0,0,0,0,13,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,WAEC,3-5-year,College of Education,9,12,9,7,4,1.5,0,0,0,5,2
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,WAEC,5+-year,College of Education,7,10,6,5,0,1.5,0,0,0,6,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,Disabled,NABTEB,1-year,College of Education,1,1,2,1,0,1.0,0,0,0,0,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,Disabled,NABTEB,2-year,College of Education,0,1,0,0,0,2.0,0,0,0,1,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,Disabled,NABTEB,3-5-year,College of Education,0,1,0,0,0,1.5,0,0,0,1,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,Disabled,NABTEB,5+-year,College of Education,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,Disabled,NECO,1-year,College of Education,2,2,2,1,0,1.0,0,0,0,0,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,Disabled,NECO,2-year,College of Education,1,1,0,0,0,2.0,0,0,0,1,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,Disabled,NECO,3-5-year,College of Education,1,1,0,0,0,1.5,0,0,0,1,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,Disabled,NECO,5+-year,College of Education,1,1,0,0,0,1.5,0,0,0,1,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,Disabled,WAEC,1-year,College of Education,2,3,2,1,0,1.0,0,0,0,1,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,Disabled,WAEC,2-year,College of Education,2,2,2,1,0,2.0,0,0,0,0,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,Disabled,WAEC,3-5-year,College of Education,1,2,0,0,0,1.5,0,0,0,2,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,Disabled,WAEC,5+-year,College of Education,0,1,0,0,0,1.5,0,0,0,1,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,ALL,NABTEB,1-year,College of Education,14,17,9,3,4,1.0,0,0,0,11,5
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,ALL,NABTEB,2-year,College of Education,9,12,3,2,0,2.0,0,0,0,10,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,ALL,NABTEB,3-5-year,College of Education,5,6,3,2,0,1.5,0,0,0,4,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,ALL,NABTEB,5+-year,College of Education,3,4,0,0,0,1.5,0,0,0,4,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,ALL,NECO,1-year,College of Education,22,29,15,12,4,1.0,0,0,0,19,3
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,ALL,NECO,2-year,College of Education,15,20,8,7,0,2.0,0,0,0,15,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,ALL,NECO,3-5-year,College of Education,8,12,3,2,0,1.5,0,0,0,10,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,ALL,NECO,5+-year,College of Education,5,7,3,2,0,1.5,0,0,0,5,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,ALL,WAEC,1-year,College of Education,30,40,17,16,0,1.0,0,0,0,30,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,ALL,WAEC,2-year,College of Education,19,26,12,10,0,2.0,0,0,0,19,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,ALL,WAEC,3-5-year,College of Education,12,17,9,7,4,1.5,0,0,0,11,2
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,ALL,WAEC,5+-year,College of Education,8,10,3,2,0,1.5,0,0,0,8,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,Disabled,NABTEB,1-year,College of Education,1,1,0,0,0,1.0,0,0,0,1,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,Disabled,NABTEB,2-year,College of Education,1,2,0,0,0,2.0,0,0,0,2,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,Disabled,NABTEB,3-5-year,College of Education,1,0,0,0,0,1.5,0,0,1,0,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,Disabled,NABTEB,5+-year,College of Education,1,0,0,0,0,1.5,0,0,1,0,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,Disabled,NECO,1-year,College of Education,2,4,2,1,0,1.0,0,0,0,2,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,Disabled,NECO,2-year,College of Education,1,3,0,0,0,2.0,0,0,0,3,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,Disabled,NECO,3-5-year,College of Education,1,1,0,0,0,1.5,0,0,0,1,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,Disabled,NECO,5+-year,College of Education,1,0,0,0,0,1.5,0,0,1,0,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,Disabled,WAEC,1-year,College of Education,2,3,2,1,0,1.0,0,0,0,1,1
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,Disabled,WAEC,2-year,College of Education,2,2,0,0,0,2.0,0,0,0,2,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,Disabled,WAEC,3-5-year,College of Education,2,2,0,0,0,1.5,0,0,0,2,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,Disabled,WAEC,5+-year,College of Education,1,1,0,0,0,1.5,0,0,0,1,0
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,ALL,NABTEB,1-year,College of Education,6,8,3,2,0,1.0,0,0,0,6,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,ALL,NABTEB,2-year,College of Education,4,5,3,2,0,2.0,0,0,0,3,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,ALL,NABTEB,3-5-year,College of Education,3,4,3,2,0,1.5,0,0,0,2,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,ALL,NABTEB,5+-year,College of Education,1,2,0,0,0,1.5,0,0,0,2,0
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,ALL,NECO,1-year,College of Education,10,13,7,6,0,1.0,0,0,0,9,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,ALL,NECO,2-year,College of Education,7,10,7,3,4,2.0,0,0,0,5,3
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,ALL,NECO,3-5-year,College of Education,4,5,3,2,0,1.5,0,0,0,3,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,ALL,NECO,5+-year,College of Education,2,4,3,2,0,1.5,0,0,0,1,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,ALL,WAEC,1-year,College of Education,14,20,12,10,0,1.0,0,0,0,12,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,ALL,WAEC,2-year,College of Education,8,12,9,7,4,2.0,0,0,0,5,2
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,ALL,WAEC,3-5-year,College of Education,5,7,6,3,4,1.5,0,0,0,3,2
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,ALL,WAEC,5+-year,College of Education,3,4,3,2,0,1.5,0,0,0,2,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,Disabled,NABTEB,1-year,College of Education,1,1,2,1,0,1.0,0,0,0,0,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,Disabled,NABTEB,2-year,College of Education,0,1,0,0,0,2.0,0,0,0,1,0
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,Disabled,NABTEB,3-5-year,College of Education,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,Disabled,NABTEB,5+-year,College of Education,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,Disabled,NECO,1-year,College of Education,1,1,2,1,0,1.0,0,0,0,0,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,Disabled,NECO,2-year,College of Education,1,1,0,0,0,2.0,0,0,0,1,0
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,Disabled,NECO,3-5-year,College of Education,0,1,0,0,0,1.5,0,0,0,1,0
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,Disabled,NECO,5+-year,College of Education,1,0,0,0,0,1.5,0,0,1,0,0
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,Disabled,WAEC,1-year,College of Education,2,2,2,1,0,1.0,0,0,0,0,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,Disabled,WAEC,2-year,College of Education,1,1,0,0,0,2.0,0,0,0,1,0
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,Disabled,WAEC,3-5-year,College of Education,0,1,0,0,0,1.5,0,0,0,1,0
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,Disabled,WAEC,5+-year,College of Education,0,1,0,0,0,1.5,0,0,0,1,0
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,ALL,NABTEB,1-year,College of Education,8,10,8,3,4,1.0,0,0,0,4,4
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,ALL,NABTEB,2-year,College of Education,6,8,3,2,0,2.0,0,0,0,6,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,ALL,NABTEB,3-5-year,College of Education,3,5,3,2,0,1.5,0,0,0,3,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,ALL,NABTEB,5+-year,College of Education,2,2,0,0,0,1.5,0,0,0,2,0
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,ALL,NECO,1-year,College of Education,15,20,10,9,0,1.0,0,0,0,13,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,ALL,NECO,2-year,College of Education,9,13,7,6,0,2.0,0,0,0,8,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,ALL,NECO,3-5-year,College of Education,6,8,3,2,0,1.5,0,0,0,6,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,ALL,NECO,5+-year,College of Education,4,4,3,0,4,1.5,0,0,0,2,3
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,ALL,WAEC,1-year,College of Education,21,31,15,13,4,1.0,0,0,0,21,2
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,ALL,WAEC,2-year,College of Education,11,15,9,7,4,2.0,0,0,0,9,2
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,ALL,WAEC,3-5-year,College of Education,9,13,6,5,0,1.5,0,0,0,9,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,ALL,WAEC,5+-year,College of Education,4,6,3,2,0,1.5,0,0,0,4,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,Disabled,NABTEB,1-year,College of Education,1,2,2,1,0,1.0,0,0,0,0,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,Disabled,NABTEB,2-year,College of Education,1,2,0,0,0,2.0,0,0,0,2,0
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,Disabled,NABTEB,3-5-year,College of Education,1,0,0,0,0,1.5,0,0,1,0,0
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,Disabled,NABTEB,5+-year,College of Education,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,Disabled,NECO,1-year,College of Education,2,3,2,1,0,1.0,0,0,0,1,1
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,Disabled,NECO,2-year,College of Education,1,1,0,0,0,2.0,0,0,0,1,0
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,Disabled,NECO,3-5-year,College of Education,1,1,0,0,0,1.5,0,0,0,1,0
2022/2023,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,Disabled,NECO,5+-year,College of Education,0,0,0,0,0,1.5,0,0,0,0,0
