session,zone,state,lga,ward,school,gender,disability,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,ss3_total,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Male,ALL,WAEC,2-year,Polytechnic,41,54,4,3,0,2.0,0,0,0,44,1
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Afiyo Nomadic Primary School, Afiyau",Male,ALL,WAEC,3-5-year,Polytechnic,30,40,4,3,0,1.5,0,0,0,32,1
2022/2023,North West,Jigawa,Auyo,Auyakayi,Bankada Nomadic Primary School,Male,ALL,WAEC,5+-year,Polytechnic,14,19,1,0,0,1.5,0,0,0,16,1
2022/2023,North West,Jigawa,Auyo,Auyakayi,Ganuwar Kuka Islamiya Primary School,Male,Disabled,NABTEB,1-year,Polytechnic,3,3,0,0,0,1.0,0,0,0,3,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Gidado Nomadic Primary School, Kure",Male,Disabled,NABTEB,2-year,Polytechnic,1,3,0,0,0,2.0,0,0,0,3,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Junior Secondary School, Hakudau",Male,Disabled,NABTEB,3-5-year,Polytechnic,1,0,0,0,0,1.5,0,0,1,0,0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Kudigin Primary School, Kudigin",Male,Disabled,NABTEB,5+-year,Polytechnic,0,0,0,0,0,1.5,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyakayi Primary School, Auyakayi",Male,Disabled,NECO,1-year,Polytechnic,4,6,1,0,0,1.0,0,0,0,4,1
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyo Gabas Primary School, Auyo Town",Male,Disabled,NECO,2-year,Polytechnic,3,3,0,0,0,2.0,0,0,0,3,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyo Model Primary School, Auyo Town",Male,Disabled,NECO,3-5-year,Polytechnic,1,3,0,0,0,1.5,0,0,0,3,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyo Model Qur`An Primary School, Auyo",Male,Disabled,NECO,5+-year,Polytechnic,1,0,0,0,0,1.5,0,0,1,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyo Special Primary School, Auyo Town",Male,Disabled,WAEC,1-year,Polytechnic,5,5,1,0,0,1.0,0,0,1,3,1
2022/2023,North West,Jigawa,Auyo,Auyo,"Bangeli Primary School, Bangeli",Male,Disabled,WAEC,2-year,Polytechnic,4,5,0,0,0,2.0,0,0,0,4,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Gatakashe Primary School, Gatakashe",Male,Disabled,WAEC,3-5-year,Polytechnic,1,2,0,0,0,1.5,0,0,0,2,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Guyu Primary School, Guyu",Male,Disabled,WAEC,5+-year,Polytechnic,1,2,0,0,0,1.5,0,0,0,2,0
2022/2023,North West,Jigawa,Auyo,Auyo,Gwanki Memorial Nursery And Primary School,Female,ALL,NABTEB,1-year,College of Education,30,42,3,1,0,1.0,0,0,0,35,1
2022/2023,North West,Jigawa,Auyo,Auyo,"Hakudau Primary School, Hakudau",Female,ALL,NABTEB,2-year,College of Education,21,27,3,1,0,2.0,0,0,0,22,1
