session,zone,state,lga,ward,school,gender,disability,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,ss3_total,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,NABTEB,1-year,Polytechnic,35,51,2,1,0,1.0,0,0,0,55,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,NABTEB,2-year,Polytechnic,22,28,1,0,0,2.0,0,0,0,30,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,NABTEB,3-5-year,Polytechnic,12,14,1,0,0,1.5,0,0,0,15,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,NABTEB,5+-year,Polytechnic,6,7,0,0,0,1.5,0,0,0,8,0
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,NECO,1-year,Polytechnic,61,88,6,5,0,1.0,0,0,0,94,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,NECO,2-year,Polytechnic,41,58,2,1,0,2.0,0,0,0,63,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,NECO,3-5-year,Polytechnic,28,37,2,1,0,1.5,0,0,0,40,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,NECO,5+-year,Polytechnic,17,20,1,0,0,1.5,0,0,0,21,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,WAEC,1-year,Polytechnic,87,117,7,6,0,1.0,0,0,0,125,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,WAEC,2-year,Polytechnic,50,70,5,3,0,2.0,0,0,0,75,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,WAEC,3-5-year,Polytechnic,30,41,2,1,0,1.5,0,0,0,44,1
2022/2023,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,WAEC,5+-year,Polytechnic,20,29,1,0,0,1.5,0,0,0,32,1
