session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,0,31,46,66,53,3,0,0,0,2
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ebu,South South,Delta,Oshimili North,Ebu,,0,13,20,20,13,0,0,0,1,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ibusa  I,South South,Delta,Oshimili North,Ibusa  I,,0,13,15,7,0,0,0,0,2,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Cable Point I,South South,Delta,Oshimili South,Cable Point I,,0,9,10,20,13,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Army Barracks Area,South South,Delta,Uvwie,Army Barracks Area,,0,44,61,66,59,0,0,0,2,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Effurun I,South South,Delta,Uvwie,Effurun I,,0,22,31,46,33,3,0,0,0,2
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Effurun II,South South,Delta,Uvwie,Effurun II,,0,22,31,59,46,3,0,0,0,2
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ebrohimi,South South,Delta,Warri North,Ebrohimi,,0,9,10,7,0,0,0,0,1,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Gbokoda,South South,Delta,Warri North,Gbokoda,,0,9,10,13,7,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Edjeba,South South,Delta,Warri South,Edjeba,,0,18,25,46,40,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,G.R.A.,South South,Delta,Warri South,G.R.A.,,0,9,10,20,13,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,0,13,20,33,26,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ebu,South South,Delta,Oshimili North,Ebu,,0,13,15,33,26,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ibusa  I,South South,Delta,Oshimili North,Ibusa  I,,0,9,15,33,26,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Agu,South South,Delta,Oshimili South,Agu,,0,31,41,66,59,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,0,35,46,79,73,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Cable Point I,South South,Delta,Oshimili South,Cable Point I,,0,39,56,92,86,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Effurun I,South South,Delta,Uvwie,Effurun I,,0,13,20,46,40,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Effurun II,South South,Delta,Uvwie,Effurun II,,0,31,41,79,66,3,0,0,0,2
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ebrohimi,South South,Delta,Warri North,Ebrohimi,,0,39,56,112,99,3,0,0,0,2
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Eghoro,South South,Delta,Warri North,Eghoro,,0,22,25,46,40,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Gbokoda,South South,Delta,Warri North,Gbokoda,,0,13,20,46,33,3,0,0,0,2
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Bowen,South South,Delta,Warri South,Bowen,,0,13,15,33,26,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,G.R.A.,South South,Delta,Warri South,G.R.A.,,0,9,10,13,7,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ebu,South South,Delta,Oshimili North,Ebu,,0,13,15,283,277,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ibusa  I,South South,Delta,Oshimili North,Ibusa  I,,0,22,25,566,469,13,0,0,0,15
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Agu,South South,Delta,Oshimili South,Agu,,0,13,20,441,436,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,0,13,15,283,277,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Effurun I,South South,Delta,Uvwie,Effurun I,,0,9,10,283,277,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Eghoro,South South,Delta,Warri North,Eghoro,,0,13,15,316,310,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Gbokoda,South South,Delta,Warri North,Gbokoda,,0,26,36,566,561,0,0,0,0,1
